Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)"
"2024-04-13 00:00:00";391;4,0;21,0;27,1;19
"2024-04-14 00:00:00";423;8,6;28,6;41,8;24
"2024-04-15 00:00:00";366;8,8;22,2;35,6;36
"2024-04-16 00:00:00";384;3,1;12,4;17,2;7
"2024-04-17 00:00:00";435;3,3;11,7;16,7;7
"2024-04-18 00:00:00";446;3,3;12,9;18,0;13
"2024-04-19 00:00:00";470;5,9;18,1;27,1;13
"2024-04-20 00:00:00";458;3,7;17,1;22,8;10
"2024-04-21 00:00:00";441;1,8;8,3;11,0;8
"2024-04-22 00:00:00";474;3,6;13,8;19,3;16
"2024-04-23 00:00:00";474;3,3;16,6;21,6;21
"2024-04-24 00:00:00";347;3,7;12,7;18,4;10
"2024-04-25 00:00:00";341;3,1;15,7;20,5;13
"2024-04-26 00:00:00";477;13,5;29,6;50,2;22
"2024-04-27 00:00:00";469;16,8;31,1;56,7;24
"2024-04-28 00:00:00";449;21,5;31,9;64,9;22
"2024-04-29 00:00:00";359;16,0;29,1;53,6;23
"2024-04-30 00:00:00";311;10,2;26,5;42,1;27
"2024-05-01 00:00:00";238;2,9;15,5;19,9;29
"2024-05-02 00:00:00";269;5,2;19,1;27,1;22
"2024-05-03 00:00:00";263;3,8;17,7;23,6;21
"2024-05-04 00:00:00";223;3,4;14,5;19,7;19
"2024-05-05 00:00:00";232;4,9;21,4;28,9;17
"2024-05-06 00:00:00";223;6,5;21,8;31,6;19
"2024-05-07 00:00:00";166;3,1;10,7;15,5;9
"2024-05-08 00:00:00";223;2,7;13,0;17,1;16
"2024-05-09 00:00:00";233;3,1;15,9;20,6;19
"2024-05-10 00:00:00";280;5,6;22,8;31,3;20
"2024-05-11 00:00:00";260;3,0;17,9;22,5;21
"2024-05-12 00:00:00";195;2,3;11,0;14,5;13
"2024-05-13 00:00:00";242;2,3;13,7;17,2;21
"2024-05-14 00:00:00";242;3,8;16,4;22,2;21
"2024-05-15 00:00:00";220;3,4;15,7;20,9;21
"2024-05-16 00:00:00";221;3,7;15,9;21,6;37
"2024-05-17 00:00:00";260;4,0;13,3;19,4;17
"2024-05-18 00:00:00";248;4,6;15,9;23,0;29
"2024-05-19 00:00:00";302;4,4;14,8;21,6;24
"2024-05-20 00:00:00";262;4,8;13,7;21,1;19
"2024-05-21 00:00:00";241;4,6;13,5;20,5;23
"2024-05-22 00:00:00";241;6,7;17,3;27,6;20
"2024-05-23 00:00:00";224;3,9;14,3;20,3;12
"2024-05-24 00:00:00";280;5,6;18,2;26,8;14
"2024-05-25 00:00:00";234;4,5;15,4;22,2;16
"2024-05-26 00:00:00";233;3,7;16,0;21,7;19
"2024-05-27 00:00:00";275;6,1;21,6;30,9;23
"2024-05-28 00:00:00";329;4,0;17,6;23,6;22
"2024-05-29 00:00:00";397;2,1;10,6;13,7;14
"2024-05-30 00:00:00";404;3,6;17,7;23,2;17
