Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)"
"Limit values";-;;85;;50
"2011-01-01 00:00:00";1187;46,6;32,6;103,4;75
"2011-01-02 00:00:00";1021;48,0;38,7;113,0;35
"2011-01-03 00:00:00";1123;53,4;49,3;131,6;47
"2011-01-04 00:00:00";930;26,6;34,3;75,5;44
"2011-01-05 00:00:00";804;16,9;31,7;59,1;40
"2011-01-06 00:00:00";1102;27,8;44,7;86,3;59
"2011-01-07 00:00:00";1227;41,4;47,7;111,6;54
"2011-01-08 00:00:00";1250;33,3;29,3;81,0;55
"2011-01-09 00:00:00";1583;65,8;28,0;129,1;61
"2011-01-10 00:00:00";1097;34,8;22,9;78,1;49
"2011-01-11 00:00:00";842;34,9;25,6;79,0;53
"2011-01-12 00:00:00";858;56,2;32,1;117,3;36
"2011-01-13 00:00:00";941;;;;38
"2011-01-14 00:00:00";984;60,5;49,0;142,5;23
"2011-01-15 00:00:00";1377;53,4;40,4;121,2;20
"2011-01-16 00:00:00";1436;58,7;49,3;138,5;36
"2011-01-17 00:00:00";1429;85,1;55,0;184,7;61
"2011-01-18 00:00:00";926;28,2;38,4;81,8;36
"2011-01-19 00:00:00";1043;54,8;44,2;128,1;43
"2011-01-20 00:00:00";923;36,4;48,1;104,0;23
"2011-01-21 00:00:00";947;35,5;55,1;109,0;37
"2011-01-22 00:00:00";991;21,7;42,0;77,2;28
"2011-01-23 00:00:00";1079;18,9;29,3;58,5;28
"2011-01-24 00:00:00";795;28,7;44,7;88,0;27
"2011-01-25 00:00:00";577;26,2;46,9;87,4;34
"2011-01-26 00:00:00";707;22,4;49,2;82,0;60
"2011-01-27 00:00:00";704;16,4;48,4;74,8;58
"2011-01-28 00:00:00";787;30,1;58,9;106,0;49
"2011-01-29 00:00:00";1217;60,3;74,4;168,3;72
"2011-01-30 00:00:00";1277;50,8;76,3;154,4;99
"2011-01-31 00:00:00";750;22,7;62,9;100,0;78
"2011-02-01 00:00:00";641;30,7;49,2;97,4;72
"2011-02-02 00:00:00";573;19,0;38,0;68,0;59
"2011-02-03 00:00:00";747;43,8;57,0;123,5;64
"2011-02-04 00:00:00";788;37,9;52,2;108,7;71
"2011-02-05 00:00:00";696;31,0;52,6;102,0;44
"2011-02-06 00:00:00";608;45,8;50,5;121,3;24
"2011-02-07 00:00:00";1096;113,4;94,9;269,5;60
"2011-02-08 00:00:00";941;63,4;62,4;160,6;57
"2011-02-09 00:00:00";429;16,3;46,8;71,6;30
"2011-02-10 00:00:00";602;36,4;69,1;125,4;50
"2011-02-11 00:00:00";771;38,0;67,8;128,0;64
"2011-02-12 00:00:00";231;11,7;32,7;50,9;17
"2011-02-13 00:00:00";529;15,1;43,7;66,9;30
