Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)"
"Limit values";-;;85;;50
"2018-01-01 00:00:00";931;93,2;69,0;195,4;66
"2018-01-02 00:00:00";713;27,4;38,3;88,4;26
"2018-01-03 00:00:00";478;23,6;36,0;94,8;15
"2018-01-04 00:00:00";529;34,8;43,7;129,1;29
"2018-01-05 00:00:00";659;68,8;57,6;169,6;40
"2018-01-06 00:00:00";820;69,1;57,3;153,5;52
"2018-01-07 00:00:00";722;66,4;54,3;143,8;54
"2018-01-08 00:00:00";543;31,9;40,5;109,8;42
"2018-01-09 00:00:00";495;25,4;34,3;95,6;28
"2018-01-10 00:00:00";454;26,7;33,0;87,0;24
"2018-01-11 00:00:00";546;36,5;31,5;90,9;40
"2018-01-12 00:00:00";542;40,8;35,9;111,3;42
"2018-01-13 00:00:00";447;16,1;25,4;69,5;21
"2018-01-14 00:00:00";408;8,2;31,9;55,8;15
"2018-01-15 00:00:00";493;17,1;50,7;76,9;24
"2018-01-16 00:00:00";511;28,2;41,2;84,4;27
"2018-01-17 00:00:00";;57,8;64,6;154,2;26
"2018-01-18 00:00:00";;14,4;41,8;84,3;16
"2018-01-19 00:00:00";599;27,0;32,6;102,6;12
"2018-01-20 00:00:00";588;26,8;34,0;113,9;18
"2018-01-21 00:00:00";560;11,9;23,0;59,7;15
"2018-01-22 00:00:00";654;24,0;32,9;104,1;28
"2018-01-23 00:00:00";692;44,9;43,9;147,9;31
"2018-01-24 00:00:00";711;35,1;37,5;116,7;40
"2018-01-25 00:00:00";587;13,4;27,2;84,6;33
"2018-01-26 00:00:00";654;22,2;31,1;94,2;38
"2018-01-27 00:00:00";707;27,0;34,0;103,1;48
"2018-01-28 00:00:00";576;32,3;33,8;105,1;35
"2018-01-29 00:00:00";570;51,7;43,0;144,7;38
"2018-01-30 00:00:00";418;19,5;26,6;85,9;22
"2018-01-31 00:00:00";789;115,4;76,1;267,1;47
"2018-02-01 00:00:00";500;30,8;33,9;115,2;35
"2018-02-02 00:00:00";361;17,7;23,6;71,8;14
"2018-02-03 00:00:00";388;14,9;22,3;63,8;16
"2018-02-04 00:00:00";451;13,5;23,6;70,0;24
"2018-02-05 00:00:00";451;19,6;26,6;81,7;24
"2018-02-06 00:00:00";566;7,3;21,7;55,5;26
"2018-02-07 00:00:00";504;21,7;20,6;75,5;27
"2018-02-08 00:00:00";483;16,2;16,8;58,6;29
"2018-02-09 00:00:00";535;17,2;20,3;77,9;51
"2018-02-10 00:00:00";531;18,2;21,2;82,7;45
"2018-02-11 00:00:00";481;19,1;21,7;89,0;38
"2018-02-12 00:00:00";626;40,8;33,6;131,1;47
"2018-02-13 00:00:00";418;18,4;18,2;70,2;24
"2018-02-14 00:00:00";346;15,5;16,2;65,9;15
"2018-02-15 00:00:00";448;36,5;32,4;143,4;35
"2018-02-16 00:00:00";503;29,6;27,8;115,9;46
"2018-02-17 00:00:00";394;16,5;18,4;76,1;36
"2018-02-18 00:00:00";333;7,7;13,9;62,1;20
"2018-02-19 00:00:00";337;7,1;14,6;67,6;27
"2018-02-20 00:00:00";387;12,0;16,6;70,9;22
"2018-02-21 00:00:00";381;15,2;17,3;72,1;18
"2018-02-22 00:00:00";332;9,1;16,3;77,3;26
"2018-02-23 00:00:00";306;11,6;16,2;75,0;25
"2018-02-24 00:00:00";295;9,8;14,4;65,9;37
"2018-02-25 00:00:00";318;2,2;10,3;45,0;21
"2018-02-26 00:00:00";395;3,9;12,7;53,7;26
"2018-02-27 00:00:00";372;5,6;14,1;62,8;22
"2018-02-28 00:00:00";417;7,7;16,1;70,6;31
"2018-03-01 00:00:00";466;5,6;15,7;66,3;40
"2018-03-02 00:00:00";466;10,1;17,9;75,5;35
"2018-03-03 00:00:00";570;6,5;18,7;78,9;64
"2018-03-04 00:00:00";416;5,0;15,6;71,3;54
"2018-03-05 00:00:00";450;5,1;17,0;79,3;48
"2018-03-06 00:00:00";405;13,9;18,5;80,6;38
"2018-03-07 00:00:00";475;26,2;27,2;121,1;60
"2018-03-08 00:00:00";641;43,9;34,8;139,9;48
"2018-03-09 00:00:00";486;34,7;30,9;147,2;45
"2018-03-10 00:00:00";527;40,5;32,1;146,3;47
"2018-03-11 00:00:00";411;38,2;27,5;130,4;33
"2018-03-12 00:00:00";336;20,7;18,2;98,7;29
"2018-03-13 00:00:00";305;19,3;17,0;92,5;20
"2018-03-14 00:00:00";287;10,6;11,0;60,2;14
"2018-03-15 00:00:00";368;14,9;14,7;74,3;25
"2018-03-16 00:00:00";368;18,7;14,4;71,4;24
"2018-03-17 00:00:00";384;18,5;14,6;70,9;22
"2018-03-18 00:00:00";305;2,9;7,2;45,7;14
"2018-03-19 00:00:00";386;7,0;11,5;63,9;25
"2018-03-20 00:00:00";430;5,6;9,8;51,1;44
"2018-03-21 00:00:00";413;6,6;10,9;60,0;37
"2018-03-22 00:00:00";380;10,3;13,4;75,1;33
"2018-03-23 00:00:00";475;11,4;14,9;78,0;43
"2018-03-24 00:00:00";463;6,8;11,5;62,6;38
"2018-03-25 00:00:00";489;7,1;12,0;64,4;36
"2018-03-26 00:00:00";467;15,6;17,5;95,4;38
"2018-03-27 00:00:00";406;7,4;9,8;58,9;36
"2018-03-28 00:00:00";438;18,5;16,8;90,2;46
"2018-03-29 00:00:00";439;29,2;20,0;102,2;46
"2018-03-30 00:00:00";;7,6;7,3;58,0;25
"2018-03-31 00:00:00";;19,9;13,3;80,3;27
"2018-04-01 00:00:00";;3,1;3,2;36,2;13
"2018-04-02 00:00:00";;9,2;7,6;52,9;14
"2018-04-03 00:00:00";;11,7;12,3;80,1;23
"2018-04-04 00:00:00";;8,8;9,5;68,2;28
"2018-04-05 00:00:00";;15,1;11,0;78,2;23
"2018-04-06 00:00:00";;8,0;6,6;54,2;18
"2018-04-07 00:00:00";;16,0;12,2;80,5;27
"2018-04-08 00:00:00";;31,3;19,2;105,2;37
"2018-04-09 00:00:00";;26,1;17,6;108,0;44
"2018-04-10 00:00:00";;23,0;15,3;101,6;33
"2018-04-11 00:00:00";;41,6;24,8;139,4;33
"2018-04-12 00:00:00";;39,1;23,4;129,6;49
"2018-04-13 00:00:00";;31,5;28,0;124,6;43
"2018-04-14 00:00:00";243;26,4;23,8;111,0;33
"2018-04-15 00:00:00";230;21,9;19,9;90,0;45
"2018-04-16 00:00:00";;29,5;40,2;102,2;58
"2018-04-17 00:00:00";;27,5;29,6;92,8;42
"2018-04-18 00:00:00";;20,3;24,1;91,8;25
"2018-04-19 00:00:00";;23,0;46,2;101,7;29
"2018-04-20 00:00:00";;20,7;53,8;99,7;30
"2018-04-21 00:00:00";432;44,7;46,5;156,3;39
"2018-04-22 00:00:00";321;32,4;35,6;129,6;37
"2018-04-23 00:00:00";270;26,3;84,1;124,5;48
"2018-04-24 00:00:00";;13,3;54,7;75,1;26
"2018-04-25 00:00:00";328;36,1;91,7;147,1;40
"2018-04-26 00:00:00";193;18,3;55,1;83,2;29
"2018-04-27 00:00:00";298;13,9;61,3;82,5;23
"2018-04-28 00:00:00";288;18,8;66,8;95,7;35
"2018-04-29 00:00:00";241;25,2;65,3;104,0;41
"2018-04-30 00:00:00";154;22,8;62,5;96,9;42
"2018-05-01 00:00:00";159;12,5;48,1;67,3;28
"2018-05-02 00:00:00";174;24,1;62,2;99,2;39
"2018-05-03 00:00:00";207;47,8;77,3;150,5;40
"2018-05-04 00:00:00";240;46,8;73,1;144,9;40
"2018-05-05 00:00:00";170;16,1;53,9;78,7;41
"2018-05-06 00:00:00";134;9,5;24,8;55,5;32
"2018-05-07 00:00:00";173;14,6;25,2;74,2;29
"2018-05-08 00:00:00";138;18,8;22,8;81,1;33
"2018-05-09 00:00:00";131;27,4;40,8;88,1;46
"2018-05-10 00:00:00";126;27,6;50,5;95,2;41
"2018-05-11 00:00:00";242;29,9;57,2;105,3;40
"2018-05-12 00:00:00";180;19,9;26,5;79,9;34
"2018-05-13 00:00:00";113;12,9;18,6;71,9;25
"2018-05-14 00:00:00";125;15,8;15,1;78,5;27
"2018-05-15 00:00:00";155;18,8;44,3;84,0;21
"2018-05-16 00:00:00";120;9,4;46,5;61,4;17
"2018-05-17 00:00:00";138;15,3;58,0;83,7;17
"2018-05-18 00:00:00";87;9,8;44,7;59,8;24
"2018-05-19 00:00:00";131;18,7;50,1;81,2;24
"2018-05-20 00:00:00";154;14,3;36,8;66,3;17
"2018-05-21 00:00:00";;14,3;29,5;67,4;16
"2018-05-22 00:00:00";;22,9;52,7;91,1;21
"2018-05-23 00:00:00";265;36,7;60,4;116,7;28
"2018-05-24 00:00:00";277;25,8;62,6;102,0;31
"2018-05-25 00:00:00";260;16,4;47,0;72,2;22
"2018-05-26 00:00:00";268;16,7;53,8;79,4;19
"2018-05-27 00:00:00";264;18,4;57,0;85,3;26
"2018-05-28 00:00:00";273;29,0;64,3;108,8;29
"2018-05-29 00:00:00";258;26,9;66,9;108,0;35
"2018-05-30 00:00:00";267;33,8;69,9;121,7;36
"2018-05-31 00:00:00";327;25,2;73,0;111,6;35
"2018-06-01 00:00:00";337;33,7;81,8;133,5;43
"2018-06-02 00:00:00";210;16,3;50,6;75,7;31
"2018-06-03 00:00:00";141;10,9;39,2;55,9;15
"2018-06-04 00:00:00";195;15,8;54,2;78,4;27
"2018-06-05 00:00:00";224;21,8;63,9;97,3;29
"2018-06-06 00:00:00";187;28,5;57,0;100,7;36
"2018-06-07 00:00:00";170;20,1;49,8;82,3;27
"2018-06-08 00:00:00";178;18,8;19,3;81,6;29
"2018-06-09 00:00:00";124;14,7;20,1;59,4;29
"2018-06-10 00:00:00";182;24,9;22,9;87,2;28
"2018-06-11 00:00:00";198;25,2;23,5;105,3;32
"2018-06-12 00:00:00";157;25,4;22,8;95,7;31
"2018-06-13 00:00:00";;17,3;34,4;72,4;27
"2018-06-14 00:00:00";184;13,0;33,3;53,0;16
"2018-06-15 00:00:00";203;15,7;42,2;66,1;24
"2018-06-16 00:00:00";153;9,7;37,4;52,1;19
"2018-06-17 00:00:00";131;8,0;30,4;42,6;19
"2018-06-18 00:00:00";159;10,1;34,5;49,9;22
"2018-06-19 00:00:00";155;10,7;41,3;57,5;27
"2018-06-20 00:00:00";186;13,0;48,0;67,7;36
"2018-06-21 00:00:00";248;24,8;60,7;97,8;49
"2018-06-22 00:00:00";101;7,0;21,5;32,0;42
"2018-06-23 00:00:00";138;5,5;17,4;25,9;14
"2018-06-24 00:00:00";114;5,5;18,3;26,6;9
"2018-06-25 00:00:00";128;10,1;30,8;46,0;16
"2018-06-26 00:00:00";129;10,1;33,0;48,3;18
"2018-06-27 00:00:00";159;12,4;35,3;54,2;25
"2018-06-28 00:00:00";;11,5;34,6;52,0;13
"2018-06-29 00:00:00";310;17,0;41,5;67,3;29
"2018-06-30 00:00:00";187;7,7;25,1;36,8;23
"2018-07-01 00:00:00";206;6,8;19,8;30,0;13
"2018-07-02 00:00:00";258;19,5;37,6;67,0;16
"2018-07-03 00:00:00";244;18,7;48,5;77,0;22
"2018-07-04 00:00:00";274;30,3;66,4;112,3;41
"2018-07-05 00:00:00";218;24,7;70,2;107,2;50
"2018-07-06 00:00:00";176;22,9;61,4;95,9;
"2018-07-07 00:00:00";63;7,9;32,4;44,5;20
"2018-07-08 00:00:00";57;8,7;34,6;47,8;20
"2018-07-09 00:00:00";71;13,5;41,7;62,1;22
"2018-07-10 00:00:00";50;12,5;39,2;58,1;25
"2018-07-11 00:00:00";;11,5;32,8;50,4;22
"2018-07-12 00:00:00";;13,1;43,4;63,4;19
"2018-07-13 00:00:00";320;6,9;33,3;43,9;19
"2018-07-14 00:00:00";316;10,4;39,0;54,8;22
"2018-07-15 00:00:00";293;6,1;28,8;38,0;20
"2018-07-16 00:00:00";295;8,0;33,8;46,0;20
"2018-07-17 00:00:00";258;6,0;29,0;38,0;26
"2018-07-18 00:00:00";211;5,6;21,5;30,0;22
"2018-07-19 00:00:00";222;6,8;23,7;33,9;16
"2018-07-20 00:00:00";240;9,4;33,9;48,2;19
"2018-07-21 00:00:00";281;15,1;43,3;65,1;23
"2018-07-22 00:00:00";203;8,6;34,4;47,4;16
"2018-07-23 00:00:00";231;10,1;40,8;56,0;26
"2018-07-24 00:00:00";261;14,3;49,5;71,3;27
"2018-07-25 00:00:00";317;13,3;40,3;60,4;27
"2018-07-26 00:00:00";334;10,1;24,1;39,6;25
"2018-07-27 00:00:00";371;8,4;27,0;39,8;30
"2018-07-28 00:00:00";361;10,6;26,9;43,1;24
"2018-07-29 00:00:00";328;7,6;25,3;37,0;22
"2018-07-30 00:00:00";319;9,2;26,0;40,1;30
"2018-07-31 00:00:00";290;7,9;24,7;36,8;33
"2018-08-01 00:00:00";286;7,4;23,5;34,8;38
"2018-08-02 00:00:00";294;9,7;23,3;38,2;26
"2018-08-03 00:00:00";288;10,1;25,8;41,3;32
"2018-08-04 00:00:00";238;10,6;25,5;41,6;28
"2018-08-05 00:00:00";272;12,7;28,8;48,3;34
"2018-08-06 00:00:00";179;7,8;26,7;38,7;23
"2018-08-07 00:00:00";198;8,6;32,0;45,2;31
"2018-08-08 00:00:00";265;14,5;39,6;61,9;37
"2018-08-09 00:00:00";287;17,4;37,7;64,4;43
"2018-08-10 00:00:00";177;14,2;32,0;53,8;43
"2018-08-11 00:00:00";54;4,3;15,9;22,5;23
"2018-08-12 00:00:00";88;9,6;27,4;42,1;20
"2018-08-13 00:00:00";213;17,7;37,5;64,6;41
"2018-08-14 00:00:00";117;11,3;28,5;45,8;42
"2018-08-15 00:00:00";56;9,6;21,8;36,5;21
"2018-08-16 00:00:00";66;9,9;24,5;39,7;21
"2018-08-17 00:00:00";98;11,5;31,2;48,9;28
"2018-08-18 00:00:00";69;7,9;24,8;36,9;24
"2018-08-19 00:00:00";60;6,1;23,2;32,5;31
"2018-08-20 00:00:00";55;6,4;22,5;32,3;29
"2018-08-21 00:00:00";103;11,9;38,5;56,7;39
"2018-08-22 00:00:00";62;8,9;30,3;43,9;39
"2018-08-23 00:00:00";71;8,2;26,9;39,4;41
"2018-08-24 00:00:00";47;7,4;27,4;38,7;39
"2018-08-25 00:00:00";;3,8;13,5;19,3;29
"2018-08-26 00:00:00";;4,0;10,0;16,1;13
"2018-08-27 00:00:00";30;7,4;19,3;30,7;13
"2018-08-28 00:00:00";55;9,0;27,2;41,0;20
"2018-08-29 00:00:00";139;9,2;31,4;45,5;28
"2018-08-30 00:00:00";215;14,0;36,8;58,2;32
"2018-08-31 00:00:00";152;12,9;33,6;53,4;30
"2018-09-01 00:00:00";182;6,7;26,5;36,6;43
"2018-09-02 00:00:00";199;6,6;22,0;32,1;27
"2018-09-03 00:00:00";167;8,5;26,3;39,3;35
"2018-09-04 00:00:00";164;10,1;27,3;42,7;23
"2018-09-05 00:00:00";184;9,0;24,6;38,5;24
"2018-09-06 00:00:00";210;13,3;32,0;52,3;29
"2018-09-07 00:00:00";236;14,3;36,9;58,8;32
"2018-09-08 00:00:00";145;6,1;23,9;33,3;28
"2018-09-09 00:00:00";148;8,5;24,3;37,2;23
"2018-09-10 00:00:00";154;10,2;26,3;41,8;27
"2018-09-11 00:00:00";229;12,3;34,1;52,9;26
"2018-09-12 00:00:00";355;18,4;45,3;73,5;39
"2018-09-13 00:00:00";319;14,3;42,3;64,2;42
"2018-09-14 00:00:00";306;19,7;39,8;70,0;43
"2018-09-15 00:00:00";87;5,4;15,2;23,4;20
"2018-09-16 00:00:00";177;11,6;27,5;45,3;24
"2018-09-17 00:00:00";261;20,4;37,9;69,1;35
"2018-09-18 00:00:00";323;20,4;37,9;69,2;
"2018-09-19 00:00:00";372;13,4;36,0;56,4;
"2018-09-20 00:00:00";392;13,0;36,7;56,7;
"2018-09-21 00:00:00";441;19,7;43,7;73,8;
"2018-09-22 00:00:00";279;12,7;23,0;42,4;37
"2018-09-23 00:00:00";209;9,3;18,9;33,2;18
"2018-09-24 00:00:00";136;3,1;10,3;15,1;12
"2018-09-25 00:00:00";166;4,4;13,4;20,1;11
"2018-09-26 00:00:00";157;16,6;29,8;55,3;20
"2018-09-27 00:00:00";211;24,9;38,1;76,2;29
"2018-09-28 00:00:00";314;30,9;43,1;90,5;56
"2018-09-29 00:00:00";141;9,8;26,2;41,1;33
"2018-09-30 00:00:00";127;12,2;24,4;43,2;23
"2018-10-01 00:00:00";240;16,4;27,4;52,5;48
"2018-10-02 00:00:00";132;8,2;19,3;31,8;16
"2018-10-03 00:00:00";124;13,6;25,0;45,9;15
"2018-10-04 00:00:00";134;11,1;25,1;42,0;14
"2018-10-05 00:00:00";313;24,8;36,0;74,1;32
"2018-10-06 00:00:00";300;29,3;38,7;83,6;47
"2018-10-07 00:00:00";310;22,0;36,5;70,2;60
"2018-10-08 00:00:00";223;17,5;37,2;64,0;46
"2018-10-09 00:00:00";311;33,7;42,6;94,3;45
"2018-10-10 00:00:00";296;24,6;40,8;78,4;51
"2018-10-11 00:00:00";298;31,9;39,9;88,8;50
"2018-10-12 00:00:00";382;34,6;43,0;96,0;65
"2018-10-13 00:00:00";380;27,2;42,9;84,6;57
"2018-10-14 00:00:00";374;28,7;37,9;81,9;48
"2018-10-15 00:00:00";482;36,4;43,4;99,2;59
"2018-10-16 00:00:00";474;37,4;45,3;102,6;65
"2018-10-17 00:00:00";426;22,5;43,5;78,0;61
"2018-10-18 00:00:00";572;35,9;46,3;101,3;63
"2018-10-19 00:00:00";598;37,7;41,9;99,7;58
"2018-10-20 00:00:00";465;16,2;26,1;50,9;46
"2018-10-21 00:00:00";334;6,9;18,5;29,1;17
"2018-10-22 00:00:00";364;8,2;21,0;33,6;19
"2018-10-23 00:00:00";290;5,7;14,2;22,9;21
"2018-10-24 00:00:00";287;3,7;12,0;17,7;12
"2018-10-25 00:00:00";409;21,1;24,6;57,0;18
"2018-10-26 00:00:00";429;30,0;28,7;74,7;34
"2018-10-27 00:00:00";575;45,9;30,4;100,8;36
"2018-10-28 00:00:00";499;39,6;28,0;88,7;29
"2018-10-29 00:00:00";392;26,5;28,0;68,6;27
"2018-10-30 00:00:00";386;29,5;33,0;78,2;25
"2018-10-31 00:00:00";520;43,3;43,1;109,5;30
"2018-11-01 00:00:00";531;32,5;32,1;81,9;47
"2018-11-02 00:00:00";630;38,2;29,0;87,6;55
"2018-11-03 00:00:00";583;44,1;31,1;98,7;43
"2018-11-04 00:00:00";604;39,8;30,9;91,9;33
"2018-11-05 00:00:00";602;39,2;34,6;94,6;44
"2018-11-06 00:00:00";541;25,3;31,7;70,4;52
"2018-11-07 00:00:00";562;20,3;27,8;58,9;49
"2018-11-08 00:00:00";547;43,6;33,8;100,6;56
"2018-11-09 00:00:00";513;54,5;34,5;117,9;61
"2018-11-10 00:00:00";389;20,7;24,7;56,4;52
"2018-11-11 00:00:00";454;20,2;21,7;52,6;48
"2018-11-12 00:00:00";579;32,0;31,2;80,1;70
"2018-11-13 00:00:00";337;14,9;29,7;52,6;64
"2018-11-14 00:00:00";194;10,4;19,7;35,6;18
"2018-11-15 00:00:00";382;26,5;31,7;72,2;32
"2018-11-16 00:00:00";339;17,0;27,1;53,1;31
"2018-11-17 00:00:00";366;9,3;27,0;41,1;21
"2018-11-18 00:00:00";469;9,2;22,7;36,8;29
"2018-11-19 00:00:00";391;9,0;19,4;33,2;24
"2018-11-20 00:00:00";387;8,5;17,5;30,6;19
"2018-11-21 00:00:00";424;25,1;20,6;59,1;18
"2018-11-22 00:00:00";443;25,1;17,0;55,4;23
"2018-11-23 00:00:00";412;24,1;18,0;54,9;25
"2018-11-24 00:00:00";467;18,0;15,0;42,6;25
"2018-11-25 00:00:00";542;18,5;14,0;42,3;25
"2018-11-26 00:00:00";444;15,0;19,7;42,8;8
"2018-11-27 00:00:00";330;12,4;20,4;39,3;7
"2018-11-28 00:00:00";359;12,4;26,6;45,5;17
"2018-11-29 00:00:00";437;15,7;22,0;46,0;26
"2018-11-30 00:00:00";392;16,2;21,8;46,6;24
"2018-12-01 00:00:00";514;26,8;23,7;64,7;37
"2018-12-02 00:00:00";469;11,4;19,7;37,2;37
"2018-12-03 00:00:00";527;31,3;20,2;68,1;48
"2018-12-04 00:00:00";459;31,5;20,8;69,1;38
"2018-12-05 00:00:00";348;16,4;23,5;48,5;16
"2018-12-06 00:00:00";590;28,1;32,5;75,6;36
"2018-12-07 00:00:00";612;29,8;26,8;72,5;47
"2018-12-08 00:00:00";571;26,3;25,5;65,7;33
"2018-12-09 00:00:00";585;26,5;26,1;66,6;18
"2018-12-10 00:00:00";288;7,8;18,3;30,2;6
"2018-12-11 00:00:00";344;15,5;21,3;45,0;9
"2018-12-12 00:00:00";482;22,7;15,5;50,2;20
"2018-12-13 00:00:00";987;65,5;22,7;123,0;38
"2018-12-14 00:00:00";849;25,5;20,4;59,6;29
"2018-12-15 00:00:00";482;20,1;18,5;49,2;16
"2018-12-16 00:00:00";635;24,7;23,8;61,7;26
"2018-12-17 00:00:00";1052;50,7;31,3;108,9;47
"2018-12-18 00:00:00";1633;107,5;44,0;208,7;69
"2018-12-19 00:00:00";1299;46,8;32,6;104,3;64
"2018-12-20 00:00:00";1003;24,4;25,4;62,7;44
"2018-12-21 00:00:00";1236;30,9;32,0;79,3;77
"2018-12-22 00:00:00";918;39,2;29,6;89,6;36
"2018-12-23 00:00:00";458;16,6;22,7;48,1;9
"2018-12-24 00:00:00";437;7,5;13,1;24,5;9
"2018-12-25 00:00:00";414;4,3;11,0;17,7;7
"2018-12-26 00:00:00";410;4,0;11,2;17,3;11
