Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)"
"Limit values";-;;85;;50
"2020-01-01 00:00:00";576;9,2;20,1;34,2;21
"2020-01-02 00:00:00";821;21,4;28,3;61,0;43
"2020-01-03 00:00:00";891;16,2;21,2;45,9;40
"2020-01-04 00:00:00";787;14,1;18,5;40,0;28
"2020-01-05 00:00:00";527;5,3;12,7;20,9;8
"2020-01-06 00:00:00";860;33,4;32,3;83,4;29
"2020-01-07 00:00:00";1132;46,2;35,2;106,1;53
"2020-01-08 00:00:00";1181;34,6;35,2;88,2;74
"2020-01-09 00:00:00";1184;22,5;22,1;56,6;80
"2020-01-10 00:00:00";834;27,0;26,0;67,4;61
"2020-01-11 00:00:00";581;30,1;24,3;70,4;45
"2020-01-12 00:00:00";873;50,9;30,1;108,1;53
"2020-01-13 00:00:00";602;16,3;19,0;43,9;35
"2020-01-14 00:00:00";619;11,1;18,0;35,1;37
"2020-01-15 00:00:00";588;9,2;20,2;34,2;39
"2020-01-16 00:00:00";625;13,6;24,0;44,8;46
"2020-01-17 00:00:00";785;19,2;24,2;53,6;44
"2020-01-18 00:00:00";639;11,3;19,8;37,2;37
"2020-01-19 00:00:00";844;22,1;24,2;58,0;45
"2020-01-20 00:00:00";1033;51,8;29,7;109,1;62
"2020-01-21 00:00:00";695;27,6;26,6;68,9;39
"2020-01-22 00:00:00";575;13,3;20,6;41,0;37
"2020-01-23 00:00:00";817;56,1;35,9;121,8;49
"2020-01-24 00:00:00";782;24,0;28,2;65,0;61
"2020-01-25 00:00:00";736;14,3;24,2;46,0;55
"2020-01-26 00:00:00";741;9,9;19,9;35,0;53
"2020-01-27 00:00:00";810;20,7;21,3;53,1;37
"2020-01-28 00:00:00";903;24,2;21,5;58,6;28
"2020-01-29 00:00:00";500;16,8;27,3;53,0;14
"2020-01-30 00:00:00";492;13,4;23,6;44,2;26
"2020-01-31 00:00:00";570;19,3;26,2;55,8;22
"2020-02-01 00:00:00";546;18,6;25,9;54,4;25
"2020-02-02 00:00:00";371;7,2;16,1;27,1;12
"2020-02-03 00:00:00";324;4,4;13,2;19,9;8
"2020-02-04 00:00:00";398;7,0;15,1;25,8;9
"2020-02-05 00:00:00";380;6,0;13,8;23,0;11
"2020-02-06 00:00:00";427;7,7;15,6;27,4;22
"2020-02-07 00:00:00";438;8,3;17,0;29,6;22
"2020-02-08 00:00:00";501;12,0;23,0;41,4;21
"2020-02-09 00:00:00";678;18,4;30,4;58,6;38
"2020-02-10 00:00:00";432;10,3;21,2;37,0;25
"2020-02-11 00:00:00";360;6,0;16,7;25,9;13
"2020-02-12 00:00:00";336;7,4;17,6;28,9;18
"2020-02-13 00:00:00";422;10,8;23,2;39,7;18
"2020-02-14 00:00:00";468;14,3;25,7;47,7;24
"2020-02-15 00:00:00";528;12,7;22,9;42,4;29
"2020-02-16 00:00:00";751;23,7;29,3;65,6;45
"2020-02-17 00:00:00";782;28,1;37,7;80,8;55
"2020-02-18 00:00:00";544;11,5;32,5;50,1;30
"2020-02-19 00:00:00";504;22,3;36,6;70,7;22
"2020-02-20 00:00:00";470;14,2;29,6;51,3;19
"2020-02-21 00:00:00";540;15,9;29,4;53,7;25
"2020-02-22 00:00:00";500;16,4;32,1;57,7;22
"2020-02-23 00:00:00";502;11,9;29,4;47,6;21
"2020-02-24 00:00:00";424;6,9;24,6;35,2;16
"2020-02-25 00:00:00";481;13,6;31,2;52,0;28
"2020-02-26 00:00:00";465;9,6;30,3;44,9;21
"2020-02-27 00:00:00";478;9,3;27,5;41,7;19
"2020-02-28 00:00:00";448;6,5;24,8;34,6;12
"2020-02-29 00:00:00";524;10,8;32,2;48,7;18
"2020-03-01 00:00:00";592;12,9;33,3;53,0;21
"2020-03-02 00:00:00";560;10,5;30,6;46,7;22
"2020-03-03 00:00:00";696;18,6;32,5;61,0;23
"2020-03-04 00:00:00";525;5,8;25,5;34,3;18
"2020-03-05 00:00:00";620;15,8;37,3;61,5;30
"2020-03-06 00:00:00";672;14,9;35,7;58,6;31
"2020-03-07 00:00:00";633;6,0;25,2;34,4;19
"2020-03-08 00:00:00";603;5,4;27,7;36,0;20
"2020-03-09 00:00:00";753;22,9;42,8;77,9;33
"2020-03-10 00:00:00";680;18,6;39,7;68,1;29
"2020-03-11 00:00:00";603;17,0;31,3;57,4;21
"2020-03-12 00:00:00";563;17,7;37,6;64,7;25
"2020-03-13 00:00:00";568;11,9;35,9;54,1;19
"2020-03-14 00:00:00";496;5,7;26,0;34,7;11
"2020-03-15 00:00:00";498;3,3;22,8;27,9;12
"2020-03-16 00:00:00";610;13,4;33,0;53,4;32
"2020-03-17 00:00:00";703;16,4;39,0;64,1;44
"2020-03-18 00:00:00";708;21,1;42,8;75,1;49
"2020-03-19 00:00:00";785;27,7;42,1;84,5;50
"2020-03-20 00:00:00";791;24,9;37,9;76,0;54
"2020-03-21 00:00:00";664;6,5;21,0;31,0;40
"2020-03-22 00:00:00";493;1,9;8,8;11,8;8
"2020-03-23 00:00:00";550;3,8;13,2;19,0;17
"2020-03-24 00:00:00";556;2,6;11,6;15,6;21
"2020-03-25 00:00:00";602;3,4;14,7;19,9;29
"2020-03-26 00:00:00";604;3,1;17,9;22,6;
"2020-03-27 00:00:00";649;9,7;24,6;39,4;
"2020-03-28 00:00:00";649;6,4;22,9;32,7;
"2020-03-29 00:00:00";587;3,1;15,6;20,3;
"2020-03-30 00:00:00";516;3,2;10,3;15,1;
"2020-03-31 00:00:00";571;4,0;15,2;21,4;
"2020-04-01 00:00:00";657;6,4;22,4;32,2;
"2020-04-02 00:00:00";665;11,4;24,7;42,2;
"2020-04-03 00:00:00";646;10,8;24,5;41,1;
"2020-04-04 00:00:00";536;3,6;17,5;22,9;
"2020-04-05 00:00:00";506;1,7;14,0;16,6;
"2020-04-06 00:00:00";560;4,5;19,9;26,8;
"2020-04-07 00:00:00";649;13,8;30,6;51,7;
"2020-04-08 00:00:00";660;16,9;32,7;58,6;
"2020-04-09 00:00:00";659;17,2;31,3;57,6;
"2020-04-10 00:00:00";440;2,8;15,5;19,8;
"2020-04-11 00:00:00";446;3,5;15,5;20,9;
"2020-04-12 00:00:00";474;4,2;17,6;24,0;
"2020-04-13 00:00:00";376;2,0;10,4;13,5;
"2020-04-14 00:00:00";412;2,8;8,2;12,6;
"2020-04-15 00:00:00";450;4,5;16,0;22,9;
"2020-04-16 00:00:00";492;7,7;24,4;36,2;
"2020-04-17 00:00:00";568;15,0;26,0;49,0;
"2020-04-18 00:00:00";450;2,2;15,8;19,1;
"2020-04-19 00:00:00";451;1,8;12,3;15,0;
"2020-04-20 00:00:00";453;2,8;13,0;17,3;
"2020-04-21 00:00:00";466;2,9;13,2;17,5;
"2020-04-22 00:00:00";428;3,1;15,7;20,5;
"2020-04-23 00:00:00";438;3,6;19,0;24,5;
"2020-04-24 00:00:00";520;12,9;27,1;46,8;
"2020-04-25 00:00:00";360;1,4;10,0;12,1;
"2020-04-26 00:00:00";369;1,9;10,0;12,9;
"2020-04-27 00:00:00";482;9,8;22,0;37,1;
"2020-04-28 00:00:00";428;4,8;18,6;26,0;
"2020-04-29 00:00:00";404;5,9;15,5;24,6;
"2020-04-30 00:00:00";404;4,0;15,6;21,8;
"2020-05-01 00:00:00";417;4,0;14,8;20,9;
"2020-05-02 00:00:00";397;3,1;12,2;16,9;
"2020-05-03 00:00:00";365;1,4;6,2;8,2;
"2020-05-04 00:00:00";416;3,5;14,5;19,8;
"2020-05-05 00:00:00";427;4,4;15,2;21,9;
"2020-05-06 00:00:00";418;2,0;8,0;11,1;
"2020-05-07 00:00:00";414;1,9;10,2;13,1;
"2020-05-08 00:00:00";527;8,7;25,1;38,4;
"2020-05-09 00:00:00";503;3,6;21,5;27,0;
"2020-05-10 00:00:00";450;3,1;16,9;21,7;
"2020-05-11 00:00:00";444;5,8;20,3;29,2;
"2020-05-12 00:00:00";429;2,8;10,6;14,9;
"2020-05-13 00:00:00";539;6,1;17,5;26,8;
"2020-05-14 00:00:00";499;4,5;13,1;20,0;
"2020-05-15 00:00:00";487;3,6;12,9;18,4;
"2020-05-16 00:00:00";538;3,3;15,1;20,2;
"2020-05-17 00:00:00";577;3,4;17,1;22,3;
"2020-05-18 00:00:00";673;12,7;32,2;51,6;
"2020-05-19 00:00:00";671;13,6;32,0;52,8;
"2020-05-20 00:00:00";587;7,8;22,0;33,9;
"2020-05-21 00:00:00";501;3,4;15,2;20,4;
"2020-05-22 00:00:00";463;5,9;19,3;28,3;
"2020-05-23 00:00:00";389;4,5;20,3;27,2;
"2020-05-24 00:00:00";277;1,6;7,7;10,1;
"2020-05-25 00:00:00";269;3,0;12,1;16,7;
"2020-05-26 00:00:00";306;4,0;15,0;21,2;
"2020-05-27 00:00:00";338;5,3;18,4;26,5;
"2020-05-28 00:00:00";;5,1;17,9;25,7;
"2020-05-29 00:00:00";;4,1;13,9;20,2;
"2020-05-30 00:00:00";;3,9;11,6;17,5;
"2020-05-31 00:00:00";;2,1;5,8;9,0;
"2020-06-01 00:00:00";;3,4;10,6;15,9;
"2020-06-02 00:00:00";;4,4;15,8;22,5;
"2020-06-03 00:00:00";284;6,6;18,0;28,0;
"2020-06-04 00:00:00";313;12,2;20,5;39,1;
"2020-06-05 00:00:00";309;13,1;21,6;41,7;
"2020-06-06 00:00:00";301;7,9;17,9;29,9;
"2020-06-07 00:00:00";267;6,4;17,3;27,1;
"2020-06-08 00:00:00";207;5,3;11,7;19,8;
"2020-06-09 00:00:00";277;9,5;17,3;31,8;
"2020-06-10 00:00:00";268;8,0;17,3;29,6;
"2020-06-11 00:00:00";310;11,2;21,2;38,3;
"2020-06-12 00:00:00";268;8,4;21,7;34,6;
"2020-06-13 00:00:00";233;5,2;18,6;26,6;
"2020-06-14 00:00:00";206;;;;
"2020-06-15 00:00:00";219;;;;
"2020-06-16 00:00:00";216;;;;
"2020-06-17 00:00:00";;6,8;16,0;26,3;
"2020-06-18 00:00:00";;6,3;13,7;23,4;
"2020-06-19 00:00:00";;;;;
"2020-06-22 00:00:00";;;;;
"2020-06-23 00:00:00";200;4,0;11,3;17,5;15
"2020-06-24 00:00:00";205;6,2;16,4;26,0;14
"2020-06-25 00:00:00";263;8,0;21,6;33,8;22
"2020-06-26 00:00:00";321;12,5;25,1;44,3;27
"2020-06-27 00:00:00";241;6,4;19,5;29,3;22
"2020-06-28 00:00:00";;;;;
"2020-06-29 00:00:00";227;7,0;18,7;29,4;24
"2020-06-30 00:00:00";220;9,4;17,8;32,2;11
"2020-07-01 00:00:00";238;14,5;30,8;53,0;25
"2020-07-02 00:00:00";213;8,2;25,6;38,1;25
"2020-07-03 00:00:00";138;6,0;13,0;22,2;15
"2020-07-04 00:00:00";140;6,2;15,2;24,6;13
"2020-07-05 00:00:00";124;5,2;15,8;23,7;11
"2020-07-06 00:00:00";150;;;;17
"2020-07-07 00:00:00";128;4,6;10,6;17,7;10
"2020-07-08 00:00:00";197;11,4;22,0;39,5;11
"2020-07-09 00:00:00";288;10,6;24,9;41,1;17
"2020-07-10 00:00:00";366;15,7;29,8;53,8;37
"2020-07-11 00:00:00";299;6,8;18,3;28,6;32
"2020-07-12 00:00:00";292;4,1;9,7;15,9;8
"2020-07-13 00:00:00";328;7,2;15,6;26,6;11
"2020-07-14 00:00:00";332;6,2;16,2;25,7;15
"2020-07-15 00:00:00";399;12,4;28,6;47,6;18
"2020-07-16 00:00:00";349;7,5;20,0;31,5;16
"2020-07-17 00:00:00";320;5,6;14,8;23,4;13
"2020-07-18 00:00:00";338;8,0;16,8;29,1;11
"2020-07-19 00:00:00";358;6,4;14,2;23,9;13
"2020-07-20 00:00:00";385;11,8;21,6;39,6;17
"2020-07-21 00:00:00";348;9,8;24,2;39,2;23
"2020-07-22 00:00:00";371;7,6;26,2;37,9;23
"2020-07-23 00:00:00";421;7,1;27,8;38,6;27
"2020-07-24 00:00:00";452;9,9;28,4;43,5;26
"2020-07-25 00:00:00";412;5,5;19,0;27,4;17
"2020-07-26 00:00:00";395;6,7;18,2;28,3;16
"2020-07-27 00:00:00";333;5,9;18,3;27,4;14
"2020-07-28 00:00:00";423;17,0;28,8;54,8;21
"2020-07-29 00:00:00";326;6,6;24,1;34,2;18
"2020-07-30 00:00:00";355;8,6;26,2;39,4;20
"2020-07-31 00:00:00";325;8,8;28,3;41,8;22
"2020-08-01 00:00:00";277;4,4;19,1;25,9;18
"2020-08-02 00:00:00";265;4,4;15,3;22,0;17
"2020-08-03 00:00:00";339;8,3;23,9;36,7;24
"2020-08-04 00:00:00";294;5,6;18,7;27,2;19
"2020-08-05 00:00:00";306;6,2;14,4;23,8;12
"2020-08-06 00:00:00";323;5,9;21,3;30,4;20
"2020-08-07 00:00:00";351;6,8;27,8;38,2;29
"2020-08-08 00:00:00";;;;;
"2020-08-10 00:00:00";;;;;
"2020-08-11 00:00:00";361;7,9;23,7;35,7;23
"2020-08-12 00:00:00";310;5,9;25,4;34,4;18
"2020-08-13 00:00:00";377;14,1;33,1;54,6;28
"2020-08-14 00:00:00";356;10,9;31,5;48,2;27
"2020-08-15 00:00:00";341;6,8;24,2;34,6;23
"2020-08-16 00:00:00";329;5,3;17,4;25,4;18
"2020-08-17 00:00:00";299;5,2;17,6;25,6;20
"2020-08-18 00:00:00";311;5,0;16,5;24,2;16
"2020-08-19 00:00:00";271;3,4;12,6;17,8;14
"2020-08-20 00:00:00";283;3,2;14,1;19,1;15
"2020-08-21 00:00:00";356;7,9;26,0;38,2;20
"2020-08-22 00:00:00";362;8,0;24,5;36,6;23
"2020-08-23 00:00:00";233;3,0;11,5;16,2;10
"2020-08-24 00:00:00";261;5,4;17,1;25,3;13
"2020-08-25 00:00:00";239;3,6;14,5;20,1;12
"2020-08-26 00:00:00";311;13,3;26,4;46,7;20
"2020-08-27 00:00:00";223;4,6;14,9;21,9;17
"2020-08-28 00:00:00";343;12,8;27,8;47,4;26
"2020-08-29 00:00:00";332;9,6;26,9;41,7;30
"2020-08-30 00:00:00";351;10,7;26,8;43,1;27
"2020-08-31 00:00:00";219;3,2;11,3;16,2;10
"2020-09-01 00:00:00";313;7,8;13,9;25,8;7
"2020-09-02 00:00:00";270;4,0;12,0;18,0;5
"2020-09-03 00:00:00";331;6,8;18,3;28,6;12
"2020-09-04 00:00:00";354;8,0;21,6;33,9;15
"2020-09-05 00:00:00";436;12,0;28,0;46,4;22
"2020-09-06 00:00:00";405;10,3;20,7;36,4;17
"2020-09-07 00:00:00";309;4,9;12,8;20,2;12
"2020-09-08 00:00:00";347;7,4;18,2;29,6;16
"2020-09-09 00:00:00";451;11,9;29,4;47,6;23
"2020-09-10 00:00:00";454;10,8;28,0;44,5;28
"2020-09-11 00:00:00";419;9,0;25,3;39,1;27
"2020-09-12 00:00:00";458;8,8;25,9;39,4;25
"2020-09-13 00:00:00";416;7,4;21,3;32,6;24
"2020-09-14 00:00:00";491;9,5;25,9;40,4;29
"2020-09-15 00:00:00";551;12,7;28,3;47,8;34
"2020-09-16 00:00:00";568;14,2;30,6;52,3;39
"2020-09-17 00:00:00";522;9,2;24,8;38,9;35
"2020-09-18 00:00:00";437;6,9;18,7;29,3;24
"2020-09-19 00:00:00";493;6,5;21,3;31,3;23
"2020-09-20 00:00:00";510;5,9;21,2;30,2;34
"2020-09-21 00:00:00";547;10,8;28,5;45,0;43
"2020-09-22 00:00:00";521;13,2;30,6;50,8;47
"2020-09-23 00:00:00";500;13,8;28,5;49,7;49
"2020-09-24 00:00:00";;;;;
"2020-09-25 00:00:00";524;20,0;26,6;57,2;30
"2020-09-26 00:00:00";325;4,0;9,4;15,4;4
"2020-09-27 00:00:00";382;7,2;14,6;25,6;5
"2020-09-28 00:00:00";441;9,4;19,1;33,4;13
"2020-09-29 00:00:00";362;6,4;11,5;21,3;12
"2020-09-30 00:00:00";350;4,9;9,9;17,4;20
"2020-10-01 00:00:00";409;11,0;15,9;32,7;24
"2020-10-02 00:00:00";547;22,0;27,6;61,3;32
"2020-10-03 00:00:00";552;20,1;26,6;57,5;33
"2020-10-04 00:00:00";401;11,9;19,3;37,5;16
"2020-10-05 00:00:00";393;14,1;25,8;47,3;15
"2020-10-06 00:00:00";389;18,9;27,1;56,0;18
"2020-10-07 00:00:00";344;14,9;18,9;41,7;15
"2020-10-08 00:00:00";265;4,8;11,4;18,7;11
"2020-10-09 00:00:00";434;21,0;25,7;57,9;18
"2020-10-10 00:00:00";437;17,8;24,0;51,3;20
"2020-10-11 00:00:00";268;6,3;11,0;20,6;15
"2020-10-12 00:00:00";284;5,9;12,1;21,1;7
"2020-10-13 00:00:00";325;5,1;12,6;20,5;3
"2020-10-14 00:00:00";454;16,9;19,5;45,4;12
"2020-10-15 00:00:00";523;24,1;22,0;58,9;16
"2020-10-16 00:00:00";483;24,1;17,8;54,7;14
"2020-10-17 00:00:00";364;9,5;11,2;25,7;10
"2020-10-18 00:00:00";277;4,0;11,8;18,0;11
"2020-10-19 00:00:00";488;23,8;25,2;61,6;26
"2020-10-20 00:00:00";428;18,6;28,2;56,6;29
"2020-10-21 00:00:00";430;19,7;28,1;58,1;39
"2020-10-22 00:00:00";410;23,0;26,5;61,8;43
"2020-10-23 00:00:00";499;20,0;24,2;54,8;50
"2020-10-24 00:00:00";601;26,9;19,8;61,0;49
"2020-10-25 00:00:00";399;11,4;17,6;35,0;37
"2020-10-26 00:00:00";331;16,6;21,6;47,0;28
"2020-10-27 00:00:00";427;23,7;23,0;59,2;37
"2020-10-28 00:00:00";451;23,5;23,8;59,8;40
"2020-10-29 00:00:00";463;36,3;22,1;77,7;31
"2020-10-30 00:00:00";270;16,9;19,0;44,8;12
"2020-10-31 00:00:00";181;8,7;13,1;26,4;9
"2020-11-01 00:00:00";281;13,5;22,0;42,7;21
"2020-11-02 00:00:00";361;24,2;19,3;56,3;46
"2020-11-03 00:00:00";426;20,7;17,6;49,2;45
"2020-11-04 00:00:00";253;12,6;14,2;33,5;18
"2020-11-05 00:00:00";264;9,5;19,2;33,8;16
"2020-11-06 00:00:00";442;25,1;25,0;63,5;35
"2020-11-07 00:00:00";609;26,3;25,8;66,1;46
"2020-11-08 00:00:00";715;26,7;25,5;66,4;52
"2020-11-09 00:00:00";716;33,2;27,0;77,9;51
"2020-11-10 00:00:00";444;9,6;19,4;34,2;36
"2020-11-11 00:00:00";558;12,7;18,4;37,9;31
"2020-11-12 00:00:00";422;11,9;14,5;32,7;25
"2020-11-13 00:00:00";430;20,7;18,6;50,3;32
"2020-11-14 00:00:00";285;11,7;17,4;35,2;35
"2020-11-15 00:00:00";238;7,7;14,3;26,0;35
"2020-11-16 00:00:00";301;11,3;17,2;34,5;42
"2020-11-17 00:00:00";441;29,8;25,1;70,7;36
"2020-11-18 00:00:00";580;46,2;27,0;97,8;42
