Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)"
"Limit values";-;;85;;50
"2014-01-01 00:00:00";352;;;;49
"2014-01-02 00:00:00";435;;;;56
"2014-01-03 00:00:00";1003;;;;79
"2014-01-04 00:00:00";662;;;;86
"2014-01-05 00:00:00";672;;;;47
"2014-01-06 00:00:00";659;;;;39
"2014-01-07 00:00:00";760;;;;50
"2014-01-08 00:00:00";434;;;;28
"2014-01-09 00:00:00";454;;;;25
"2014-01-10 00:00:00";392;;;;24
"2014-01-11 00:00:00";570;;;;41
"2014-01-12 00:00:00";308;;;;21
"2014-01-13 00:00:00";658;;;;52
"2014-01-14 00:00:00";483;;;;46
"2014-01-15 00:00:00";453;;;;38
"2014-01-16 00:00:00";601;;;;47
"2014-01-17 00:00:00";685;;;;59
"2014-01-18 00:00:00";734;;;;63
"2014-01-19 00:00:00";568;;;;49
"2014-01-20 00:00:00";521;;;;47
"2014-01-21 00:00:00";518;;;;34
"2014-01-22 00:00:00";481;;;;22
"2014-01-23 00:00:00";584;;;;50
"2014-01-24 00:00:00";415;;;;39
"2014-01-25 00:00:00";466;;;;42
"2014-01-26 00:00:00";605;;;;57
"2014-01-27 00:00:00";1000;;;;95
"2014-01-28 00:00:00";847;;;;86
"2014-01-29 00:00:00";764;;;;82
"2014-01-30 00:00:00";717;;;;68
"2014-01-31 00:00:00";423;;;;47
"2014-02-01 00:00:00";334;;;;40
"2014-02-02 00:00:00";415;;;;36
"2014-02-03 00:00:00";674;;;;53
"2014-02-04 00:00:00";672;;;;60
"2014-02-05 00:00:00";572;;;;60
"2014-02-06 00:00:00";810;;;;74
"2014-02-07 00:00:00";891;;;;63
"2014-02-08 00:00:00";1672;;;;83
"2014-02-09 00:00:00";823;;;;41
"2014-02-10 00:00:00";594;;;;23
"2014-02-11 00:00:00";830;;;;33
"2014-02-12 00:00:00";638;;;;24
"2014-02-13 00:00:00";422;;;;34
"2014-02-14 00:00:00";497;;;;29
"2014-02-15 00:00:00";657;;;;36
"2014-02-16 00:00:00";573;;;;38
"2014-02-17 00:00:00";522;;;;17
"2014-02-18 00:00:00";670;;;;39
"2014-02-19 00:00:00";695;;;;64
"2014-02-20 00:00:00";631;;;;41
"2014-02-21 00:00:00";911;;;;57
"2014-02-22 00:00:00";738;;;;40
"2014-02-23 00:00:00";620;;;;32
"2014-02-24 00:00:00";447;;;;29
"2014-02-25 00:00:00";733;;;;55
"2014-02-26 00:00:00";401;;;;44
"2014-02-27 00:00:00";465;;;;58
"2014-02-28 00:00:00";508;;;;47
"2014-03-01 00:00:00";360;;;;39
"2014-03-02 00:00:00";336;;;;41
"2014-03-03 00:00:00";386;;;;46
"2014-03-04 00:00:00";290;;;;42
"2014-03-05 00:00:00";355;;;;30
"2014-03-06 00:00:00";262;;;;31
"2014-03-07 00:00:00";419;;;;34
"2014-03-08 00:00:00";562;;;;28
"2014-03-09 00:00:00";595;;;;39
"2014-03-10 00:00:00";539;;;;32
"2014-03-11 00:00:00";802;;;;42
"2014-03-12 00:00:00";882;;;;54
"2014-03-13 00:00:00";877;;;;48
"2014-03-14 00:00:00";1020;;;;74
"2014-03-15 00:00:00";688;;;;70
"2014-03-16 00:00:00";293;;;;
"2014-03-17 00:00:00";287;;;;20
"2014-03-18 00:00:00";356;;;;34
"2014-03-19 00:00:00";265;;;;33
"2014-03-20 00:00:00";221;;;;22
"2014-03-21 00:00:00";294;;;;45
"2014-03-22 00:00:00";303;;;;39
"2014-03-23 00:00:00";201;;;;37
"2014-03-24 00:00:00";297;;;;19
"2014-03-25 00:00:00";402;;;;14
"2014-03-26 00:00:00";599;;;;32
"2014-03-27 00:00:00";574;;;;33
"2014-03-28 00:00:00";643;;;;34
"2014-03-29 00:00:00";680;;;;50
"2014-03-30 00:00:00";781;;;;47
"2014-03-31 00:00:00";915;;;;52
