Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)"
"Limit values";-;;85;;50
"2023-01-01 00:00:00";813;25,6;13,2;52,4;56
"2023-01-02 00:00:00";541;8,8;11,8;25,3;41
"2023-01-03 00:00:00";430;9,0;12,2;25,9;20
"2023-01-04 00:00:00";448;12,0;16,2;34,6;24
"2023-01-05 00:00:00";368;7,9;12,3;24,4;14
"2023-01-06 00:00:00";402;8,5;14,9;27,9;16
"2023-01-07 00:00:00";666;17,0;16,7;42,7;41
"2023-01-08 00:00:00";565;8,1;11,4;23,7;39
"2023-01-09 00:00:00";537;10,9;15,7;32,4;27
"2023-01-10 00:00:00";364;4,0;10,3;16,3;6
"2023-01-11 00:00:00";416;13,2;17,6;37,8;18
"2023-01-12 00:00:00";715;31,0;22,8;70,3;34
"2023-01-13 00:00:00";567;14,2;17,1;38,8;37
"2023-01-14 00:00:00";551;14,8;18,1;40,7;31
"2023-01-15 00:00:00";419;5,6;13,0;21,5;26
"2023-01-16 00:00:00";470;7,9;14,5;26,6;25
"2023-01-17 00:00:00";362;6,0;14,5;23,7;15
"2023-01-18 00:00:00";389;8,8;17,5;31,0;13
"2023-01-19 00:00:00";293;5,2;11,5;19,5;14
"2023-01-20 00:00:00";452;6,9;13,3;23,8;19
"2023-01-21 00:00:00";522;6,1;12,3;21,7;19
"2023-01-22 00:00:00";;;;;
"2023-01-23 00:00:00";;;;;
"2023-01-24 00:00:00";579;19,7;18,8;49,0;32
"2023-01-25 00:00:00";624;11,6;16,7;34,5;29
"2023-01-26 00:00:00";509;3,7;14,3;19,9;27
"2023-01-27 00:00:00";573;3,3;14,1;19,1;26
"2023-01-28 00:00:00";452;3,9;10,5;16,6;27
"2023-01-29 00:00:00";454;3,5;9,5;14,8;21
"2023-01-30 00:00:00";521;11,6;14,6;32,3;26
"2023-01-31 00:00:00";;7,0;9,0;19,7;8
"2023-02-01 00:00:00";;7,2;9,3;20,3;6
"2023-02-02 00:00:00";344;6,7;9,1;19,3;6
"2023-02-03 00:00:00";389;12,3;13,3;32,0;9
"2023-02-04 00:00:00";356;6,6;6,5;16,6;6
"2023-02-05 00:00:00";464;6,8;9,8;20,3;8
"2023-02-06 00:00:00";616;10,0;16,4;31,6;23
"2023-02-07 00:00:00";795;18,1;23,8;51,5;42
"2023-02-08 00:00:00";580;7,4;23,8;35,1;27
"2023-02-09 00:00:00";727;16,0;43,7;68,2;40
"2023-02-10 00:00:00";744;19,3;49,0;78,5;44
"2023-02-11 00:00:00";602;12,1;38,8;57,4;43
"2023-02-12 00:00:00";521;8,1;26,2;38,7;27
"2023-02-13 00:00:00";574;13,6;36,8;57,6;30
"2023-02-14 00:00:00";545;11,9;34,0;52,2;25
"2023-02-15 00:00:00";683;22,0;46,4;80,0;42
"2023-02-16 00:00:00";959;37,8;63,1;121,0;61
"2023-02-17 00:00:00";805;19,8;50,8;81,1;58
"2023-02-18 00:00:00";411;2,8;16,5;20,8;18
"2023-02-19 00:00:00";365;2,3;13,2;16,7;5
"2023-02-20 00:00:00";471;6,7;25,4;35,6;17
"2023-02-21 00:00:00";438;2,7;18,4;22,6;10
"2023-02-22 00:00:00";525;6,7;26,7;37,0;27
"2023-02-23 00:00:00";536;4,8;22,1;29,4;32
"2023-02-24 00:00:00";471;12,4;22,9;41,9;42
"2023-02-25 00:00:00";332;5,4;12,5;20,9;13
"2023-02-26 00:00:00";402;5,1;11,6;19,5;11
"2023-02-27 00:00:00";469;6,1;15,3;24,6;15
"2023-02-28 00:00:00";510;6,3;16,2;25,9;22
"2023-03-01 00:00:00";589;13,3;23,3;43,7;29
"2023-03-02 00:00:00";642;15,8;25,3;49,5;34
"2023-03-03 00:00:00";680;24,4;29,4;66,7;44
"2023-03-04 00:00:00";485;6,6;14,5;24,6;25
"2023-03-05 00:00:00";441;6,4;12,1;21,9;14
"2023-03-06 00:00:00";497;9,1;20,5;34,4;23
"2023-03-07 00:00:00";534;15,1;23,8;46,9;35
"2023-03-08 00:00:00";459;9,4;20,9;35,3;29
"2023-03-09 00:00:00";399;7,5;20,2;31,7;19
"2023-03-10 00:00:00";503;11,7;24,3;42,3;26
"2023-03-11 00:00:00";411;4,5;7,2;14,2;17
"2023-03-12 00:00:00";529;7,9;16,5;28,5;12
"2023-03-13 00:00:00";507;7,3;18,7;29,8;30
"2023-03-14 00:00:00";468;7,1;18,4;29,3;27
"2023-03-15 00:00:00";469;3,5;8,8;14,1;8
"2023-03-16 00:00:00";545;5,5;17,8;26,3;15
"2023-03-17 00:00:00";674;14,0;27,2;48,7;26
"2023-03-18 00:00:00";604;6,4;22,6;32,5;26
"2023-03-19 00:00:00";579;5,9;22,4;31,4;29
"2023-03-20 00:00:00";556;9,0;24,7;38,4;33
"2023-03-21 00:00:00";403;5,3;16,7;24,9;23
"2023-03-22 00:00:00";604;26,7;31,9;72,8;39
"2023-03-23 00:00:00";609;20,5;31,4;62,9;51
"2023-03-24 00:00:00";496;10,6;31,1;47,4;48
"2023-03-25 00:00:00";352;4,0;11,8;17,9;8
"2023-03-26 00:00:00";387;5,4;17,7;26,0;8
"2023-03-27 00:00:00";383;5,1;11,7;19,5;7
"2023-03-28 00:00:00";395;5,0;9,7;17,4;9
"2023-03-29 00:00:00";451;7,5;20,0;31,4;13
"2023-03-30 00:00:00";545;11,3;26,1;43,5;30
"2023-03-31 00:00:00";315;7,9;18,5;30,5;18
"2023-04-01 00:00:00";278;5,3;15,9;24,1;6
"2023-04-02 00:00:00";247;4,2;10,5;17,0;6
"2023-04-03 00:00:00";327;4,9;12,5;20,0;10
"2023-04-04 00:00:00";369;5,4;14,4;22,7;12
"2023-04-05 00:00:00";391;6,1;16,3;25,6;17
"2023-04-06 00:00:00";399;5,8;16,5;25,5;24
"2023-04-07 00:00:00";381;6,4;15,9;25,8;31
"2023-04-08 00:00:00";400;7,0;13,6;24,3;19
"2023-04-09 00:00:00";427;6,5;17,7;27,7;19
"2023-04-10 00:00:00";391;6,1;18,9;28,2;19
"2023-04-11 00:00:00";394;11,1;22,1;39,0;22
"2023-04-12 00:00:00";306;5,2;18,9;26,8;12
