Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)"
"Limit values";-;;85;;50
"2013-01-01 00:00:00";;19,7;20,8;51,1;58
"2013-01-02 00:00:00";;36,0;33,3;88,2;44
"2013-01-03 00:00:00";;65,7;55,0;155,6;35
"2013-01-04 00:00:00";;21,3;26,7;59,5;14
"2013-01-05 00:00:00";;21,6;21,8;55,0;12
"2013-01-06 00:00:00";;21,4;25,5;58,3;15
"2013-01-07 00:00:00";;23,4;36,2;71,8;22
"2013-01-08 00:00:00";;41,1;43,1;106,0;26
"2013-01-09 00:00:00";;29,8;31,7;77,2;43
"2013-01-10 00:00:00";;65,7;39,6;139,9;51
"2013-01-11 00:00:00";;68,0;40,4;144,3;30
"2013-01-12 00:00:00";;30,6;38,4;84,9;23
"2013-01-13 00:00:00";;16,9;34,2;60,6;37
"2013-01-14 00:00:00";;30,9;50,0;97,5;34
"2013-01-15 00:00:00";;61,7;53,7;147,9;48
"2013-01-16 00:00:00";;44,5;46,9;115,4;39
"2013-01-17 00:00:00";;45,2;46,8;116,1;37
"2013-01-18 00:00:00";;33,2;52,7;103,3;28
"2013-01-19 00:00:00";;22,6;41,9;76,6;43
"2013-01-20 00:00:00";;25,6;46,9;85,8;51
"2013-01-21 00:00:00";;51,9;51,0;130,6;46
"2013-01-22 00:00:00";;26,7;43,8;85,4;50
"2013-01-23 00:00:00";;39,7;58,2;119,1;59
"2013-01-24 00:00:00";;32,1;54,7;104,3;65
"2013-01-25 00:00:00";;24,0;59,1;95,8;59
"2013-01-26 00:00:00";;24,7;61,6;99,6;50
"2013-01-27 00:00:00";;50,4;72,8;150,8;73
"2013-01-28 00:00:00";;37,9;60,6;118,8;67
"2013-01-29 00:00:00";;55,7;75,8;161,5;58
"2013-01-30 00:00:00";;65,5;71,1;171,6;40
"2013-01-31 00:00:00";;16,7;47,2;72,9;19
"2013-02-01 00:00:00";;30,5;51,0;97,8;23
"2013-02-02 00:00:00";;36,8;36,4;94,3;25
"2013-02-03 00:00:00";;7,9;22,6;35,0;14
"2013-02-04 00:00:00";;35,8;53,4;109,3;31
"2013-02-05 00:00:00";;48,7;62,8;137,6;35
"2013-02-06 00:00:00";452;51,2;60,6;139,0;32
"2013-02-07 00:00:00";278;22,3;53,1;87,3;23
"2013-02-08 00:00:00";323;34,7;68,2;121,5;34
"2013-02-09 00:00:00";493;33,0;61,5;112,0;39
"2013-02-10 00:00:00";430;20,2;50,2;81,2;32
"2013-02-11 00:00:00";526;27,2;56,4;98,0;50
"2013-02-12 00:00:00";527;;;;39
"2013-02-13 00:00:00";585;54,7;88,7;171,8;38
"2013-02-14 00:00:00";764;50,8;69,5;147,8;59
"2013-02-15 00:00:00";721;51,0;74,7;153,0;53
"2013-02-16 00:00:00";491;17,3;49,5;76,1;52
"2013-02-17 00:00:00";619;22,8;55,0;89,5;57
"2013-02-18 00:00:00";587;31,3;58,3;105,8;57
"2013-02-19 00:00:00";628;51,2;83,1;161,1;54
"2013-02-20 00:00:00";388;26,6;48,2;88,5;20
"2013-02-21 00:00:00";512;26,3;57,6;97,8;30
"2013-02-22 00:00:00";707;36,1;64,4;120,0;36
"2013-02-23 00:00:00";699;38,9;49,6;108,9;29
"2013-02-24 00:00:00";449;28,0;44,1;87,6;17
"2013-02-25 00:00:00";431;39,3;44,4;104,4;25
"2013-02-26 00:00:00";453;48,8;55,6;130,4;33
"2013-02-27 00:00:00";602;45,1;55,7;125,0;45
"2013-02-28 00:00:00";631;47,3;75,7;148,0;50
"2013-03-01 00:00:00";785;41,4;63,7;127,0;49
"2013-03-02 00:00:00";607;10,6;56,1;72,6;21
"2013-03-03 00:00:00";639;18,5;60,9;89,2;27
"2013-03-04 00:00:00";792;94,2;105,1;249,3;34
"2013-03-05 00:00:00";1017;56,1;93,1;179,0;53
"2013-03-06 00:00:00";973;90,0;89,1;226,8;67
"2013-03-07 00:00:00";701;63,7;75,7;173,7;56
"2013-03-08 00:00:00";553;53,4;55,2;137,0;52
"2013-03-09 00:00:00";566;55,2;59,4;144,1;45
"2013-03-10 00:00:00";642;59,8;59,2;150,6;46
"2013-03-11 00:00:00";460;46,3;69,3;140,5;22
"2013-03-12 00:00:00";559;47,3;70,7;143,4;33
"2013-03-13 00:00:00";550;49,4;63,4;139,2;42
"2013-03-14 00:00:00";493;32,0;53,0;102,5;40
"2013-03-15 00:00:00";542;;;;26
"2013-03-16 00:00:00";523;;;;23
"2013-03-17 00:00:00";691;16,1;74,7;98,6;39
"2013-03-18 00:00:00";593;;;;35
"2013-03-19 00:00:00";332;19,9;64,5;94,2;19
"2013-03-20 00:00:00";397;48,4;93,4;167,0;29
"2013-03-21 00:00:00";188;27,2;63,7;104,4;21
"2013-03-22 00:00:00";478;13,5;62,9;83,4;37
"2013-03-23 00:00:00";712;14,3;75,1;96,6;42
"2013-03-24 00:00:00";567;;;;20
"2013-03-25 00:00:00";596;;;;25
"2013-03-26 00:00:00";666;;;;23
"2013-03-27 00:00:00";678;;;;29
"2013-03-28 00:00:00";712;18,5;95,5;122,7;46
"2013-03-29 00:00:00";585;34,3;83,0;134,7;40
"2013-03-30 00:00:00";548;21,7;76,5;108,6;37
"2013-03-31 00:00:00";371;28,5;59,1;102,3;22
"2013-04-01 00:00:00";289;;;;22
"2013-04-02 00:00:00";396;12,6;78,1;96,8;34
"2013-04-03 00:00:00";423;27,4;71,3;113,2;25
"2013-04-04 00:00:00";520;33,0;84,3;134,6;43
"2013-04-05 00:00:00";622;39,7;86,8;146,9;44
"2013-04-06 00:00:00";440;;;;36
"2013-04-07 00:00:00";483;;;;41
"2013-04-08 00:00:00";316;;;;36
"2013-04-09 00:00:00";632;;;;42
"2013-04-10 00:00:00";541;;;;36
"2013-04-11 00:00:00";471;;;;30
"2013-04-12 00:00:00";292;;;;28
