Dátum,Utolsó ár
2015-11-23,23485.9
2015-11-24,23396.87
2015-11-25,23610.62
2015-11-26,23826.74
2015-11-27,23712.67
2015-11-30,23768.6
2015-12-01,23846.61
2015-12-02,23681.22
2015-12-03,23687.65
2015-12-04,23629.05
2015-12-07,23319.06
2015-12-08,23324.9
2015-12-09,23431.58
2015-12-10,23477.19
2015-12-11,23125.86
2015-12-14,23005.73
2015-12-15,23073.63
2015-12-16,23693.38
2015-12-17,23703.08
2015-12-18,23666.29
2015-12-21,23745.86
2015-12-22,23455.91
2015-12-23,23547.4
2015-12-24,23557.92
2015-12-25,23568.45
2015-12-28,23600.03
2015-12-29,23964.47
2015-12-30,23920.65
2015-12-31,23863.03
2016-01-01,23805.42
2016-01-04,23632.57
2016-01-05,23861.39
2016-01-06,24000.54
2016-01-07,23595.1
2016-01-08,23956.19
2016-01-11,23900.68
2016-01-12,24302.45
2016-01-13,24330.34
2016-01-14,24284.31
2016-01-15,23882.92
2016-01-18,23179.43
2016-01-19,23214.77
2016-01-20,22753.21
2016-01-21,22908.99
2016-01-22,23357.24
2016-01-25,23234.03
2016-01-26,23522.08
2016-01-27,23769.46
2016-01-28,23778.94
2016-01-29,23997.31
2016-02-01,24126.7
2016-02-02,23558.48
2016-02-03,23395.73
2016-02-04,23556.51
2016-02-05,23637.22
2016-02-08,23262.32
2016-02-09,22571.8
2016-02-10,22888.51
2016-02-11,22536.03
2016-02-12,22705.29
2016-02-15,23065.93
2016-02-16,23013.88
2016-02-17,22846.82
2016-02-18,23162.25
2016-02-19,23171.79
2016-02-22,23332.71
2016-02-23,23171.97
2016-02-24,22940.84
2016-02-25,23323.68
2016-02-26,23657.79
2016-02-29,23327.94
2016-03-01,23670.95
2016-03-02,24094.22
2016-03-03,24360.05
2016-03-04,24735.23
2016-03-07,24911.31
2016-03-08,25255.4
2016-03-09,25345.77
2016-03-10,25254.65
2016-03-11,25608.69
2016-03-14,25611.77
2016-03-15,25612.79
2016-03-16,25613.81
2016-03-17,25770.7
2016-03-18,25938.65
2016-03-21,25832.37
2016-03-22,25878.61
2016-03-23,25697.58
2016-03-24,25446.07
2016-03-25,25504.34
2016-03-28,25679.14
2016-03-29,25737.4
2016-03-30,26314.3
2016-03-31,26451.02
2016-04-01,26310.88
2016-04-04,26412.1
2016-04-05,26210.41
2016-04-06,26298.11
2016-04-07,26397.46
2016-04-08,26513.45
2016-04-11,26268.42
2016-04-12,26027.14
2016-04-13,26412.03
2016-04-14,26926.61
2016-04-15,27142.26
2016-04-18,27081.72
2016-04-19,27271.78
2016-04-20,27192.03
2016-04-21,27009.95
2016-04-22,26747.09
2016-04-25,26904.61
2016-04-26,26861.12
2016-04-27,26988.76
2016-04-28,26840.75
2016-04-29,26871.59
2016-05-02,26869.01
2016-05-03,26539.16
2016-05-04,26212.15
2016-05-05,26240.14
2016-05-06,26128.84
2016-05-09,26623.71
2016-05-10,26899.84
2016-05-11,26845.23
2016-05-12,26850.53
2016-05-13,26556.35
2016-05-16,26324.57
2016-05-17,26247.31
2016-05-18,26026.21
2016-05-19,25742.85
2016-05-20,26434.48
2016-05-23,26368.25
2016-05-24,26711.67
2016-05-25,26704.47
2016-05-26,26656.81
2016-05-27,27011.72
2016-05-30,27089.72
2016-05-31,26521.19
2016-06-01,26989.59
2016-06-02,27208.42
2016-06-03,27134.17
2016-06-06,27089
2016-06-07,27394.19
2016-06-08,27396.89
2016-06-09,26975.91
2016-06-10,26519.61
2016-06-13,25830.59
2016-06-14,25831
2016-06-15,26318.09
2016-06-16,25814.83
2016-06-17,26242.5
2016-06-20,26563.59
2016-06-21,26811.37
2016-06-22,26789.35
2016-06-23,26924.09
2016-06-24,25724.91
2016-06-27,25390.23
2016-06-28,26226.84
2016-06-29,26383.32
2016-06-30,26325.6
2016-07-01,26328.67
2016-07-04,26268.11
2016-07-05,26425.87
2016-07-06,26491.02
2016-07-07,26970.45
2016-07-08,27026.3
2016-07-11,27418.06
2016-07-12,27396.22
2016-07-13,27192.32
2016-07-14,27163.42
2016-07-15,27065.97
2016-07-18,27088.22
2016-07-19,27410.14
2016-07-20,27573.51
2016-07-21,27836.1
2016-07-22,27851.63
2016-07-25,27950.24
2016-07-26,28014.13
2016-07-27,27781.05
2016-07-28,27628.47
2016-07-29,27628.17
2016-08-01,27468.88
2016-08-02,27167.07
2016-08-03,27023.94
2016-08-04,27574.38
2016-08-05,27311.45
2016-08-08,27357.86
2016-08-09,27593.1
2016-08-10,27502.22
2016-08-11,27524.41
2016-08-12,27812.89
2016-08-15,27868.79
2016-08-16,27671.68
2016-08-17,27790.97
2016-08-18,27700.12
2016-08-19,27599.77
2016-08-22,27572.95
2016-08-23,27723.68
2016-08-24,27949.27
2016-08-25,27779.62
2016-08-26,27733.77
2016-08-29,27921.92
2016-08-30,28050.08
2016-08-31,27969.24
2016-09-01,28045.22
2016-09-02,28189.6
2016-09-05,28408.18
2016-09-06,28597.82
2016-09-07,28642.84
2016-09-08,28505.53
2016-09-09,28445.83
2016-09-12,28167.57
2016-09-13,27828.01
2016-09-14,28095.35
2016-09-15,28139.11
2016-09-16,28097.66
2016-09-19,28564.54
2016-09-20,28208.66
2016-09-21,28254.34
2016-09-22,28300.83
2016-09-23,28120.09
2016-09-26,27685.3
2016-09-27,27481.04
2016-09-28,27476.4
2016-09-29,27988.68
2016-09-30,27664.25
2016-10-03,28012.37
2016-10-04,28570.99
2016-10-05,28487.05
2016-10-06,28399.59
2016-10-07,28438.95
2016-10-10,28570.02
2016-10-11,28479.24
2016-10-12,28396.87
2016-10-13,28123.21
2016-10-14,28392.01
2016-10-17,28612.95
2016-10-18,29012.68
2016-10-19,29168
2016-10-20,29340.88
2016-10-21,29572.36
2016-10-24,29813.86
2016-10-25,29719.36
2016-10-26,29854.68
2016-10-27,29689.69
2016-10-28,29802.79
2016-10-31,29620.49
2016-11-01,29559.72
2016-11-02,29498.95
2016-11-03,29872
2016-11-04,30017.23
2016-11-07,30353.45
2016-11-08,30348.45
2016-11-09,30365.21
2016-11-10,30540.32
2016-11-11,30502.15
2016-11-14,30122.88
2016-11-15,30133.01
2016-11-16,29972.83
2016-11-17,29941.07
2016-11-18,30109.02
2016-11-21,30103.57
2016-11-22,30240.38
2016-11-23,30156.29
2016-11-24,30158.58
2016-11-25,29979.96
2016-11-28,30002.5
2016-11-29,29816.3
2016-11-30,30014.04
2016-12-01,29998.19
2016-12-02,29808.49
2016-12-05,30100
2016-12-06,30075.71
2016-12-07,30152.01
2016-12-08,30629.48
2016-12-09,30588.38
2016-12-12,30613.15
2016-12-13,30938.13
2016-12-14,31374.28
2016-12-15,31636.19
2016-12-16,31876.26
2016-12-19,31646.38
2016-12-20,31713.5
2016-12-21,31765.3
2016-12-22,31700.85
2016-12-23,31638.81
2016-12-26,31811.08
2016-12-27,31868.51
2016-12-28,32025.6
2016-12-29,31847.87
2016-12-30,32003.05
2017-01-02,32099.05
2017-01-03,32169.13
2017-01-04,32649.04
2017-01-05,32750
2017-01-06,32855.87
2017-01-09,32854.26
2017-01-10,33031.53
2017-01-11,32972.2
2017-01-12,32966.42
2017-01-13,32949.77
2017-01-16,32996.94
2017-01-17,32782.26
2017-01-18,32841.25
2017-01-19,32709.08
2017-01-20,32881.92
2017-01-23,32906.48
2017-01-24,32690.23
2017-01-25,32807.71
2017-01-26,32918.47
2017-01-27,32714.58
2017-01-30,32476.71
2017-01-31,32481.29
2017-02-01,32584.18
2017-02-02,32575.16
2017-02-03,32905.89
2017-02-06,32388.91
2017-02-07,32539.53
2017-02-08,32595.92
2017-02-09,32949.08
2017-02-10,33156.09
2017-02-13,33356.19
2017-02-14,33724.52
2017-02-15,33981.5
2017-02-16,33745.02
2017-02-17,33828.86
2017-02-20,33973.59
2017-02-21,34324.99
2017-02-22,34112.89
2017-02-23,33548.54
2017-02-24,32886.03
2017-02-27,32872.11
2017-02-28,32061.33
2017-03-01,33343.05
2017-03-02,33155.19
2017-03-03,33193.81
2017-03-06,33181.49
2017-03-07,32442.2
2017-03-08,32547.37
2017-03-09,32986.86
2017-03-10,32727.24
2017-03-13,32686.3
2017-03-14,32636.18
2017-03-15,32842.81
2017-03-16,33049.44
2017-03-17,32778
2017-03-20,32357.88
2017-03-21,32044.13
2017-03-22,31827.13
2017-03-23,32127.89
2017-03-24,32097.09
2017-03-27,31876.22
2017-03-28,32294.03
2017-03-29,32232.95
2017-03-30,32144.67
2017-03-31,31634.26
2017-04-03,31788.4
2017-04-04,31951.94
2017-04-05,32405.13
2017-04-06,32553.53
2017-04-07,32600.34
2017-04-10,32468.3
2017-04-11,32199.15
2017-04-12,32409.94
2017-04-13,32622.4
2017-04-14,32602.24
2017-04-17,32541.74
2017-04-18,32521.58
2017-04-19,32688.09
2017-04-20,32955.02
2017-04-21,32969.44
2017-04-24,33226.46
2017-04-25,33519.07
2017-04-26,33198.93
2017-04-27,32959.62
2017-04-28,32956.3
2017-05-01,32916.04
2017-05-02,32902.62
2017-05-03,32077.72
2017-05-04,32289.85
2017-05-05,32864.04
2017-05-08,32844.67
2017-05-09,33509.99
2017-05-10,33666.28
2017-05-11,33858.88
2017-05-12,34435.53
2017-05-15,34462.02
2017-05-16,34078.47
2017-05-17,34146.49
2017-05-18,34528.85
2017-05-19,34835.8
2017-05-22,34875.75
2017-05-23,34730.94
2017-05-24,34251.21
2017-05-25,34349.11
2017-05-26,34358.93
2017-05-29,34138.11
2017-05-30,34321.14
2017-05-31,34551.9
2017-06-01,34762.46
2017-06-02,35150.44
2017-06-05,34982.85
2017-06-06,34926.99
2017-06-07,35021.75
2017-06-08,35270.95
2017-06-09,35411.01
2017-06-12,35334.48
2017-06-13,35588.7
2017-06-14,35985.82
2017-06-15,35534.5
2017-06-16,35512.47
2017-06-19,35948.41
2017-06-20,35989.69
2017-06-21,35945.23
2017-06-22,35779.27
2017-06-23,35599.51
2017-06-26,35739.11
2017-06-27,35645.77
2017-06-28,35455.97
2017-06-29,35130.27
2017-06-30,35205.42
2017-07-03,34780.88
2017-07-04,34889.56
2017-07-05,35298.14
2017-07-06,35615
2017-07-07,35503.69
2017-07-10,35724.92
2017-07-11,35749.57
2017-07-12,35872.46
2017-07-13,36143.37
2017-07-14,35915.42
2017-07-17,36140.65
2017-07-18,35904.22
2017-07-19,35789.28
2017-07-20,35424.34
2017-07-21,35633.91
2017-07-24,35362.83
2017-07-25,35286.14
2017-07-26,35564.9
2017-07-27,35828.7
2017-07-28,35750.65
2017-07-31,35769.87
2017-08-01,35786.52
2017-08-02,36041.13
2017-08-03,36416.07
2017-08-04,36678.22
2017-08-07,36941.6
2017-08-08,36771.27
2017-08-09,36578.47
2017-08-10,36821.44
2017-08-11,36812.24
2017-08-14,36803.02
2017-08-15,36775.94
2017-08-16,36892.09
2017-08-17,37187.29
2017-08-18,36969.15
2017-08-21,37097.85
2017-08-22,37622.47
2017-08-23,37753.22
2017-08-24,37954.41
2017-08-25,38011.33
2017-08-28,38097.59
2017-08-29,37639.62
2017-08-30,37903.88
2017-08-31,38092.26
2017-09-01,37719.9
2017-09-04,37465.26
