StationNumber;StartDate; EndDate;Latitude;Longitude;Elevation;StationName                             ;RegioName             ;EOR
        45505; 20120901;20250606; 47.0214;  19.1139;     93.0;Kunszentmiklós                          ;Bács-Kiskun           ;EOR
        45506; 20120901;20250606; 47.1581;  19.0978;     96.0;Apaj Szivattyútelep                     ;Pest                  ;EOR
        45803; 20120901;20250606; 47.1183;  19.9356;     92.0;Törtel                                  ;Pest                  ;EOR
        45805; 20120901;20250606; 47.0353;  19.8219;    107.0;Nagykőrös                               ;Pest                  ;EOR
        45806; 20120901;20250606; 47.1531;  19.8011;    100.0;Cegléd                                  ;Pest                  ;EOR
        46213; 20000419;20170629; 46.8686;  19.4261;    106.9;Fülöpháza                               ;Bács-Kiskun           ;EOR
        46214; 20170629;20250606; 46.8711;  19.4219;    107.7;Fülöpháza Hattyús-szék                  ;Bács-Kiskun           ;EOR
        46303; 19970101;20121231; 46.9131;  19.7483;    113.0;Kecskemét külterület                    ;Bács-Kiskun           ;EOR
        46304; 19971130;20250606; 46.9656;  19.5450;    125.9;Kecskemét K-puszta                      ;Bács-Kiskun           ;EOR
        46313; 20111208;20250606; 46.9214;  19.7392;    113.0;Kecskemét repülőtér (észak)             ;Bács-Kiskun           ;EOR
        46314; 20230801;20230801; 46.9167;  19.7486;    113.0;Kecskemét repülőtér (pálya közép)       ;Bács-Kiskun           ;EOR
        46400; 20110905;20250606; 46.9122;  19.7597;    113.7;Kecskemét repülőtér                     ;Bács-Kiskun           ;EOR
        46515; 20120901;20250606; 46.7942;  19.0061;     93.0;Solt                                    ;Bács-Kiskun           ;EOR
        46609; 20120901;20250606; 46.7756;  19.2825;     96.0;Soltszentimre                           ;Bács-Kiskun           ;EOR
        46800; 20120901;20250606; 46.7272;  19.8692;     94.0;Kiskunfélegyháza                        ;Bács-Kiskun           ;EOR
        47107; 20120901;20250606; 46.5789;  19.1456;     88.0;Öregcsertő Csornapuszta                 ;Bács-Kiskun           ;EOR
        47200; 19971020;20210601; 46.5908;  19.3414;    108.2;Soltvadkert                             ;Bács-Kiskun           ;EOR
        47200; 20241014;20250606; 46.5908;  19.3414;    108.2;Soltvadkert                             ;Bács-Kiskun           ;EOR
        47300; 20120901;20250606; 46.5736;  19.7497;     97.0;Jászszentlászló                         ;Bács-Kiskun           ;EOR
        47505; 20050413;20250606; 46.3967;  19.1511;     91.8;Hajós                                   ;Bács-Kiskun           ;EOR
        47606; 20050628;20250606; 46.4292;  19.4992;    126.9;Kiskunhalas                             ;Bács-Kiskun           ;EOR
        47710; 19990407;20250606; 46.4942;  19.7450;    104.2;Kiskunmajsa                             ;Bács-Kiskun           ;EOR
