Dátum,Energiafogyasztás
2015-10-17,117.83
2015-10-18,109.4
2015-10-19,126.51
2015-10-20,128.5
2015-10-21,127.34
2015-10-22,126.22
2015-10-23,107.36
2015-10-24,108.61
2015-10-25,111.58
2015-10-26,124.12
2015-10-27,127.91
2015-10-28,130.22
2015-10-29,130.17
2015-10-30,128.03
2015-10-31,116.61
2015-11-01,105.04
2015-11-02,124.51
2015-11-03,130.55
2015-11-04,130.59
2015-11-05,132.49
2015-11-06,132.26
2015-11-07,120.83
2015-11-08,111.06
2015-11-09,127.19
2015-11-10,128.24
2015-11-11,127.12
2015-11-12,126.61
2015-11-13,126.66
2015-11-14,116.13
2015-11-15,110.78
2015-11-16,124.07
2015-11-17,126.55
2015-11-18,126.97
2015-11-19,127.27
2015-11-20,127.36
2015-11-21,118.79
2015-11-22,111.81
2015-11-23,126.53
2015-11-24,131.29
2015-11-25,133.34
2015-11-26,134.5
2015-11-27,134.21
2015-11-28,124.99
2015-11-29,115.41
2015-11-30,129.35
2015-12-01,131.92
2015-12-02,132.65
2015-12-03,134.15
2015-12-04,133.22
2015-12-05,123.06
2015-12-06,116.21
2015-12-07,130.81
2015-12-08,133.26
2015-12-09,134.33
2015-12-10,133.94
2015-12-11,132.76
2015-12-12,126.47
2015-12-13,117.97
2015-12-14,130.83
2015-12-15,133.12
2015-12-16,133.09
2015-12-17,133.06
2015-12-18,128.42
2015-12-19,117.27
2015-12-20,113.45
2015-12-21,122.39
2015-12-22,121.03
2015-12-23,116.97
2015-12-24,107.15
2015-12-25,99.23
2015-12-26,98.97
2015-12-27,102.83
2015-12-28,110.89
2015-12-29,111.15
2015-12-30,111.88
2015-12-31,110.07
2016-01-01,103.91
2016-01-02,111.82
2016-01-03,112.85
2016-01-04,132.34
2016-01-05,136.33
2016-01-06,137.34
2016-01-07,135.19
2016-01-08,135.67
2016-01-09,125.78
2016-01-10,117.13
2016-01-11,130.56
2016-01-12,129.95
2016-01-13,131.4
2016-01-14,132.48
2016-01-15,134.01
2016-01-16,123.01
2016-01-17,116.8
2016-01-18,132.96
2016-01-19,137.61
2016-01-20,137.78
2016-01-21,138.34
2016-01-22,138.13
2016-01-23,129.83
2016-01-24,121.25
2016-01-25,136.45
2016-01-26,136.55
2016-01-27,136.39
2016-01-28,134.1
2016-01-29,132.83
2016-01-30,121.94
2016-01-31,114.45
2016-02-01,130.24
2016-02-02,130.84
2016-02-03,132.45
2016-02-04,131.66
2016-02-05,131.64
2016-02-06,120.22
2016-02-07,112.9
2016-02-08,128.66
2016-02-09,129.41
2016-02-10,133.61
2016-02-11,131.55
2016-02-12,130.53
2016-02-13,121.51
2016-02-14,112.33
2016-02-15,128.89
2016-02-16,131.09
2016-02-17,131.34
2016-02-18,130.73
2016-02-19,131.35
2016-02-20,118.85
2016-02-21,111.75
2016-02-22,123.56
2016-02-23,128.82
2016-02-24,128.87
2016-02-25,131.04
2016-02-26,127.87
2016-02-27,117.43
2016-02-28,109.94
2016-02-29,126.38
2016-03-01,129.66
2016-03-02,128.54
2016-03-03,129.12
2016-03-04,128.16
2016-03-05,122.14
2016-03-06,111.73
2016-03-07,127.7
2016-03-08,129.28
2016-03-09,127.35
2016-03-10,128.27
2016-03-11,126.41
2016-03-12,116.75
2016-03-13,106.88
2016-03-14,107.4
2016-03-15,106.47
2016-03-16,123.99
2016-03-17,127.41
2016-03-18,126.45
2016-03-19,118.3
2016-03-20,109.97
2016-03-21,124.07
2016-03-22,126.79
2016-03-23,128.78
2016-03-24,127.16
2016-03-25,125.53
2016-03-26,115.82
2016-03-27,96.79
2016-03-28,97.34
2016-03-29,120.05
2016-03-30,124.2
2016-03-31,122.17
2016-04-01,120.8
2016-04-02,111.21
2016-04-03,102.88
2016-04-04,116.57
2016-04-05,117.86
2016-04-06,118.65
2016-04-07,119.02
2016-04-08,120.44
2016-04-09,110.12
2016-04-10,103.38
2016-04-11,116.76
2016-04-12,118.48
2016-04-13,118.61
2016-04-14,119.54
2016-04-15,117.85
2016-04-16,107.44
2016-04-17,99.85
2016-04-18,114.68
2016-04-19,117.8
2016-04-20,119.04
2016-04-21,119.74
2016-04-22,118.23
2016-04-23,108.64
2016-04-24,104.4
2016-04-25,119.94
2016-04-26,120.87
2016-04-27,125.43
2016-04-28,123.28
2016-04-29,121.53
2016-04-30,108.23
2016-05-01,97.78
2016-05-02,116.52
2016-05-03,120.47
2016-05-04,121.09
2016-05-05,120.69
2016-05-06,118.72
2016-05-07,108.9
2016-05-08,101.92
2016-05-09,115.04
2016-05-10,120.46
2016-05-11,119.21
2016-05-12,121.2
2016-05-13,117.62
2016-05-14,107.74
2016-05-15,97.21
2016-05-16,94.63
2016-05-17,114.64
2016-05-18,119.4
2016-05-19,119.52
2016-05-20,118.3
2016-05-21,107.79
2016-05-22,101.09
2016-05-23,115.63
2016-05-24,118.06
2016-05-25,117.45
2016-05-26,117.99
2016-05-27,118.78
2016-05-28,109.48
2016-05-29,103.45
2016-05-30,115.96
2016-05-31,118.01
2016-06-01,116.6
2016-06-02,117.72
2016-06-03,116.45
2016-06-04,107.79
2016-06-05,101.94
2016-06-06,115.42
2016-06-07,116.15
2016-06-08,116.57
2016-06-09,119.1
2016-06-10,117.77
2016-06-11,108.13
2016-06-12,101.73
2016-06-13,115.51
2016-06-14,118.57
2016-06-15,119.98
2016-06-16,121.62
2016-06-17,122.5
2016-06-18,110.05
2016-06-19,104.28
2016-06-20,119.32
2016-06-21,123.12
2016-06-22,126.22
2016-06-23,129.91
2016-06-24,133.05
2016-06-25,122.1
2016-06-26,112.75
2016-06-27,121.66
2016-06-28,122.56
2016-06-29,124.49
2016-06-30,127.35
2016-07-01,127.82
2016-07-02,117.42
2016-07-03,105.44
2016-07-04,118.37
2016-07-05,123.35
2016-07-06,123.93
2016-07-07,121.81
2016-07-08,122.33
2016-07-09,112.42
2016-07-10,107.21
2016-07-11,125.46
2016-07-12,130.88
2016-07-13,130.28
2016-07-14,121.62
2016-07-15,116.91
2016-07-16,108.57
2016-07-17,100.16
2016-07-18,113.81
2016-07-19,116.6
2016-07-20,118.25
2016-07-21,119.74
2016-07-22,120.27
2016-07-23,110.94
2016-07-24,104.96
2016-07-25,117.2
2016-07-26,119.12
2016-07-27,119.9
2016-07-28,118.36
2016-07-29,117.06
2016-07-30,108.53
2016-07-31,103.41
2016-08-01,112.97
2016-08-02,114.86
2016-08-03,114.87
2016-08-04,118.44
2016-08-05,119.64
2016-08-06,104.7
2016-08-07,98.9
2016-08-08,111.43
2016-08-09,116.28
2016-08-10,115.97
2016-08-11,112.85
2016-08-12,111.24
2016-08-13,103.52
2016-08-14,100.26
2016-08-15,114.82
2016-08-16,115.85
2016-08-17,115.81
2016-08-18,114.99
2016-08-19,115.61
2016-08-20,98.22
2016-08-21,99.9
2016-08-22,114.9
2016-08-23,117.13
2016-08-24,119.27
2016-08-25,120.32
2016-08-26,120.03
2016-08-27,109.84
2016-08-28,103.98
2016-08-29,120.28
2016-08-30,121.62
2016-08-31,121.14
2016-09-01,119.85
2016-09-02,120.29
2016-09-03,110.24
2016-09-04,103.84
2016-09-05,117.35
2016-09-06,118.47
2016-09-07,120.89
2016-09-08,122.04
2016-09-09,122.15
2016-09-10,110.87
2016-09-11,105.6
2016-09-12,120.49
2016-09-13,123.12
2016-09-14,123.17
2016-09-15,123.62
2016-09-16,123.83
2016-09-17,112.12
2016-09-18,103.45
2016-09-19,116.72
2016-09-20,117.9
2016-09-21,118.36
2016-09-22,119.13
2016-09-23,118.7
2016-09-24,109.25
2016-09-25,102.21
2016-09-26,116.11
2016-09-27,120.32
2016-09-28,121.47
2016-09-29,120.86
2016-09-30,120.31
2016-10-01,109.69
2016-10-02,104.06
2016-10-03,118.88
2016-10-04,123.56
2016-10-05,123.18
2016-10-06,127.6
2016-10-07,125.58
2016-10-08,114.04
2016-10-09,108.79
2016-10-10,122.97
2016-10-11,129.27
2016-10-12,128.9
2016-10-13,128.02
2016-10-14,127.25
2016-10-15,120.28
2016-10-16,110.62
2016-10-17,125.48
2016-10-18,127.42
2016-10-19,128.94
2016-10-20,129.98
2016-10-21,129.64
2016-10-22,115.26
2016-10-23,105.52
2016-10-24,123.88
2016-10-25,127.27
2016-10-26,128.27
2016-10-27,128.84
