21.2.1.8. A bruttó hazai termék (GDP) termelése 2021. évi átlagáron, nemzetgazdasági áganként, szezonálisan és naptárhatással kiigazított és kiegyensúlyozott negyedéves adatok [millió forint];;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;IV.;355 341;2 115 778;1 792 984;592 302;5 179 926;939 204;444 653;233 164;348 060;815 595;580 200;1 681 379;232 283;1 539 235;9 639 657
2004.;I.;488 057;2 127 953;1 788 398;588 139;5 196 799;938 547;450 680;229 049;352 703;806 936;568 996;1 705 396;230 960;1 587 704;9 799 283
;II.;545 518;2 156 530;1 811 787;592 898;5 192 142;951 466;461 217;235 622;360 750;802 532;568 185;1 685 416;232 106;1 588 308;9 906 508
;III.;563 406;2 163 670;1 813 972;576 907;5 231 494;969 977;457 038;233 415;367 311;808 910;572 098;1 702 083;228 794;1 599 177;10 023 540
;IV.;536 232;2 186 943;1 837 200;597 983;5 258 986;984 760;463 691;238 629;369 561;812 193;578 969;1 714 187;233 136;1 628 946;10 059 344
2005.;I.;533 276;2 166 557;1 840 137;617 681;5 398 434;1 006 535;477 148;245 234;374 720;836 199;589 791;1 712 268;241 767;1 631 394;10 154 761
;II.;499 051;2 219 226;1 895 850;659 627;5 474 393;1 022 407;490 136;244 416;375 160;849 582;600 330;1 745 068;235 122;1 670 698;10 363 089
;III.;475 659;2 231 640;1 903 879;674 022;5 519 799;1 040 964;475 400;253 098;377 060;861 025;608 759;1 757 823;246 799;1 691 851;10 436 671
;IV.;502 353;2 311 271;2 003 301;663 855;5 498 260;1 067 756;484 493;259 792;378 600;877 042;617 051;1 722 351;237 688;1 712 950;10 552 421
2006.;I.;480 855;2 315 218;1 971 501;648 293;5 635 579;1 102 689;494 579;257 583;382 143;895 939;626 369;1 749 465;238 211;1 733 635;10 629 185
;II.;484 678;2 389 997;2 047 128;603 073;5 708 671;1 118 139;496 878;263 894;378 783;911 883;640 219;1 754 305;243 246;1 747 536;10 787 053
;III.;474 241;2 400 400;2 070 839;637 059;5 720 745;1 126 673;516 170;266 454;381 249;924 002;646 209;1 737 232;237 413;1 756 519;10 844 818
;IV.;442 439;2 453 572;2 145 617;623 989;5 784 278;1 127 711;508 858;268 336;382 126;927 573;654 962;1 768 261;243 566;1 753 210;10 949 694
2007.;I.;432 257;2 491 649;2 149 373;639 981;5 679 319;1 111 943;510 543;269 878;368 623;899 483;611 651;1 759 398;242 459;1 743 601;10 812 557
;II.;373 262;2 522 229;2 167 505;572 062;5 690 340;1 109 862;521 402;275 881;372 443;906 496;624 301;1 746 227;243 903;1 750 285;10 805 852
;III.;352 030;2 590 851;2 243 650;552 133;5 715 029;1 112 495;529 745;274 815;368 844;907 207;637 656;1 746 463;248 146;1 768 578;10 858 957
;IV.;347 609;2 539 712;2 200 986;527 017;5 774 117;1 115 561;538 489;280 001;365 605;916 257;643 180;1 748 383;247 474;1 778 364;10 894 620
2008.;I.;576 310;2 535 933;2 261 506;508 517;5 791 734;1 116 886;517 411;278 436;372 261;918 953;656 249;1 757 990;251 424;1 816 485;11 007 091
;II.;601 201;2 513 128;2 185 704;529 821;5 748 255;1 110 769;515 016;281 397;370 092;911 602;652 923;1 744 796;248 587;1 810 621;11 062 871
;III.;586 377;2 411 541;2 080 857;509 524;5 723 127;1 106 726;495 708;280 881;368 209;913 118;648 256;1 763 711;246 437;1 789 009;11 034 895
;IV.;575 093;2 168 514;1 878 183;515 792;5 678 549;1 091 816;491 099;281 906;368 789;918 520;638 728;1 749 002;249 533;1 768 341;10 646 194
2009.;I.;537 531;2 095 601;1 736 182;501 596;5 521 612;933 214;476 489;297 452;367 823;922 021;634 068;1 731 042;240 186;1 708 518;10 197 840
;II.;507 024;2 032 098;1 698 236;522 830;5 539 604;938 169;464 773;296 288;362 611;929 589;625 761;1 753 842;241 169;1 691 793;10 203 652
;III.;494 760;2 073 186;1 745 475;485 073;5 494 872;913 236;465 393;300 625;360 389;948 329;625 078;1 745 782;240 884;1 669 853;10 197 721
;IV.;480 798;2 063 660;1 722 618;474 366;5 499 070;917 554;470 748;297 616;359 114;954 237;632 155;1 747 888;236 297;1 662 424;10 188 820
2010.;I.;405 691;2 144 570;1 817 159;448 317;5 551 074;902 615;486 834;296 060;350 381;999 395;624 291;1 757 678;240 738;1 672 601;10 203 705
;II.;393 630;2 196 318;1 880 421;442 149;5 583 013;892 866;492 035;296 142;348 847;1 023 434;637 281;1 760 311;240 836;1 673 405;10 283 482
;III.;389 566;2 246 896;1 937 476;455 071;5 609 410;908 365;490 288;301 211;345 889;1 029 064;648 882;1 760 715;237 262;1 684 949;10 361 480
;IV.;383 329;2 199 229;1 887 190;429 805;5 619 166;901 901;490 139;305 532;338 901;1 067 376;645 247;1 769 922;238 231;1 690 768;10 351 602
2011.;I.;451 285;2 208 463;1 900 414;462 012;5 690 636;911 851;500 685;307 965;338 392;1 061 949;658 347;1 783 661;241 854;1 698 768;10 477 334
;II.;459 445;2 178 768;1 875 820;453 186;5 694 611;916 427;497 485;311 146;337 520;1 068 804;659 323;1 787 262;241 754;1 708 385;10 457 014
;III.;466 067;2 158 163;1 868 571;432 747;5 708 642;916 429;485 928;313 258;336 201;1 086 328;652 784;1 798 203;243 061;1 706 552;10 470 170
;IV.;456 535;2 222 753;1 918 836;466 722;5 739 193;921 692;495 491;316 980;337 066;1 065 657;663 032;1 822 374;241 823;1 700 987;10 589 717
2012.;I.;396 427;2 194 391;1 902 197;423 998;5 723 770;914 604;491 766;316 775;337 224;1 063 678;659 127;1 808 804;235 560;1 698 866;10 443 876
;II.;354 357;2 170 911;1 886 051;418 190;5 731 798;912 881;505 543;316 135;335 138;1 063 914;656 451;1 821 239;235 480;1 677 516;10 345 289
;III.;341 424;2 173 771;1 888 346;437 029;5 767 534;911 970;518 998;316 495;334 473;1 070 436;657 714;1 844 419;234 028;1 677 244;10 372 049
;IV.;350 270;2 143 430;1 862 623;446 555;5 731 103;917 530;515 929;317 818;333 167;1 060 076;663 141;1 845 081;234 676;1 670 092;10 347 728
2013.;I.;389 443;2 083 676;1 795 175;420 994;5 873 257;944 924;509 471;321 081;330 066;1 080 001;667 846;1 901 102;238 752;1 644 213;10 412 649
;II.;408 763;2 094 799;1 815 562;445 938;5 915 365;969 774;503 103;323 595;329 993;1 077 731;680 079;1 918 464;238 471;1 660 639;10 509 369
;III.;425 845;2 141 521;1 871 512;477 067;5 969 097;993 795;510 137;328 342;327 519;1 068 999;696 589;1 930 792;244 128;1 652 219;10 673 841
;IV.;432 758;2 179 615;1 905 128;496 964;6 008 662;1 012 013;504 173;332 492;326 072;1 085 869;699 323;1 954 075;243 116;1 663 811;10 759 775
2014.;I.;444 486;2 196 099;1 928 270;499 353;6 041 475;1 033 600;517 318;335 697;327 160;1 080 442;707 456;1 930 788;244 413;1 689 196;10 863 131
;II.;483 342;2 243 948;1 963 602;500 902;6 097 568;1 043 976;520 165;339 630;325 786;1 076 564;717 531;1 944 582;249 451;1 690 854;11 004 655
;III.;492 465;2 279 474;1 995 955;499 859;6 118 635;1 056 150;523 533;343 602;325 588;1 077 256;725 891;1 930 922;245 325;1 712 332;11 110 593
;IV.;487 702;2 272 582;1 985 519;497 989;6 201 461;1 072 640;527 349;347 369;326 069;1 073 134;736 861;1 938 281;250 782;1 723 417;11 170 840
2015.;I.;484 414;2 404 946;2 124 239;553 181;6 153 327;1 068 389;516 757;341 365;326 864;1 060 618;755 594;1 952 296;252 346;1 754 147;11 350 700
;II.;459 100;2 399 407;2 118 224;543 970;6 198 888;1 072 604;527 319;343 188;329 427;1 067 404;766 805;1 951 341;252 634;1 757 637;11 364 793
;III.;462 022;2 423 924;2 134 258;506 677;6 294 475;1 083 155;540 187;347 655;330 469;1 066 687;776 271;1 979 454;253 742;1 770 044;11 451 934
;IV.;479 533;2 449 803;2 156 889;522 185;6 317 412;1 094 612;530 346;350 292;333 069;1 072 056;792 826;1 957 066;255 897;1 793 741;11 573 623
2016.;I.;511 978;2 446 763;2 121 522;418 486;6 354 927;1 093 064;553 571;353 044;334 118;1 088 252;798 310;1 979 020;254 355;1 774 391;11 548 178
;II.;540 231;2 469 550;2 150 985;444 765;6 401 789;1 103 236;551 492;361 255;334 033;1 091 234;814 131;1 993 227;255 922;1 797 213;11 690 230
;III.;535 905;2 442 253;2 110 924;473 341;6 471 241;1 112 417;550 856;366 160;336 960;1 097 646;827 940;1 993 980;262 377;1 810 409;11 751 128
;IV.;542 949;2 486 943;2 167 444;472 228;6 563 858;1 119 985;567 358;373 167;338 518;1 101 389;847 512;2 016 890;266 533;1 812 725;11 857 828
2017.;I.;499 155;2 495 252;2 187 080;504 356;6 619 981;1 142 505;551 706;378 631;335 847;1 102 709;885 378;1 994 644;271 580;1 852 704;12 000 358
;II.;497 884;2 557 121;2 247 458;534 966;6 666 037;1 167 346;557 240;397 516;339 552;1 112 516;907 060;1 983 120;276 258;1 870 330;12 145 519
;III.;505 360;2 518 762;2 204 845;561 649;6 787 115;1 198 167;571 341;411 709;342 925;1 119 293;937 701;1 976 683;284 417;1 891 677;12 258 708
;IV.;492 029;2 564 852;2 256 883;592 768;6 888 501;1 229 570;588 553;415 569;348 484;1 130 533;961 322;1 981 562;288 276;1 917 493;12 440 396
2018.;I.;522 437;2 584 405;2 275 300;566 072;7 092 626;1 283 679;601 851;436 597;357 158;1 153 267;975 280;1 995 613;292 462;1 921 121;12 681 728
;II.;522 879;2 581 602;2 276 625;617 143;7 126 053;1 308 128;600 496;442 578;365 250;1 160 209;1 000 031;1 998 822;298 926;1 953 277;12 796 561
;III.;526 691;2 596 896;2 266 416;673 972;7 218 777;1 324 650;604 069;447 047;375 433;1 180 384;1 021 703;2 013 312;301 535;1 979 170;12 990 691
;IV.;525 133;2 637 181;2 321 905;662 803;7 314 426;1 342 620;617 126;465 341;384 273;1 189 205;1 043 222;2 002 909;306 347;1 997 658;13 133 271
2019.;I.;525 708;2 693 719;2 340 637;755 643;7 441 473;1 337 804;638 733;478 024;407 214;1 195 356;1 060 062;2 025 861;321 562;2 045 436;13 404 840
;II.;517 128;2 660 896;2 311 365;727 189;7 491 924;1 359 808;639 424;488 626;417 252;1 210 342;1 077 090;2 026 346;327 610;2 068 673;13 448 884
;III.;512 063;2 710 181;2 347 788;735 871;7 595 833;1 374 721;658 543;498 091;425 957;1 205 619;1 092 916;2 015 906;324 869;2 094 900;13 639 079
