#datum;d_ta;d_tx;d_tn;d_rs;d_rf;d_ss;d_ssr
1947-01-01;-3.1;-1.0;-5.8;0.0;;0.0;
1947-01-02;-2.7;-1.4;-4.0;0.0;4;0.0;
1947-01-03;-4.4;-1.2;-5.0;6.2;4;0.0;
1947-01-04;-13.6;-4.0;-19.0;0.0;;7.5;
1947-01-05;-15.9;-12.0;-24.0;0.0;;0.3;
1947-01-06;-15.4;-10.4;-19.5;3.5;4;0.0;
1947-01-07;-17.3;-12.0;-20.5;0.0;;0.0;
1947-01-08;-15.7;-12.0;-22.0;0.0;;0.0;
1947-01-09;-12.0;-8.5;-14.0;4.2;4;0.0;
1947-01-10;-7.4;-6.0;-12.6;0.0;;0.0;
1947-01-11;-7.8;-5.8;-10.0;0.0;;0.2;
1947-01-12;-3.2;-0.7;-7.5;0.0;;0.0;
