20.2.1.2. A 15–74 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;
Év;Hónap;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;
;szeptember;4 292,1;306,4;4 598,5;2 967,1;7 565,6;60,8;6,7;56,7
;október;4 280,3;315,4;4 595,7;2 966,7;7 562,4;60,8;6,9;56,6
;november;4 254,5;328,0;4 582,5;2 976,6;7 559,1;60,6;7,2;56,3
;december;4 261,2;314,6;4 575,8;2 980,0;7 555,8;60,6;6,9;56,4
2015.;január;4 207,9;337,9;4 545,7;3 006,4;7 552,1;60,2;7,4;55,7
;február;4 224,8;351,3;4 576,1;2 971,5;7 547,6;60,6;7,7;56,0
;március;4 262,7;342,8;4 605,4;2 938,4;7 543,8;61,0;7,4;56,5
;április;4 296,8;326,8;4 623,6;2 916,6;7 540,2;61,3;7,1;57,0
;május;4 314,0;304,5;4 618,5;2 917,8;7 536,4;61,3;6,6;57,2
;június;4 362,1;296,4;4 658,6;2 883,3;7 541,9;61,8;6,4;57,8
;július;4 381,0;295,9;4 676,9;2 862,4;7 539,3;62,0;6,3;58,1
;augusztus;4 394,5;277,0;4 671,5;2 865,0;7 536,5;62,0;5,9;58,3
;szeptember;4 396,8;278,0;4 674,7;2 858,9;7 533,6;62,1;5,9;58,4
;október;4 395,2;270,0;4 665,3;2 865,5;7 530,8;61,9;5,8;58,4
;november;4 399,2;281,0;4 680,2;2 847,7;7 527,9;62,2;6,0;58,4
;december;4 390,7;263,7;4 654,4;2 870,7;7 525,1;61,9;5,7;58,3
2016.;január;4 341,3;278,3;4 619,6;2 902,1;7 521,7;61,4;6,0;57,7
;február;4 381,3;280,1;4 661,4;2 852,7;7 514,1;62,0;6,0;58,3
;március;4 414,1;271,2;4 685,3;2 825,5;7 510,8;62,4;5,8;58,8
;április;4 451,4;254,1;4 705,5;2 801,8;7 507,2;62,7;5,4;59,3
