Név,Dátum,Utolsó ár
BUX,2020.01.02.,46230.218191
BUX,2020.01.03.,46141.223563
BUX,2020.01.06.,44658.758507
BUX,2020.01.07.,44490.798291
BUX,2020.01.08.,44932.180599
BUX,2020.01.09.,45493.151069
BUX,2020.01.10.,45364.138173
BUX,2020.01.13.,45447.51741
BUX,2020.01.14.,44960.31407
BUX,2020.01.15.,44565.03062
BUX,2020.01.16.,44350.394614
BUX,2020.01.17.,44422.806224
BUX,2020.01.20.,44470.93079
BUX,2020.01.21.,44132.001862
BUX,2020.01.22.,44597.048573
BUX,2020.01.23.,44823.2792
BUX,2020.01.24.,44515.972207
BUX,2020.01.27.,43929.168973
BUX,2020.01.28.,43675.499193
BUX,2020.01.29.,43431.302177
BUX,2020.01.30.,43501.993698
BUX,2020.01.31.,43072.077745
BUX,2020.02.03.,43390.814467
BUX,2020.02.04.,43864.823904
BUX,2020.02.05.,44020.033906
BUX,2020.02.06.,44127.992357
BUX,2020.02.07.,44486.91627
BUX,2020.02.10.,44538.585358
BUX,2020.02.11.,44559.948871
BUX,2020.02.12.,44482.404005
BUX,2020.02.13.,44629.505623
BUX,2020.02.14.,44905.975826
BUX,2020.02.17.,45338.260848
BUX,2020.02.18.,45547.151407
BUX,2020.02.19.,46182.092492
BUX,2020.02.20.,45792.074463
BUX,2020.02.21.,45781.352708
BUX,2020.02.24.,44381.315684
BUX,2020.02.25.,43075.074286
BUX,2020.02.26.,43521.905718
BUX,2020.02.27.,42679.399322
BUX,2020.02.28.,40229.642527
BUX,2020.03.02.,41537.19897
BUX,2020.03.03.,43301.386114
BUX,2020.03.04.,43327.916289
BUX,2020.03.05.,42607.975188
BUX,2020.03.06.,41185.28949
BUX,2020.03.09.,38075.829124
BUX,2020.03.10.,38380.597475
BUX,2020.03.11.,36536.238862
BUX,2020.03.12.,32317.889028
BUX,2020.03.13.,34189.085557
BUX,2020.03.16.,32304.479517
BUX,2020.03.17.,31525.596597
BUX,2020.03.18.,29464.277524
BUX,2020.03.19.,29494.190903
BUX,2020.03.20.,30959.939711
BUX,2020.03.23.,30848.560643
BUX,2020.03.24.,32614.555735
BUX,2020.03.25.,32690.449135
BUX,2020.03.26.,32994.296642
BUX,2020.03.27.,32065.139321
BUX,2020.03.30.,31985.325977
BUX,2020.03.31.,33134.867342
BUX,2020.04.01.,32361.344351
BUX,2020.04.02.,32591.950032
BUX,2020.04.03.,32265.91965
BUX,2020.04.06.,32858.747962
BUX,2020.04.07.,32715.704135
BUX,2020.04.08.,32863.792053
BUX,2020.04.09.,33761.865811
BUX,2020.04.14.,34468.9038
BUX,2020.04.15.,32710.553054
BUX,2020.04.16.,32217.990795
BUX,2020.04.17.,33173.397116
BUX,2020.04.20.,32927.46867
BUX,2020.04.21.,31582.312223
BUX,2020.04.22.,32328.273778
BUX,2020.04.23.,32805.495823
BUX,2020.04.24.,32964.667391
BUX,2020.04.27.,33196.845484
BUX,2020.04.28.,33808.220079
BUX,2020.04.29.,34815.091146
BUX,2020.04.30.,35180.899653
BUX,2020.05.04.,34576.837108
BUX,2020.05.05.,34604.439636
BUX,2020.05.06.,34557.170666
BUX,2020.05.07.,34613.570582
BUX,2020.05.08.,34796.128697
BUX,2020.05.11.,34908.117834
BUX,2020.05.12.,35143.127016
BUX,2020.05.13.,34518.754422
BUX,2020.05.14.,34144.567174
BUX,2020.05.15.,34046.129201
BUX,2020.05.18.,35307.506014
BUX,2020.05.19.,35452.207026
BUX,2020.05.20.,35635.523264
BUX,2020.05.21.,35494.52294
BUX,2020.05.22.,35050.921989
BUX,2020.05.25.,35210.596929
BUX,2020.05.26.,36085.774727
BUX,2020.05.27.,36346.090399
BUX,2020.05.28.,36340.47107
BUX,2020.05.29.,35875.708396
BUX,2020.06.02.,35967.410521
BUX,2020.06.03.,37317.038847
BUX,2020.06.04.,37260.063102
BUX,2020.06.05.,37985.660623
BUX,2020.06.08.,38198.173685
BUX,2020.06.09.,37962.2910134162
BUX,2020.06.10.,37514.793167
BUX,2020.06.11.,36640.642425
BUX,2020.06.12.,37403.565237
BUX,2020.06.15.,37340.838867
BUX,2020.06.16.,38060.733591
BUX,2020.06.17.,37767.717952
BUX,2020.06.18.,37487.456955
BUX,2020.06.19.,37279.81652
BUX,2020.06.22.,37193.114158
BUX,2020.06.23.,37595.825301
BUX,2020.06.24.,37199.463047
BUX,2020.06.25.,37001.937243
BUX,2020.06.26.,36360.43843
BUX,2020.06.29.,36517.168786
BUX,2020.06.30.,35817.882894
BUX,2020.07.01.,35394.543705
BUX,2020.07.02.,36222.581009
BUX,2020.07.03.,35931.519802
BUX,2020.07.06.,36489.418317
BUX,2020.07.07.,35747.705739
BUX,2020.07.08.,35932.386937
BUX,2020.07.09.,35780.395244
BUX,2020.07.10.,35589.597469
BUX,2020.07.13.,35335.864835
BUX,2020.07.14.,35091.721442
BUX,2020.07.15.,35371.884154
BUX,2020.07.16.,35229.084572
BUX,2020.07.17.,35200.880742
BUX,2020.07.20.,35181.691983
BUX,2020.07.21.,35488.151212
BUX,2020.07.22.,35436.391421
BUX,2020.07.23.,35571.718735
BUX,2020.07.24.,35107.968395
BUX,2020.07.27.,34979.40818
BUX,2020.07.28.,34754.080393
BUX,2020.07.29.,34917.012599
BUX,2020.07.30.,34797.241143
BUX,2020.07.31.,34691.744822
BUX,2020.08.03.,34620.249627
BUX,2020.08.04.,34407.202128
BUX,2020.08.05.,35103.391325
BUX,2020.08.06.,35427.820558
BUX,2020.08.07.,35952.53074
BUX,2020.08.10.,36302.77696
BUX,2020.08.11.,36363.825032
BUX,2020.08.12.,36785.275428
BUX,2020.08.13.,36756.82239
BUX,2020.08.14.,36591.829008
BUX,2020.08.17.,36533.571549
BUX,2020.08.18.,36180.737812
BUX,2020.08.19.,36043.56398
BUX,2020.08.24.,35994.832856
BUX,2020.08.25.,35593.66555
BUX,2020.08.26.,35915.81493
BUX,2020.08.27.,35470.361497
BUX,2020.08.28.,34842.508014
BUX,2020.08.31.,34851.290601
BUX,2020.09.01.,34499.901248
BUX,2020.09.02.,34423.703127
BUX,2020.09.03.,34778.202816
BUX,2020.09.04.,34836.817601
BUX,2020.09.07.,35047.87929
BUX,2020.09.08.,35037.611445
BUX,2020.09.09.,35142.744406
BUX,2020.09.10.,34858.026937
BUX,2020.09.11.,34837.988818
BUX,2020.09.14.,35004.236902
BUX,2020.09.15.,34248.860482
BUX,2020.09.16.,34147.588373
BUX,2020.09.17.,33886.78553
BUX,2020.09.18.,33591.509741
BUX,2020.09.21.,32223.202019
BUX,2020.09.22.,32296.741968
BUX,2020.09.23.,32515.391855
BUX,2020.09.24.,31898.005769
BUX,2020.09.25.,31933.257307
BUX,2020.09.28.,33150.261468
BUX,2020.09.29.,32677.723379
BUX,2020.09.30.,32923.527489
BUX,2020.10.01.,33657.705467
BUX,2020.10.02.,33449.842404
BUX,2020.10.05.,33468.105692
BUX,2020.10.06.,33651.551497
BUX,2020.10.07.,33561.052356
BUX,2020.10.08.,33697.938581
BUX,2020.10.09.,33660.439612
BUX,2020.10.12.,33097.014569
BUX,2020.10.13.,33322.710205
BUX,2020.10.14.,33496.67205
BUX,2020.10.15.,33061.274066
BUX,2020.10.16.,33225.149041
BUX,2020.10.19.,33596.793223
BUX,2020.10.20.,33700.781136
BUX,2020.10.21.,33696.731918
BUX,2020.10.22.,33655.096903
BUX,2020.10.26.,33012.624379
BUX,2020.10.27.,32992.690695
BUX,2020.10.28.,32106.77635
BUX,2020.10.29.,32047.678872
BUX,2020.10.30.,32279.165091
BUX,2020.11.02.,33077.545583
BUX,2020.11.03.,33834.427453467695
BUX,2020.11.04.,34774.717295
BUX,2020.11.05.,35264.980113
BUX,2020.11.06.,35390.44149
BUX,2020.11.09.,36524.014189
BUX,2020.11.10.,37366.632541
BUX,2020.11.11.,38045.798828
BUX,2020.11.12.,37712.816201
BUX,2020.11.13.,37335.102619
BUX,2020.11.16.,37414.596393
BUX,2020.11.17.,37470.502211
BUX,2020.11.18.,38361.820108
BUX,2020.11.19.,38163.606575
BUX,2020.11.20.,38204.666884
BUX,2020.11.23.,38319.058698
BUX,2020.11.24.,39046.495538
BUX,2020.11.25.,39035.096087
BUX,2020.11.26.,39023.559675
BUX,2020.11.27.,39308.904355
BUX,2020.11.30.,38782.157484
BUX,2020.12.01.,38751.984798
BUX,2020.12.02.,39191.105489
BUX,2020.12.03.,38705.121448
BUX,2020.12.04.,39227.86794
BUX,2020.12.07.,39198.308027
BUX,2020.12.08.,39655.972211
BUX,2020.12.09.,40675.889376
BUX,2020.12.10.,41103.01131
BUX,2020.12.11.,41263.67266
BUX,2020.12.14.,41967.89065
BUX,2020.12.15.,41894.086923
BUX,2020.12.16.,41911.270998
BUX,2020.12.17.,42088.028365
BUX,2020.12.18.,41614.921028
BUX,2020.12.21.,40483.165235
BUX,2020.12.22.,41049.522032
BUX,2020.12.23.,41197.13687
BUX,2020.12.28.,41528.444426
BUX,2020.12.29.,41733.112345
BUX,2020.12.30.,42047.58596
BUX,2021.01.04.,42333.484428
BUX,2021.01.05.,42434.298672
BUX,2021.01.06.,43085.055373
BUX,2021.01.07.,43900.704598
BUX,2021.01.08.,44393.212704
BUX,2021.01.11.,44715.791832
BUX,2021.01.12.,44246.559968
BUX,2021.01.13.,44684.36091
BUX,2021.01.14.,44876.421049
BUX,2021.01.15.,44204.446938
BUX,2021.01.18.,44755.588709
BUX,2021.01.19.,44609.998833
BUX,2021.01.20.,44103.39937
BUX,2021.01.21.,44250.428833
BUX,2021.01.22.,43630.221166
BUX,2021.01.25.,43188.935919
BUX,2021.01.26.,43507.128267
BUX,2021.01.27.,43077.244388
BUX,2021.01.28.,43552.041249
BUX,2021.01.29.,43517.120642
BUX,2021.02.01.,43703.865474
BUX,2021.02.02.,44101.045287
BUX,2021.02.03.,44016.290992
BUX,2021.02.04.,44226.337276
BUX,2021.02.05.,44045.260279
BUX,2021.02.08.,44215.968523
BUX,2021.02.09.,44511.15673
BUX,2021.02.10.,43950.78002
BUX,2021.02.11.,43676.689758
BUX,2021.02.12.,43389.32704
BUX,2021.02.15.,43823.57082
BUX,2021.02.16.,44941.654005
BUX,2021.02.17.,44416.14746
BUX,2021.02.18.,44046.5606
BUX,2021.02.19.,44069.305213
BUX,2021.02.22.,43457.146298
BUX,2021.02.23.,42945.108203
BUX,2021.02.24.,43183.44776
BUX,2021.02.25.,43999.472894
BUX,2021.02.26.,43790.169367
BUX,2021.03.01.,44710.24834
BUX,2021.03.02.,44402.3258361222
BUX,2021.03.03.,43595.2218193459
BUX,2021.03.04.,42932.6051439855
BUX,2021.03.05.,43268.9958383894
BUX,2021.03.08.,43540.3632243377
BUX,2021.03.09.,43312.6575846266
BUX,2021.03.10.,43579.3902201395
BUX,2021.03.11.,43784.894432129
BUX,2021.03.12.,43711.8414562602
BUX,2021.03.16.,44268.7682451201
BUX,2021.03.17.,43504.4658601497
BUX,2021.03.18.,44465.7496085991
BUX,2021.03.19.,44042.1202241914
BUX,2021.03.22.,43851.957281646
BUX,2021.03.23.,43603.0156507786
BUX,2021.03.24.,44290.240458842
BUX,2021.03.25.,44168.8082325139
BUX,2021.03.26.,44201.2477504354
BUX,2021.03.29.,44617.7311319772
BUX,2021.03.30.,44746.7556834909
BUX,2021.03.31.,44326.1836881112
BUX,2021.04.01.,44242.9286497418
BUX,2021.04.06.,44357.8643782128
BUX,2021.04.07.,44357.6406162394
BUX,2021.04.08.,44194.157967217
BUX,2021.04.09.,43775.4070242016
BUX,2021.04.12.,43267.2493135337
BUX,2021.04.13.,42865.6327867047
BUX,2021.04.14.,42514.9390129811
BUX,2021.04.15.,42626.7103638361
BUX,2021.04.16.,42997.6138137487
BUX,2021.04.19.,42388.0892738849
BUX,2021.04.20.,42597.2613167866
BUX,2021.04.21.,42753.6015618697
BUX,2021.04.22.,42906.4780485479
BUX,2021.04.23.,42772.9522719577
BUX,2021.04.26.,43281.609076392
BUX,2021.04.27.,43357.1875573281
BUX,2021.04.28.,43549.4308720856
BUX,2021.04.29.,43665.4178798831
