Név,Dátum,Utolsó ár
BUX,2015.01.05.,16414.803631
BUX,2015.01.06.,16173.60981
BUX,2015.01.07.,16191.369574
BUX,2015.01.08.,16441.679869
BUX,2015.01.09.,16222.745142
BUX,2015.01.12.,16158.76652
BUX,2015.01.13.,16140.264296
BUX,2015.01.14.,16066.128138
BUX,2015.01.15.,15686.694551
BUX,2015.01.16.,15755.904764
BUX,2015.01.19.,15802.539353
BUX,2015.01.20.,16265.007565
BUX,2015.01.21.,16392.434498
BUX,2015.01.22.,16776.868555
BUX,2015.01.23.,16759.095429
BUX,2015.01.26.,16890.950157
BUX,2015.01.27.,16952.240478
BUX,2015.01.28.,16918.987761
BUX,2015.01.29.,16667.987945
BUX,2015.01.30.,16530.926128
BUX,2015.02.02.,16719.071542
BUX,2015.02.03.,17258.055316
BUX,2015.02.04.,17350.832324
BUX,2015.02.05.,17211.606043
BUX,2015.02.06.,17339.130394
BUX,2015.02.09.,17665.689617
BUX,2015.02.10.,17942.134051
BUX,2015.02.11.,17744.908014
BUX,2015.02.12.,18113.163015
BUX,2015.02.13.,18083.816345
BUX,2015.02.16.,17870.651668
BUX,2015.02.17.,17913.106637
BUX,2015.02.18.,18082.267802
BUX,2015.02.19.,18080.362059
BUX,2015.02.20.,18011.536866
BUX,2015.02.23.,18205.378152
BUX,2015.02.24.,18507.839036
BUX,2015.02.25.,18567.30383
BUX,2015.02.26.,18490.938675
BUX,2015.02.27.,18210.193423
BUX,2015.03.02.,18009.662189
BUX,2015.03.03.,17808.58183
BUX,2015.03.04.,17824.281446
BUX,2015.03.05.,17897.112521
BUX,2015.03.06.,18283.401627
BUX,2015.03.09.,18370.17006
BUX,2015.03.10.,18380.682891
BUX,2015.03.11.,18684.497837
BUX,2015.03.12.,18785.402725
BUX,2015.03.13.,18666.385935
BUX,2015.03.16.,18674.969808
BUX,2015.03.17.,18630.842085
BUX,2015.03.18.,18522.421879
BUX,2015.03.19.,18915.74251
BUX,2015.03.20.,19226.025616
BUX,2015.03.23.,19327.383445
BUX,2015.03.24.,19533.203663
BUX,2015.03.25.,20106.094647
BUX,2015.03.26.,20191.103397
BUX,2015.03.27.,19964.680869
BUX,2015.03.30.,20045.915414
BUX,2015.03.31.,19689.157568
