Név,Dátum,Utolsó ár
BUX,2005.01.03.,14739.97
BUX,2005.01.04.,14879.7
BUX,2005.01.05.,14779.01
BUX,2005.01.06.,14639.54
BUX,2005.01.07.,14717.4
BUX,2005.01.10.,14586.69
BUX,2005.01.11.,14880.31
BUX,2005.01.12.,15053.6
BUX,2005.01.13.,15064.03
BUX,2005.01.14.,15220.34
BUX,2005.01.17.,15419.22
BUX,2005.01.18.,15206.14
BUX,2005.01.19.,15134.75
BUX,2005.01.20.,15204.31
BUX,2005.01.21.,15193.1
BUX,2005.01.24.,15162.55
BUX,2005.01.25.,15197.04
BUX,2005.01.26.,15212.69
BUX,2005.01.27.,15497.24
BUX,2005.01.28.,15613.29
BUX,2005.01.31.,15552.51
BUX,2005.02.01.,15442.28
BUX,2005.02.02.,15462.92
BUX,2005.02.03.,15784.81
BUX,2005.02.04.,16032.83
BUX,2005.02.07.,16258.5
BUX,2005.02.08.,16305.04
BUX,2005.02.09.,16464.79
BUX,2005.02.10.,16451.53
BUX,2005.02.11.,16390.18
BUX,2005.02.14.,16609.95
BUX,2005.02.15.,16840.56
BUX,2005.02.16.,17360.37
BUX,2005.02.17.,17493.21
BUX,2005.02.18.,17372.09
BUX,2005.02.21.,17588.86
BUX,2005.02.22.,17753.55
BUX,2005.02.23.,17568.92
BUX,2005.02.24.,17555.33
BUX,2005.02.25.,18337.88
BUX,2005.02.28.,18382.6
BUX,2005.03.01.,18673.24
BUX,2005.03.02.,17782.75
BUX,2005.03.03.,17763.79
BUX,2005.03.04.,18061.84
BUX,2005.03.07.,18563.37
BUX,2005.03.08.,18434.75
BUX,2005.03.09.,18477.22
BUX,2005.03.10.,18027.98
BUX,2005.03.11.,17882.73
BUX,2005.03.16.,16908.36
BUX,2005.03.17.,16746.75
BUX,2005.03.18.,16859.13
BUX,2005.03.21.,16608.85
BUX,2005.03.22.,17107.33
BUX,2005.03.23.,16778.46
BUX,2005.03.24.,16749.3
BUX,2005.03.25.,16764.46
BUX,2005.03.29.,16853.49
BUX,2005.03.30.,16772.25
BUX,2005.03.31.,17107.63
BUX,2005.04.01.,17405.05
BUX,2005.04.04.,17327.29
BUX,2005.04.05.,17516.63
BUX,2005.04.06.,17639.78
BUX,2005.04.07.,17558.15
BUX,2005.04.08.,17458.16
BUX,2005.04.11.,17169.59
BUX,2005.04.12.,17420.47
BUX,2005.04.13.,17480.48
BUX,2005.04.14.,17372.57
BUX,2005.04.15.,17128.47
BUX,2005.04.18.,16665.33
BUX,2005.04.19.,16652.91
BUX,2005.04.20.,16613.66
BUX,2005.04.21.,16381.92
BUX,2005.04.22.,16621.26
BUX,2005.04.25.,17123.9
BUX,2005.04.26.,17064.91
BUX,2005.04.27.,16796.16
BUX,2005.04.28.,16535.4
BUX,2005.04.29.,16377.74
BUX,2005.05.02.,16495.01
BUX,2005.05.03.,16496.37
BUX,2005.05.04.,16414.54
BUX,2005.05.05.,16536.61
