Név,Dátum,Utolsó ár
BUX,2000.01.04.,8715.49
BUX,2000.01.05.,8464.34
BUX,2000.01.06.,8483.29
BUX,2000.01.07.,8694.04
BUX,2000.01.10.,8977.88
BUX,2000.01.11.,8881.02
BUX,2000.01.12.,8910.43
BUX,2000.01.13.,9084.51
BUX,2000.01.14.,9494.6
BUX,2000.01.17.,9858.1
BUX,2000.01.18.,9781.45
BUX,2000.01.19.,9803.04
BUX,2000.01.20.,9965.26
BUX,2000.01.21.,9794.06
BUX,2000.01.24.,9685.12
BUX,2000.01.25.,9380.63
BUX,2000.01.26.,9600.42
BUX,2000.01.27.,9983.29
BUX,2000.01.28.,9830.02
BUX,2000.01.31.,9548.9
BUX,2000.02.01.,9583.36
BUX,2000.02.02.,9623.36
BUX,2000.02.03.,9614.3
BUX,2000.02.04.,9609.95
BUX,2000.02.07.,9561.22
BUX,2000.02.08.,9927.84
BUX,2000.02.09.,9960.37
BUX,2000.02.10.,10162.44
BUX,2000.02.11.,10130.36
BUX,2000.02.14.,10253.01
BUX,2000.02.15.,10247.38
BUX,2000.02.16.,10340.88
BUX,2000.02.17.,10151.76
BUX,2000.02.18.,10052.82
BUX,2000.02.21.,10145.73
BUX,2000.02.22.,10046.91
BUX,2000.02.23.,10128.98
BUX,2000.02.24.,10129.68
BUX,2000.02.25.,10085.76
BUX,2000.02.28.,9872.26
BUX,2000.02.29.,10124.65
BUX,2000.03.01.,9967.44
BUX,2000.03.02.,9980.36
BUX,2000.03.03.,10050.24
BUX,2000.03.06.,10221.66
BUX,2000.03.07.,10193.87
BUX,2000.03.08.,10178.81
BUX,2000.03.09.,10240.8
BUX,2000.03.10.,10471.91
BUX,2000.03.13.,10203.31
BUX,2000.03.14.,10204.6
BUX,2000.03.16.,10135.66
BUX,2000.03.17.,9996.23
BUX,2000.03.20.,10013.06
BUX,2000.03.21.,9944.2
BUX,2000.03.22.,9920.98
BUX,2000.03.23.,9846.73
BUX,2000.03.24.,10126.69
BUX,2000.03.27.,10294.79
BUX,2000.03.28.,10154.51
BUX,2000.03.29.,10062.12
BUX,2000.03.30.,9945.27
BUX,2000.03.31.,10000.64
BUX,2000.04.03.,9881.36
BUX,2000.04.04.,9887.26
BUX,2000.04.05.,9573.78
