Név,Dátum,Utolsó ár
BUX,1995.01.05.,1481.07
BUX,1995.01.06.,1475.47
BUX,1995.01.09.,1467.42
BUX,1995.01.10.,1457.12
BUX,1995.01.11.,1443.51
BUX,1995.01.12.,1377.02
BUX,1995.01.13.,1370.0
BUX,1995.01.16.,1358.26
BUX,1995.01.17.,1330.67
BUX,1995.01.18.,1307.24
BUX,1995.01.19.,1300.43
BUX,1995.01.20.,1307.0
BUX,1995.01.23.,1320.37
BUX,1995.01.24.,1310.79
BUX,1995.01.25.,1301.51
BUX,1995.01.26.,1271.1
BUX,1995.01.27.,1252.86
BUX,1995.01.30.,1183.45
BUX,1995.01.31.,1159.45
BUX,1995.02.01.,1179.18
BUX,1995.02.02.,1181.05
BUX,1995.02.03.,1186.93
BUX,1995.02.06.,1183.39
BUX,1995.02.07.,1174.35
BUX,1995.02.08.,1172.27
BUX,1995.02.09.,1175.79
BUX,1995.02.10.,1187.89
BUX,1995.02.13.,1181.66
BUX,1995.02.14.,1177.42
BUX,1995.02.15.,1191.53
BUX,1995.02.16.,1183.66
BUX,1995.02.17.,1190.24
BUX,1995.02.20.,1200.23
BUX,1995.02.21.,1215.01
BUX,1995.02.22.,1212.21
BUX,1995.02.23.,1212.6
BUX,1995.02.24.,1212.92
BUX,1995.02.27.,1214.48
BUX,1995.02.28.,1206.4
BUX,1995.03.01.,1193.82
BUX,1995.03.02.,1190.28
BUX,1995.03.03.,1190.11
BUX,1995.03.06.,1185.28
BUX,1995.03.07.,1183.93
BUX,1995.03.08.,1188.62
BUX,1995.03.09.,1203.14
BUX,1995.03.10.,1212.61
BUX,1995.03.13.,1258.48
BUX,1995.03.14.,1272.2
BUX,1995.03.16.,1276.59
BUX,1995.03.17.,1267.71
BUX,1995.03.20.,1281.7
BUX,1995.03.21.,1293.02
BUX,1995.03.22.,1295.25
BUX,1995.03.23.,1267.24
BUX,1995.03.24.,1257.57
BUX,1995.03.27.,1242.28
BUX,1995.03.28.,1232.8
BUX,1995.03.29.,1228.7
BUX,1995.03.30.,1226.66
BUX,1995.03.31.,1225.93
BUX,1995.04.03.,1230.17
BUX,1995.04.04.,1233.01
BUX,1995.04.05.,1245.16
BUX,1995.04.06.,1243.08
BUX,1995.04.07.,1254.97
BUX,1995.04.10.,1258.86
BUX,1995.04.11.,1261.0
BUX,1995.04.12.,1260.31
BUX,1995.04.13.,1260.61
BUX,1995.04.14.,1243.18
BUX,1995.04.18.,1253.27
BUX,1995.04.19.,1259.81
BUX,1995.04.20.,1269.86
BUX,1995.04.21.,1284.89
BUX,1995.04.24.,1304.91
BUX,1995.04.25.,1345.91
BUX,1995.04.26.,1365.54
BUX,1995.04.27.,1371.21
BUX,1995.04.28.,1368.74
BUX,1995.05.02.,1398.43
BUX,1995.05.03.,1399.53
BUX,1995.05.04.,1404.4
BUX,1995.05.05.,1421.3
BUX,1995.05.08.,1423.94
BUX,1995.05.09.,1406.32
BUX,1995.05.10.,1417.57
BUX,1995.05.11.,1419.84
BUX,1995.05.12.,1436.61
BUX,1995.05.15.,1468.46
BUX,1995.05.16.,1490.53
BUX,1995.05.17.,1467.81
BUX,1995.05.18.,1465.06
BUX,1995.05.19.,1473.23
BUX,1995.05.22.,1474.71
BUX,1995.05.23.,1476.74
BUX,1995.05.24.,1474.11
BUX,1995.05.25.,1474.46
BUX,1995.05.26.,1473.98
BUX,1995.05.29.,1460.94
BUX,1995.05.30.,1449.28
BUX,1995.05.31.,1443.16
BUX,1995.06.01.,1428.91
BUX,1995.06.02.,1432.02
BUX,1995.06.06.,1437.9
BUX,1995.06.07.,1441.93
BUX,1995.06.08.,1456.12
BUX,1995.06.09.,1451.79
BUX,1995.06.12.,1443.79
BUX,1995.06.13.,1450.53
BUX,1995.06.14.,1456.51
BUX,1995.06.15.,1458.81
BUX,1995.06.16.,1460.71
BUX,1995.06.19.,1454.26
BUX,1995.06.20.,1460.26
BUX,1995.06.21.,1474.76
BUX,1995.06.22.,1483.45
BUX,1995.06.23.,1489.08
BUX,1995.06.26.,1471.56
BUX,1995.06.27.,1462.77
BUX,1995.06.28.,1456.41
BUX,1995.06.29.,1446.38
BUX,1995.06.30.,1460.41
BUX,1995.07.03.,1450.91
BUX,1995.07.04.,1454.61
BUX,1995.07.05.,1464.87
BUX,1995.07.06.,1473.03
BUX,1995.07.07.,1476.47
BUX,1995.07.10.,1485.94
BUX,1995.07.11.,1486.65
BUX,1995.07.12.,1484.14
BUX,1995.07.13.,1478.38
BUX,1995.07.17.,1475.42
BUX,1995.07.18.,1479.75
BUX,1995.07.19.,1484.31
BUX,1995.07.20.,1483.18
BUX,1995.07.21.,1478.72
BUX,1995.07.24.,1469.67
BUX,1995.07.25.,1467.94
BUX,1995.07.26.,1468.05
BUX,1995.07.27.,1477.58
BUX,1995.07.28.,1486.19
BUX,1995.07.31.,1490.62
BUX,1995.08.01.,1485.49
BUX,1995.08.02.,1507.62
BUX,1995.08.03.,1508.47
BUX,1995.08.04.,1510.66
BUX,1995.08.07.,1513.3
BUX,1995.08.08.,1509.81
BUX,1995.08.09.,1509.32
BUX,1995.08.10.,1510.93
BUX,1995.08.11.,1506.86
BUX,1995.08.14.,1512.62
BUX,1995.08.15.,1506.02
BUX,1995.08.16.,1508.08
BUX,1995.08.17.,1496.77
BUX,1995.08.18.,1497.86
BUX,1995.08.21.,1512.11
BUX,1995.08.22.,1516.23
BUX,1995.08.23.,1517.06
BUX,1995.08.24.,1514.51
BUX,1995.08.25.,1524.26
BUX,1995.08.28.,1527.32
BUX,1995.08.29.,1537.18
BUX,1995.08.30.,1550.97
BUX,1995.08.31.,1567.54
BUX,1995.09.01.,1584.11
BUX,1995.09.04.,1584.83
BUX,1995.09.05.,1584.58
BUX,1995.09.06.,1587.84
BUX,1995.09.07.,1571.4
BUX,1995.09.08.,1582.12
BUX,1995.09.11.,1585.03
BUX,1995.09.12.,1593.46
BUX,1995.09.13.,1606.93
BUX,1995.09.14.,1615.59
BUX,1995.09.15.,1614.34
BUX,1995.09.18.,1622.35
