Név,Dátum,Utolsó ár
BUX,2010.09.28.,22917.28
BUX,2010.09.29.,22818.43
BUX,2010.09.30.,23239.93
BUX,2010.10.01.,23045.95
BUX,2010.10.04.,23079.97
BUX,2010.10.05.,23195.8
BUX,2010.10.06.,23385.19
BUX,2010.10.07.,23536.46
BUX,2010.10.08.,23416.53
BUX,2010.10.11.,23526.91
BUX,2010.10.12.,23405.97
BUX,2010.10.13.,23648.58
BUX,2010.10.14.,23499.09
BUX,2010.10.15.,23415.07
BUX,2010.10.18.,23407.53
BUX,2010.10.19.,23477.2
BUX,2010.10.20.,23628.15
BUX,2010.10.21.,23665.5
BUX,2010.10.22.,23230.91
BUX,2010.10.25.,23418.03
BUX,2010.10.26.,23261.5
BUX,2010.10.27.,23011.77
BUX,2010.10.28.,23102.43
BUX,2010.10.29.,23146.69
BUX,2010.11.02.,23153.66
BUX,2010.11.03.,23075.06
BUX,2010.11.04.,23326.41
BUX,2010.11.05.,23205.45
BUX,2010.11.08.,23127.36
BUX,2010.11.09.,23323.52
BUX,2010.11.10.,22225.42
BUX,2010.11.11.,21707.9
BUX,2010.11.12.,22126.41
BUX,2010.11.15.,22362.05
BUX,2010.11.16.,21940.67
BUX,2010.11.17.,22079.12
BUX,2010.11.18.,22570.23
BUX,2010.11.19.,22493.32
BUX,2010.11.22.,22285.2
BUX,2010.11.23.,21953.54
BUX,2010.11.24.,21992.72
BUX,2010.11.25.,21364.54
BUX,2010.11.26.,20763.54
BUX,2010.11.29.,20221.37
BUX,2010.11.30.,20639.64
BUX,2010.12.01.,21291.84
BUX,2010.12.02.,21065.24
BUX,2010.12.03.,21519.43
BUX,2010.12.06.,21370.03
BUX,2010.12.07.,21707.61
BUX,2010.12.08.,21763.33
BUX,2010.12.09.,21671.73
BUX,2010.12.10.,21465.16
BUX,2010.12.13.,21353.25
BUX,2010.12.14.,21378.57
BUX,2010.12.15.,21283.71
BUX,2010.12.16.,21215.78
BUX,2010.12.17.,21218.27
BUX,2010.12.20.,21237.46
BUX,2010.12.21.,21148.37
BUX,2010.12.22.,21527.74
BUX,2010.12.23.,21446.58
BUX,2010.12.27.,21516.06
BUX,2010.12.28.,21459.94
BUX,2010.12.29.,21453.6
BUX,2010.12.30.,21296.46
BUX,2010.12.31.,21327.07
BUX,2011.01.03.,21745.86
BUX,2011.01.04.,21945.9
BUX,2011.01.05.,22117.59
BUX,2011.01.06.,22446.78
BUX,2011.01.07.,22271.24
