Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;50;125
"2013-01-01 00:00:00";;14,9;25,7;48,6;;
"2013-01-02 00:00:00";;33,1;33,7;84,4;;
"2013-01-03 00:00:00";;42,8;38,6;104,3;;
"2013-01-04 00:00:00";;78,5;42,8;163,2;;
"2013-01-05 00:00:00";;18,7;22,7;51,3;;
"2013-01-06 00:00:00";;10,0;21,1;36,4;;
"2013-01-07 00:00:00";;6,9;19,0;29,5;;
"2013-01-08 00:00:00";;;;;;
"2013-01-09 00:00:00";;;;;;
"2013-01-10 00:00:00";;;;;;
"2013-01-11 00:00:00";;;;;;
"2013-01-12 00:00:00";;;;;;
"2013-01-13 00:00:00";;;;;;
"2013-01-14 00:00:00";;;;;;
"2013-01-15 00:00:00";;;;;;
"2013-01-16 00:00:00";;;;;;
"2013-01-17 00:00:00";;;;;;
"2013-01-18 00:00:00";;;;;;
"2013-01-19 00:00:00";;;;;;
"2013-01-20 00:00:00";;;;;;
"2013-01-21 00:00:00";;;;;;
"2013-01-22 00:00:00";;;;;;
"2013-01-23 00:00:00";;;;;;
"2013-01-24 00:00:00";;;;;;
"2013-01-25 00:00:00";;;;;;
"2013-01-26 00:00:00";;;;;;
"2013-01-27 00:00:00";;;;;;
"2013-01-28 00:00:00";;;;;;
"2013-01-29 00:00:00";;;;;;
"2013-01-30 00:00:00";;;;;;
"2013-01-31 00:00:00";;;;;;
"2013-02-01 00:00:00";;;;;;
"2013-02-02 00:00:00";;;;;;
"2013-02-03 00:00:00";;;;;;
"2013-02-04 00:00:00";;;;;;
"2013-02-05 00:00:00";;;;;;
"2013-02-06 00:00:00";;;;;;
"2013-02-07 00:00:00";;;;;;
"2013-02-08 00:00:00";;;;;;
"2013-02-09 00:00:00";;;;;;
"2013-02-10 00:00:00";;;;;;
"2013-02-11 00:00:00";;;;;;
"2013-02-12 00:00:00";;;;;;
"2013-02-13 00:00:00";;;;;;
"2013-02-14 00:00:00";;;;;;
"2013-02-15 00:00:00";1045;;;;;
"2013-02-16 00:00:00";805;;;;;
"2013-02-17 00:00:00";676;;;;;
"2013-02-18 00:00:00";776;;;;;
"2013-02-19 00:00:00";934;;;;;
"2013-02-20 00:00:00";840;;;;;
"2013-02-21 00:00:00";758;18,8;16,7;45,5;;
"2013-02-22 00:00:00";621;24,7;37,7;75,5;;
"2013-02-23 00:00:00";541;19,9;30,6;61,1;;
"2013-02-24 00:00:00";220;9,9;14,8;30,0;;
"2013-02-25 00:00:00";295;19,2;23,4;52,8;;
"2013-02-26 00:00:00";288;10,3;15,1;30,9;;
"2013-02-27 00:00:00";352;13,9;23,7;45,0;;
"2013-02-28 00:00:00";584;48,5;51,8;126,3;;
"2013-03-01 00:00:00";495;32,0;32,5;81,5;;
"2013-03-02 00:00:00";578;18,6;27,9;56,5;;
"2013-03-03 00:00:00";421;13,2;20,6;40,9;;
"2013-03-04 00:00:00";625;12,7;35,2;54,8;;
"2013-03-05 00:00:00";972;39,2;58,3;118,5;;
"2013-03-06 00:00:00";677;35,2;44,9;98,9;;
"2013-03-07 00:00:00";500;29,8;35,8;81,4;;
"2013-03-08 00:00:00";603;25,8;37,6;77,2;;
"2013-03-09 00:00:00";543;20,2;22,9;53,9;;
"2013-03-10 00:00:00";672;10,9;21,9;38,7;;
"2013-03-11 00:00:00";599;18,2;27,5;55,4;;
"2013-03-12 00:00:00";799;15,9;27,4;51,8;;
"2013-03-13 00:00:00";726;32,3;39,4;89,0;;
"2013-03-14 00:00:00";405;8,7;16,7;30,0;;
"2013-03-15 00:00:00";202;2,2;18,0;21,3;;6,5
"2013-03-16 00:00:00";348;13,5;39,6;60,3;;7,7
"2013-03-17 00:00:00";487;10,7;36,8;53,2;;9,6
"2013-03-18 00:00:00";355;27,8;34,3;76,9;;9,5
"2013-03-19 00:00:00";321;27,1;38,9;80,4;;9,2
"2013-03-20 00:00:00";481;40,8;55,0;117,6;;11,1
"2013-03-21 00:00:00";304;13,8;29,1;50,3;;10,2
"2013-03-22 00:00:00";251;3,7;13,8;19,5;18;11,1
"2013-03-23 00:00:00";244;3,9;12,0;18,0;22;12,6
"2013-03-24 00:00:00";265;3,5;11,7;17,0;18;12,9
"2013-03-25 00:00:00";312;9,6;19,0;33,7;21;11,5
"2013-03-26 00:00:00";342;12,1;22,7;41,2;16;10,3
"2013-03-27 00:00:00";495;30,4;44,6;91,3;27;14,8
