Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;50;125
"2022-01-01 00:00:00";1101;65,9;28,2;129,2;28;7,0
"2022-01-02 00:00:00";985;32,4;21,0;70,7;17;6,5
"2022-01-03 00:00:00";708;25,8;28,1;67,7;12;7,4
"2022-01-04 00:00:00";757;23,7;26,3;62,6;17;9,3
"2022-01-05 00:00:00";715;21,5;32,0;64,9;14;9,2
"2022-01-06 00:00:00";649;14,6;23,9;46,2;11;7,1
"2022-01-07 00:00:00";784;22,5;34,7;69,2;23;7,0
"2022-01-08 00:00:00";934;11,5;32,2;49,8;34;6,2
"2022-01-09 00:00:00";827;12,9;35,6;55,4;27;6,7
"2022-01-10 00:00:00";1290;10,6;22,5;38,7;22;7,5
"2022-01-11 00:00:00";507;5,8;12,2;21,0;13;3,9
"2022-01-12 00:00:00";616;10,5;24,1;40,2;24;1,9
"2022-01-13 00:00:00";889;34,7;43,6;96,9;54;1,8
"2022-01-14 00:00:00";880;30,8;39,9;87,2;41;2,6
"2022-01-15 00:00:00";1047;19,9;45,4;75,9;60;3,4
"2022-01-16 00:00:00";753;8,4;25,4;38,3;21;
"2022-01-17 00:00:00";675;24,0;25,9;62,6;17;
"2022-01-18 00:00:00";683;23,3;42,3;78,1;17;
"2022-01-19 00:00:00";876;67,0;51,4;154,1;30;3,8
"2022-01-20 00:00:00";751;26,6;33,7;74,6;18;4,9
"2022-01-21 00:00:00";674;30,9;32,8;80,3;15;4,2
"2022-01-22 00:00:00";684;18,3;27,0;55,1;13;4,0
"2022-01-23 00:00:00";602;2,4;11,8;15,5;13;3,3
"2022-01-24 00:00:00";829;61,9;42,7;137,6;40;3,1
"2022-01-25 00:00:00";723;31,5;39,4;87,7;50;1,6
"2022-01-26 00:00:00";681;34,4;33,4;86,1;47;2,7
"2022-01-27 00:00:00";481;32,4;28,6;78,2;25;3,1
"2022-01-28 00:00:00";287;11,9;25,9;44,2;16;3,5
"2022-01-29 00:00:00";301;11,3;25,9;43,3;13;2,7
"2022-01-30 00:00:00";210;3,8;13,1;19,0;12;3,1
"2022-01-31 00:00:00";303;17,9;28,8;56,3;22;3,5
"2022-02-01 00:00:00";526;33,0;40,9;91,5;31;3,7
"2022-02-02 00:00:00";518;29,3;36,6;81,6;18;3,5
"2022-02-03 00:00:00";543;33,7;41,2;92,9;24;3,1
"2022-02-04 00:00:00";492;22,6;37,7;72,4;24;3,6
"2022-02-05 00:00:00";465;23,0;34,1;69,4;25;3,8
"2022-02-06 00:00:00";362;11,4;23,5;40,9;14;3,8
"2022-02-07 00:00:00";420;19,5;32,2;62,2;13;4,0
"2022-02-08 00:00:00";414;14,5;26,0;48,2;14;2,1
"2022-02-09 00:00:00";513;41,3;34,2;97,6;18;2,2
"2022-02-10 00:00:00";619;49,8;42,7;119,0;25;3,4
"2022-02-11 00:00:00";597;46,3;38,7;109,7;31;3,2
"2022-02-12 00:00:00";590;20,7;33,7;65,5;19;1,7
"2022-02-13 00:00:00";697;11,8;34,7;52,7;33;2,0
"2022-02-14 00:00:00";693;26,3;39,3;79,7;37;3,6
"2022-02-15 00:00:00";550;20,8;32,8;64,7;29;4,9
"2022-02-16 00:00:00";602;33,1;33,6;84,3;25;2,8
"2022-02-17 00:00:00";396;15,2;23,6;46,9;14;4,4
"2022-02-18 00:00:00";347;12,2;20,3;39,0;11;2,1
"2022-02-19 00:00:00";353;9,8;17,8;32,9;11;2,5
"2022-02-20 00:00:00";374;10,7;19,9;36,2;10;1,8
"2022-02-21 00:00:00";443;19,4;28,6;58,3;18;5,4
"2022-02-22 00:00:00";570;31,9;37,4;86,4;19;2,7
"2022-02-23 00:00:00";644;45,8;40,2;110,4;18;1,8
"2022-02-24 00:00:00";799;61,6;46,1;140,5;33;2,1
"2022-02-25 00:00:00";566;21,8;28,4;61,8;23;2,9
"2022-02-26 00:00:00";417;5,0;12,2;19,8;13;1,5
"2022-02-27 00:00:00";407;3,5;9,7;15,1;11;0,9
"2022-02-28 00:00:00";444;8,3;14,6;27,3;12;0,7
"2022-03-01 00:00:00";456;7,2;14,9;25,9;;1,6
"2022-03-02 00:00:00";476;7,0;18,1;28,8;17;2,6
"2022-03-03 00:00:00";506;6,6;27,2;37,4;23;3,6
"2022-03-04 00:00:00";480;6,0;20,1;29,2;26;3,0
"2022-03-05 00:00:00";460;4,8;15,1;22,4;16;1,8
"2022-03-06 00:00:00";464;3,8;13,1;18,8;17;1,7
"2022-03-07 00:00:00";479;6,4;16,5;26,4;19;2,3
"2022-03-08 00:00:00";494;7,0;23,6;34,3;19;1,5
"2022-03-09 00:00:00";466;5,3;18,0;26,2;13;1,2
"2022-03-10 00:00:00";441;6,8;14,1;24,5;14;1,2
"2022-03-11 00:00:00";466;8,3;20,8;33,5;15;1,0
"2022-03-12 00:00:00";474;6,1;23,5;32,8;16;1,4
"2022-03-13 00:00:00";788;32,9;44,2;94,7;32;2,7
"2022-03-14 00:00:00";1051;60,7;61,5;154,7;50;3,7
