Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;50;125
"2018-01-01 00:00:00";471;23,3;31,2;66,9;24;7,1
"2018-01-02 00:00:00";522;10,8;21,8;38,4;31;2,6
"2018-01-03 00:00:00";367;38,3;30,3;89,0;15;2,7
"2018-01-04 00:00:00";574;72,7;46,6;158,1;21;2,9
"2018-01-05 00:00:00";405;35,7;38,4;93,2;17;4,2
"2018-01-06 00:00:00";432;29,6;38,4;83,8;17;8,4
"2018-01-07 00:00:00";599;27,5;35,3;77,5;31;7,4
"2018-01-08 00:00:00";490;17,6;21,4;48,4;24;2,4
"2018-01-09 00:00:00";698;38,5;31,6;90,6;31;3,0
"2018-01-10 00:00:00";919;51,0;39,6;117,9;49;3,6
"2018-01-11 00:00:00";608;43,9;34,0;101,3;38;5,0
"2018-01-12 00:00:00";503;16,8;21,2;46,9;34;2,9
"2018-01-13 00:00:00";384;13,9;19,9;41,2;12;1,8
"2018-01-14 00:00:00";456;12,1;22,1;40,6;23;1,9
"2018-01-15 00:00:00";654;49,4;35,3;111,1;35;2,4
"2018-01-16 00:00:00";542;34,6;35,8;88,8;31;3,4
"2018-01-17 00:00:00";557;36,5;35,2;91,2;32;2,3
"2018-01-18 00:00:00";481;31,2;39,2;87,1;24;2,7
"2018-01-19 00:00:00";497;46,7;42,7;114,3;18;2,9
"2018-01-20 00:00:00";532;32,3;36,4;86,0;20;1,9
"2018-01-21 00:00:00";470;11,7;24,9;42,9;18;1,7
"2018-01-22 00:00:00";774;28,8;38,7;82,9;31;2,6
"2018-01-23 00:00:00";1476;77,9;65,3;184,8;78;3,4
"2018-01-24 00:00:00";851;39,0;46,5;106,3;48;3,6
"2018-01-25 00:00:00";715;31,7;43,8;92,5;47;3,8
"2018-01-26 00:00:00";1362;92,6;68,1;210,0;77;4,6
"2018-01-27 00:00:00";939;26,1;53,1;93,1;66;9,2
"2018-01-28 00:00:00";699;20,9;32,7;64,7;49;3,1
"2018-01-29 00:00:00";699;44,2;33,6;101,5;34;3,1
"2018-01-30 00:00:00";527;23,4;36,3;72,1;25;3,6
"2018-01-31 00:00:00";750;54,8;45,9;129,9;34;2,8
"2018-02-01 00:00:00";503;32,7;36,0;86,1;21;8,0
"2018-02-02 00:00:00";612;46,0;43,8;114,4;28;4,4
"2018-02-03 00:00:00";404;8,8;19,8;33,4;10;2,0
"2018-02-04 00:00:00";445;6,0;22,7;32,0;20;2,3
"2018-02-05 00:00:00";542;21,5;33,6;66,6;27;2,6
"2018-02-06 00:00:00";463;17,2;26,0;52,4;23;2,1
"2018-02-07 00:00:00";478;11,5;26,6;44,2;29;2,5
"2018-02-08 00:00:00";619;19,3;30,5;60,1;34;2,5
"2018-02-09 00:00:00";;25,4;36,3;75,3;31;2,5
"2018-02-10 00:00:00";;11,3;25,5;42,9;39;2,3
"2018-02-11 00:00:00";;15,5;29,4;53,1;36;2,4
"2018-02-12 00:00:00";;54,7;56,3;140,2;52;3,1
"2018-02-13 00:00:00";;11,3;26,3;43,6;35;1,8
"2018-02-14 00:00:00";;13,0;28,6;48,5;23;1,7
"2018-02-15 00:00:00";;17,4;37,3;64,0;28;2,5
"2018-02-16 00:00:00";;33,3;47,2;98,3;37;2,3
"2018-02-17 00:00:00";725;19,8;33,6;63,9;37;2,9
"2018-02-18 00:00:00";486;4,6;15,1;22,1;22;1,7
"2018-02-19 00:00:00";553;10,9;24,5;41,2;25;2,1
"2018-02-20 00:00:00";497;23,7;30,3;66,6;26;1,4
"2018-02-21 00:00:00";472;12,7;25,8;45,3;26;1,8
"2018-02-22 00:00:00";431;8,4;19,3;32,2;22;3,4
"2018-02-23 00:00:00";460;12,0;23,6;42,0;26;2,9
"2018-02-24 00:00:00";516;4,2;11,9;18,3;23;3,2
"2018-02-25 00:00:00";699;3,3;10,4;15,5;23;4,0
"2018-02-26 00:00:00";740;8,5;18,1;31,1;28;4,7
"2018-02-27 00:00:00";787;10,7;22,4;38,7;24;4,2
"2018-02-28 00:00:00";632;7,5;21,2;32,7;28;5,3
