Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;50;125
"2017-01-01 00:00:00";1195;32,4;39,4;89,2;83;2,9
"2017-01-02 00:00:00";1089;42,4;42,3;107,3;86;4,7
"2017-01-03 00:00:00";928;46,3;41,0;112,0;90;5,7
"2017-01-04 00:00:00";627;41,4;41,4;105,0;30;5,9
"2017-01-05 00:00:00";547;38,5;31,2;90,2;18;3,1
"2017-01-06 00:00:00";465;5,0;11,7;19,4;59;5,5
"2017-01-07 00:00:00";607;3,2;11,7;16,6;43;8,1
"2017-01-08 00:00:00";480;2,1;12,8;16,0;35;6,2
"2017-01-09 00:00:00";660;13,1;26,1;46,1;45;6,4
"2017-01-10 00:00:00";1119;46,9;46,0;117,9;75;7,0
"2017-01-11 00:00:00";835;27,4;36,9;78,9;60;4,9
"2017-01-12 00:00:00";853;43,8;47,9;115,1;68;12,8
"2017-01-13 00:00:00";611;38,5;43,0;101,9;31;6,1
"2017-01-14 00:00:00";501;24,0;38,0;74,8;20;2,9
"2017-01-15 00:00:00";686;29,7;47,3;92,9;36;2,6
"2017-01-16 00:00:00";765;23,7;38,4;74,7;49;2,8
"2017-01-17 00:00:00";448;11,8;22,9;41,0;27;4,0
"2017-01-18 00:00:00";420;10,6;21,1;37,4;27;4,9
"2017-01-19 00:00:00";629;11,7;36,0;54,0;38;4,5
"2017-01-20 00:00:00";1174;25,2;68,4;107,0;84;4,8
"2017-01-21 00:00:00";1716;37,0;78,7;135,5;138;4,5
"2017-01-22 00:00:00";1540;20,0;53,2;84,0;141;3,6
"2017-01-23 00:00:00";1229;16,3;58,1;83,0;88;3,3
"2017-01-24 00:00:00";1293;28,0;59,9;102,8;95;4,4
"2017-01-25 00:00:00";1343;48,1;70,5;144,3;85;4,5
"2017-01-26 00:00:00";1073;25,1;44,5;83,0;77;3,1
"2017-01-27 00:00:00";746;26,0;42,3;82,2;48;2,4
"2017-01-28 00:00:00";867;10,6;31,5;47,7;62;2,3
"2017-01-29 00:00:00";1511;19,1;51,3;80,7;105;2,5
"2017-01-30 00:00:00";2250;59,7;96,9;188,5;170;7,0
"2017-01-31 00:00:00";1805;54,8;82,7;166,7;147;6,6
"2017-02-01 00:00:00";1110;60,6;62,0;154,9;60;5,9
"2017-02-02 00:00:00";619;54,4;58,3;141,7;31;9,3
"2017-02-03 00:00:00";640;77,4;67,4;186,0;28;7,3
"2017-02-04 00:00:00";488;32,5;43,7;93,5;23;5,0
"2017-02-05 00:00:00";652;39,5;46,5;107,0;25;3,6
"2017-02-06 00:00:00";628;17,2;23,7;50,1;23;2,3
"2017-02-07 00:00:00";485;10,0;19,7;35,0;22;2,9
"2017-02-08 00:00:00";455;10,3;24,9;40,7;27;5,5
"2017-02-09 00:00:00";577;13,2;30,7;51,0;38;4,7
"2017-02-10 00:00:00";973;69,6;64,4;171,0;46;3,4
"2017-02-11 00:00:00";659;17,1;36,6;62,9;42;2,3
"2017-02-12 00:00:00";548;7,2;25,6;36,7;23;1,9
"2017-02-13 00:00:00";580;13,0;34,9;54,8;30;2,0
"2017-02-14 00:00:00";526;23,9;40,3;76,9;49;2,6
"2017-02-15 00:00:00";601;19,3;41,1;70,6;75;2,8
"2017-02-16 00:00:00";612;17,7;37,6;64,8;70;2,3
"2017-02-17 00:00:00";724;23,1;36,6;72,0;63;2,4
"2017-02-18 00:00:00";798;14,3;35,0;56,9;73;3,6
"2017-02-19 00:00:00";650;6,8;21,0;31,3;54;2,9
"2017-02-20 00:00:00";603;41,5;47,2;110,9;30;3,1
"2017-02-21 00:00:00";624;49,8;52,2;128,6;37;4,1
"2017-02-22 00:00:00";531;63,6;54,6;152,1;20;4,0
"2017-02-23 00:00:00";413;35,2;41,9;95,8;20;3,5
"2017-02-24 00:00:00";314;25,0;35,3;73,6;18;3,4
"2017-02-25 00:00:00";356;14,6;26,4;48,8;15;3,7
"2017-02-26 00:00:00";598;20,5;42,9;74,3;31;4,2
"2017-02-27 00:00:00";741;46,8;57,9;129,7;56;6,4
"2017-02-28 00:00:00";546;61,4;51,9;146,0;58;6,8
"2017-03-01 00:00:00";333;48,3;35,6;109,7;29;3,3
"2017-03-02 00:00:00";417;42,9;49,6;115,4;15;3,4
"2017-03-03 00:00:00";535;42,4;44,5;109,5;32;2,7
"2017-03-04 00:00:00";362;15,0;30,8;53,8;27;3,8
"2017-03-05 00:00:00";309;16,2;30,2;55,0;28;3,8
"2017-03-06 00:00:00";428;34,3;45,2;97,8;21;2,4
"2017-03-07 00:00:00";327;21,0;30,7;62,9;19;2,1
"2017-03-08 00:00:00";315;9,2;17,5;31,7;24;2,9
"2017-03-09 00:00:00";433;27,1;36,7;78,3;26;2,9
"2017-03-10 00:00:00";420;19,1;24,7;54,1;23;2,6
"2017-03-11 00:00:00";300;3,3;11,2;16,2;25;2,9
"2017-03-12 00:00:00";267;3,3;9,9;15,0;13;2,7
"2017-03-13 00:00:00";309;7,7;18,0;29,9;23;2,7
"2017-03-14 00:00:00";348;8,9;22,1;35,7;29;2,7
"2017-03-15 00:00:00";470;8,8;33,3;46,8;37;4,3
"2017-03-16 00:00:00";392;33,7;39,6;91,4;26;3,5
"2017-03-17 00:00:00";396;24,7;41,9;79,9;26;3,2
"2017-03-18 00:00:00";322;16,4;28,1;53,2;14;2,3
"2017-03-19 00:00:00";234;6,9;14,2;24,9;7;2,0
"2017-03-20 00:00:00";379;30,6;41,5;88,4;19;2,3
"2017-03-21 00:00:00";483;45,6;49,2;119,1;33;3,3
"2017-03-22 00:00:00";447;41,4;49,8;113,4;38;3,3
"2017-03-23 00:00:00";601;52,1;50,0;129,9;35;3,2
"2017-03-24 00:00:00";469;41,2;48,1;111,3;45;3,7
"2017-03-25 00:00:00";355;18,4;28,3;56,5;18;2,1
"2017-03-26 00:00:00";296;9,6;11,5;26,2;17;1,5
"2017-03-27 00:00:00";365;18,0;33,4;61,0;18;3,9
"2017-03-28 00:00:00";545;57,3;79,4;167,2;36;3,4
"2017-03-29 00:00:00";427;37,7;56,4;114,2;30;2,3
"2017-03-30 00:00:00";273;4,3;22,1;28,7;21;1,7
"2017-03-31 00:00:00";539;38,5;56,7;115,8;38;2,0
"2017-04-01 00:00:00";655;26,8;55,9;96,9;47;2,3
"2017-04-02 00:00:00";672;36,0;59,4;114,6;50;3,1
"2017-04-03 00:00:00";504;37,7;53,0;110,8;50;2,9
"2017-04-04 00:00:00";332;8,0;35,6;47,9;36;2,2
"2017-04-05 00:00:00";373;25,1;41,3;79,8;25;2,0
"2017-04-06 00:00:00";323;20,3;30,6;61,8;15;1,7
"2017-04-07 00:00:00";288;6,0;21,4;30,5;9;1,6
"2017-04-08 00:00:00";282;4,9;19,4;27,0;11;1,6
"2017-04-09 00:00:00";297;4,5;18,7;25,7;15;1,9
"2017-04-10 00:00:00";599;53,6;79,9;162,1;41;2,4
"2017-04-11 00:00:00";366;32,6;50,8;100,7;25;2,3
"2017-04-12 00:00:00";361;25,0;54,0;92,3;19;2,1
"2017-04-13 00:00:00";373;33,5;53,6;104,9;18;2,1
"2017-04-14 00:00:00";316;14,1;34,7;56,3;12;1,6
"2017-04-15 00:00:00";398;18,8;48,6;77,3;20;1,8
"2017-04-16 00:00:00";277;5,4;17,3;25,6;11;1,6
"2017-04-17 00:00:00";425;11,0;23,1;40,1;16;1,6
"2017-04-18 00:00:00";437;34,2;57,6;110,1;18;1,9
