Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;50;125
"2015-01-01 00:00:00";1162;21,1;30,2;62,7;;2,4
"2015-01-02 00:00:00";1111;14,3;30,3;52,3;;2,5
"2015-01-03 00:00:00";943;31,6;40,6;89,0;47;2,2
"2015-01-04 00:00:00";773;10,8;27,7;44,3;16;1,0
"2015-01-05 00:00:00";1246;53,0;47,8;129,0;34;2,2
"2015-01-06 00:00:00";780;7,0;21,7;32,5;20;1,8
"2015-01-07 00:00:00";1113;20,2;41,0;72,0;53;2,6
"2015-01-08 00:00:00";995;29,2;42,6;87,4;;4,3
"2015-01-09 00:00:00";534;46,4;44,8;116,0;;9,6
"2015-01-10 00:00:00";506;66,3;51,3;153,1;;5,5
"2015-01-11 00:00:00";328;29,1;36,8;81,4;12;4,4
"2015-01-12 00:00:00";328;36,2;39,1;94,6;14;1,9
"2015-01-13 00:00:00";606;50,0;49,2;125,9;28;5,5
"2015-01-14 00:00:00";1504;118,9;77,7;260,1;73;10,5
"2015-01-15 00:00:00";793;44,7;47,1;115,7;43;5,9
"2015-01-16 00:00:00";850;49,6;46,0;122,1;52;6,7
"2015-01-17 00:00:00";683;33,2;46,1;96,9;40;10,2
"2015-01-18 00:00:00";781;33,8;41,3;93,2;43;8,3
"2015-01-19 00:00:00";778;22,3;27,6;61,9;35;5,2
"2015-01-20 00:00:00";790;44,5;32,2;100,4;30;3,6
"2015-01-21 00:00:00";870;53,4;40,2;122,1;43;4,8
"2015-01-22 00:00:00";815;42,5;37,5;102,6;40;4,9
"2015-01-23 00:00:00";717;19,0;25,8;55,0;31;2,6
"2015-01-24 00:00:00";660;13,0;18,8;38,8;13;3,1
"2015-01-25 00:00:00";645;11,7;17,5;35,4;18;2,4
"2015-01-26 00:00:00";735;17,6;28,0;55,0;30;3,8
"2015-01-27 00:00:00";943;49,1;45,7;121,1;43;3,2
"2015-01-28 00:00:00";990;41,7;44,5;108,4;46;3,3
"2015-01-29 00:00:00";612;36,1;39,0;94,5;32;4,7
"2015-01-30 00:00:00";222;15,3;25,3;48,8;16;8,0
"2015-01-31 00:00:00";282;19,1;29,6;58,8;14;2,6
"2015-02-01 00:00:00";840;32,7;36,1;86,4;41;3,0
"2015-02-02 00:00:00";747;48,6;45,5;120,0;46;2,9
"2015-02-03 00:00:00";856;67,5;64,3;167,7;44;3,7
"2015-02-04 00:00:00";578;23,9;32,6;69,3;31;2,9
"2015-02-05 00:00:00";409;12,6;24,7;44,0;25;2,7
"2015-02-06 00:00:00";318;6,6;15,9;26,0;21;2,9
"2015-02-07 00:00:00";438;16,5;25,4;50,7;25;3,6
"2015-02-08 00:00:00";452;9,7;20,6;35,4;25;3,6
"2015-02-09 00:00:00";390;12,5;25,1;44,3;17;3,3
