Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;50;125
"2024-01-01 00:00:00";;5,7;11,9;20,6;10;
"2024-01-02 00:00:00";;17,2;20,1;46,4;9;
"2024-01-03 00:00:00";;14,3;20,3;42,1;9;
"2024-01-04 00:00:00";;17,9;21,3;48,8;10;
"2024-01-05 00:00:00";;17,3;25,0;51,5;14;
"2024-01-06 00:00:00";;11,0;19,7;36,7;17;
"2024-01-07 00:00:00";;4,1;5,4;11,7;11;
"2024-01-08 00:00:00";;6,6;7,6;17,8;14;
"2024-01-09 00:00:00";;8,1;15,3;27,8;17;
"2024-01-10 00:00:00";;70,0;44,6;151,9;58;
"2024-01-11 00:00:00";;27,4;27,5;69,4;34;
"2024-01-12 00:00:00";;17,1;30,0;56,2;32;
"2024-01-13 00:00:00";;17,0;21,2;47,3;21;
"2024-01-14 00:00:00";;9,1;16,9;30,9;21;
"2024-01-15 00:00:00";;23,3;27,4;63,1;28;
"2024-01-16 00:00:00";409;13,4;20,0;40,5;11;
"2024-01-17 00:00:00";584;26,0;31,4;71,3;21;
"2024-01-18 00:00:00";476;21,2;27,1;59,7;12;
"2024-01-19 00:00:00";389;4,7;14,6;21,8;10;
"2024-01-20 00:00:00";515;23,9;30,5;67,1;19;
"2024-01-21 00:00:00";838;16,0;34,2;58,6;41;
"2024-01-22 00:00:00";799;16,9;33,8;59,7;37;
"2024-01-23 00:00:00";724;26,6;31,6;72,5;35;
"2024-01-24 00:00:00";587;19,4;24,8;54,5;24;
"2024-01-25 00:00:00";370;7,5;19,2;30,7;13;
"2024-01-26 00:00:00";562;35,3;33,5;87,7;19;
"2024-01-27 00:00:00";377;4,5;17,4;24,4;12;
"2024-01-28 00:00:00";342;2,1;11,2;14,4;11;
"2024-01-29 00:00:00";734;29,4;33,7;78,8;30;
"2024-01-30 00:00:00";1482;92,4;47,8;189,5;52;
"2024-01-31 00:00:00";1329;55,5;43,5;128,6;49;
"2024-02-01 00:00:00";1178;33,5;40,3;91,6;45;
