Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;50;125
"2020-01-01 00:00:00";930;83,1;37,3;164,8;61;3,7
"2020-01-02 00:00:00";530;22,6;29,5;64,2;27;2,5
"2020-01-03 00:00:00";451;17,9;33,0;60,5;22;2,2
"2020-01-04 00:00:00";530;26,7;25,4;66,3;27;2,5
"2020-01-05 00:00:00";322;7,5;19,6;31,0;16;1,9
"2020-01-06 00:00:00";682;38,2;40,9;99,1;34;2,7
"2020-01-07 00:00:00";948;58,0;55,2;144,2;51;3,1
"2020-01-08 00:00:00";1030;52,7;52,8;133,5;56;3,2
"2020-01-09 00:00:00";763;31,7;37,2;85,7;43;2,7
"2020-01-10 00:00:00";891;46,2;48,4;119,2;54;2,3
"2020-01-11 00:00:00";626;16,2;30,4;55,2;32;1,9
"2020-01-12 00:00:00";674;14,1;25,0;46,7;22;1,8
"2020-01-13 00:00:00";757;34,1;38,0;90,2;29;2,3
"2020-01-14 00:00:00";681;29,4;35,4;80,5;35;4,4
"2020-01-15 00:00:00";686;24,4;33,7;71,1;32;3,5
"2020-01-16 00:00:00";873;33,4;32,4;83,6;43;2,7
"2020-01-17 00:00:00";888;31,5;34,2;82,4;45;2,3
"2020-01-18 00:00:00";671;13,8;33,6;54,9;30;2,4
"2020-01-19 00:00:00";530;8,0;26,9;39,2;37;2,2
"2020-01-20 00:00:00";662;16,6;34,4;59,8;36;1,9
"2020-01-21 00:00:00";737;58,9;35,6;125,9;36;2,2
"2020-01-22 00:00:00";532;37,9;40,5;98,7;29;2,0
"2020-01-23 00:00:00";710;61,3;41,8;135,8;39;2,8
"2020-01-24 00:00:00";903;68,1;44,7;149,2;44;2,6
"2020-01-25 00:00:00";593;14,4;29,9;51,9;47;2,5
"2020-01-26 00:00:00";604;4,9;21,5;29,0;38;1,8
"2020-01-27 00:00:00";666;21,9;29,7;63,3;48;1,9
"2020-01-28 00:00:00";553;37,3;41,8;99,0;23;3,0
"2020-01-29 00:00:00";403;20,6;40,0;71,6;12;1,7
"2020-01-30 00:00:00";364;32,5;46,7;96,5;15;1,6
"2020-01-31 00:00:00";862;87,2;47,3;180,9;32;3,4
"2020-02-01 00:00:00";344;26,8;38,9;80,0;14;2,1
"2020-02-02 00:00:00";181;6,8;27,4;37,8;9;1,4
"2020-02-03 00:00:00";212;8,8;31,5;45,0;7;1,6
"2020-02-04 00:00:00";254;15,0;29,9;52,9;8;1,8
"2020-02-05 00:00:00";309;1,8;12,0;14,3;6;1,8
"2020-02-06 00:00:00";466;16,1;32,1;52,5;20;2,5
"2020-02-07 00:00:00";;6,3;20,6;30,2;11;2,1
"2020-02-08 00:00:00";;25,4;35,6;74,6;28;3,7
"2020-02-09 00:00:00";;31,6;46,4;94,9;45;4,2
"2020-02-10 00:00:00";;23,0;29,9;65,2;21;7,1
"2020-02-11 00:00:00";;18,9;27,4;56,4;9;1,5
"2020-02-12 00:00:00";;10,7;17,8;34,2;10;1,7
"2020-02-13 00:00:00";;23,9;29,0;65,7;15;2,1
"2020-02-14 00:00:00";;24,6;31,9;69,6;17;1,9
"2020-02-15 00:00:00";;66,8;39,7;142,1;35;2,5
"2020-02-16 00:00:00";;52,4;46,7;127,1;41;2,7
"2020-02-17 00:00:00";;47,2;54,9;127,3;45;4,3
"2020-02-18 00:00:00";;20,8;33,8;65,8;34;2,1
"2020-02-19 00:00:00";;55,8;38,2;123,8;20;2,2
"2020-02-20 00:00:00";;27,6;31,4;73,7;17;1,6
"2020-02-21 00:00:00";;36,9;39,0;95,6;27;2,4
"2020-02-22 00:00:00";;24,4;33,3;70,7;23;2,1
"2020-02-23 00:00:00";;12,3;23,8;42,6;18;2,3
"2020-02-24 00:00:00";;8,9;18,4;32,0;10;1,0
"2020-02-25 00:00:00";;36,2;38,6;94,1;24;4,0
"2020-02-26 00:00:00";;26,5;30,6;71,2;16;1,6
"2020-02-27 00:00:00";;17,1;27,4;53,7;12;1,3
"2020-02-28 00:00:00";;17,5;27,9;54,8;13;2,6
"2020-02-29 00:00:00";;23,0;28,8;64,1;20;2,2
"2020-03-01 00:00:00";;9,6;19,0;33,8;16;3,8
"2020-03-02 00:00:00";;20,3;29,5;60,6;16;1,5
"2020-03-03 00:00:00";;33,1;42,2;93,0;23;2,5
"2020-03-04 00:00:00";;8,0;22,7;35,0;10;1,8
"2020-03-05 00:00:00";;32,9;37,5;88,0;32;2,8
"2020-03-06 00:00:00";;27,2;34,8;76,5;23;2,3
"2020-03-07 00:00:00";;17,5;31,6;58,4;16;2,1
"2020-03-08 00:00:00";;4,7;14,6;21,9;15;1,4
"2020-03-09 00:00:00";;16,7;35,7;61,4;27;2,1
"2020-03-10 00:00:00";;17,5;35,3;62,1;27;1,9
"2020-03-11 00:00:00";;41,1;45,1;108,1;21;1,5
"2020-03-12 00:00:00";;35,8;40,5;95,3;23;2,4
"2020-03-13 00:00:00";;22,1;37,1;70,9;21;2,1
"2020-03-14 00:00:00";;22,8;20,0;55,0;16;1,7
"2020-03-15 00:00:00";;3,5;10,8;16,1;13;2,0
"2020-03-16 00:00:00";;36,2;46,2;101,7;38;3,5
"2020-03-17 00:00:00";;27,9;40,4;83,3;42;4,2
"2020-03-18 00:00:00";;91,5;63,9;204,2;75;4,3
"2020-03-19 00:00:00";;85,6;62,9;194,2;69;3,1
"2020-03-20 00:00:00";;76,1;62,1;178,8;70;3,3
"2020-03-21 00:00:00";;12,9;23,4;43,2;36;1,5
"2020-03-22 00:00:00";;2,5;5,1;9,0;11;1,3
"2020-03-23 00:00:00";;6,6;10,4;20,5;12;1,9
"2020-03-24 00:00:00";;6,1;8,0;17,4;15;1,1
"2020-03-25 00:00:00";;10,8;13,6;30,2;19;1,2
"2020-03-26 00:00:00";;13,5;12,0;32,8;60;0,9
"2020-03-27 00:00:00";;16,1;23,7;48,3;31;1,3
"2020-03-28 00:00:00";;10,2;13,7;29,3;40;2,0
"2020-03-29 00:00:00";;12,1;15,9;34,5;31;1,8
"2020-03-30 00:00:00";;6,1;10,5;19,4;33;1,4
"2020-03-31 00:00:00";;5,5;15,2;23,2;16;2,0
"2020-04-01 00:00:00";;31,0;35,8;83,2;32;2,4
"2020-04-02 00:00:00";;42,7;48,7;114,2;46;2,9
"2020-04-03 00:00:00";;41,1;52,1;115,0;51;3,9
"2020-04-04 00:00:00";;5,7;13,8;22,6;27;1,3
"2020-04-05 00:00:00";;5,6;10,9;19,4;27;1,1
"2020-04-06 00:00:00";;15,4;30,9;54,6;34;1,3
"2020-04-07 00:00:00";;39,3;37,3;97,5;41;1,6
"2020-04-08 00:00:00";;32,6;41,2;91,2;44;1,3
"2020-04-09 00:00:00";;31,2;50,5;98,4;43;1,4
"2020-04-10 00:00:00";;5,3;11,5;19,7;25;0,8
"2020-04-11 00:00:00";;6,0;13,2;22,4;19;1,1
"2020-04-12 00:00:00";;13,4;25,3;45,8;26;1,2
"2020-04-13 00:00:00";;9,5;13,2;27,7;28;2,0
"2020-04-14 00:00:00";;8,7;12,0;25,4;11;0,8
"2020-04-15 00:00:00";;9,2;21,4;34,7;18;1,0
"2020-04-16 00:00:00";;9,5;19,2;31,3;21;0,8
"2020-04-17 00:00:00";;;;;25;1,2
"2020-04-18 00:00:00";;;;;27;1,3
"2020-04-19 00:00:00";;;;;19;1,0
"2020-04-20 00:00:00";;;;;17;
"2020-04-21 00:00:00";;;;;17;
"2020-04-22 00:00:00";;8,3;18,5;31,2;23;1,2
"2020-04-23 00:00:00";;11,7;31,8;49,7;26;
"2020-04-24 00:00:00";;27,2;45,3;87,0;32;
"2020-04-25 00:00:00";;7,6;16,7;28,4;38;
"2020-04-26 00:00:00";;13,2;18,0;38,3;19;
"2020-04-27 00:00:00";;26,0;39,9;79,8;31;
"2020-04-28 00:00:00";;14,9;30,6;53,5;24;
"2020-04-29 00:00:00";;18,1;30,0;57,7;17;1,0
"2020-04-30 00:00:00";;31,1;36,7;84,4;22;0,9
"2020-05-01 00:00:00";;9,5;19,9;34,4;11;1,9
"2020-05-02 00:00:00";;27,5;38,4;80,6;14;1,9
"2020-05-03 00:00:00";;4,1;8,0;14,3;12;1,4
"2020-05-04 00:00:00";;5,9;12,5;21,6;12;1,4
"2020-05-05 00:00:00";;19,9;25,6;56,1;18;1,6
"2020-05-06 00:00:00";;10,7;16,5;32,9;11;1,7
"2020-05-07 00:00:00";;7,1;11,9;22,7;12;1,6
"2020-05-08 00:00:00";;17,4;36,4;63,1;21;2,3
"2020-05-09 00:00:00";;13,5;35,7;56,4;20;2,0
"2020-05-10 00:00:00";;8,1;31,2;43,6;20;3,3
"2020-05-11 00:00:00";;18,8;36,0;64,7;25;4,5
"2020-05-12 00:00:00";;7,6;17,2;28,8;12;2,3
"2020-05-13 00:00:00";;13,8;21,8;43,0;13;2,8
"2020-05-14 00:00:00";;19,6;20,6;50,5;26;2,8
"2020-05-15 00:00:00";;4,2;10,8;17,3;15;1,9
"2020-05-16 00:00:00";;6,2;22,1;31,5;19;1,9
"2020-05-17 00:00:00";;6,6;24,9;35,0;17;2,0
"2020-05-18 00:00:00";;25,3;41,2;80,1;21;2,0
"2020-05-19 00:00:00";;16,8;39,2;65,0;23;2,1
