Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;50;125
"2021-01-01 00:00:00";469;7,4;13,9;25,3;11;3,8
"2021-01-02 00:00:00";539;12,5;17,9;37,1;15;3,8
"2021-01-03 00:00:00";564;12,4;20,2;39,3;15;3,5
"2021-01-04 00:00:00";629;15,6;23,3;47,2;21;3,5
"2021-01-05 00:00:00";537;22,7;24,5;59,3;14;3,3
"2021-01-06 00:00:00";588;24,2;29,4;66,5;17;3,7
"2021-01-07 00:00:00";563;27,7;26,4;68,8;14;3,3
"2021-01-08 00:00:00";776;41,2;31,4;94,5;24;3,4
"2021-01-09 00:00:00";768;17,4;25,0;51,6;24;3,0
"2021-01-10 00:00:00";683;5,3;16,2;24,3;23;2,8
"2021-01-11 00:00:00";737;15,2;23,5;46,8;28;3,2
"2021-01-12 00:00:00";784;36,7;31,3;87,6;29;3,1
"2021-01-13 00:00:00";695;32,6;35,6;85,6;23;3,0
"2021-01-14 00:00:00";604;21,6;37,0;70,1;17;2,9
"2021-01-15 00:00:00";652;27,8;33,6;76,2;19;3,2
"2021-01-16 00:00:00";665;11,9;29,3;47,5;29;3,2
"2021-01-17 00:00:00";731;8,2;23,7;36,3;26;2,4
"2021-01-18 00:00:00";679;23,4;33,0;68,9;;2,6
"2021-01-19 00:00:00";606;33,7;36,5;88,2;;3,7
"2021-01-20 00:00:00";459;30,8;36,7;83,9;;7,9
"2021-01-21 00:00:00";265;16,1;25,7;50,3;;12,7
"2021-01-22 00:00:00";240;17,2;25,7;52,0;;7,2
"2021-01-23 00:00:00";301;14,6;26,3;48,6;;3,2
"2021-01-24 00:00:00";343;14,8;22,0;44,6;;2,3
"2021-01-25 00:00:00";387;20,0;29,0;59,7;;1,8
"2021-01-26 00:00:00";739;57,9;40,4;129,2;;2,6
"2021-01-27 00:00:00";706;28,6;41,1;85,0;;2,4
"2021-01-28 00:00:00";398;22,2;34,1;68,2;;2,4
"2021-01-29 00:00:00";408;30,5;30,9;77,6;;2,8
"2021-01-30 00:00:00";303;12,7;21,4;41,0;;1,7
"2021-01-31 00:00:00";313;3,8;10,4;16,2;;2,0
"2021-02-01 00:00:00";467;23,2;27,7;63,4;;2,4
