Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;50;125
"2011-01-01 00:00:00";596;10,1;27,8;43,3;64;5,2
"2011-01-02 00:00:00";685;15,9;31,2;55,5;47;4,1
"2011-01-03 00:00:00";632;24,5;36,3;73,9;36;2,3
"2011-01-04 00:00:00";562;32,2;46,8;96,2;31;2,7
"2011-01-05 00:00:00";645;31,3;40,3;88,2;47;4,4
"2011-01-06 00:00:00";821;38,9;50,6;110,2;52;7,0
"2011-01-07 00:00:00";778;53,2;55,3;136,8;36;11,6
"2011-01-08 00:00:00";609;24,1;37,2;74,1;25;11,2
"2011-01-09 00:00:00";882;19,0;29,1;58,2;46;6,5
"2011-01-10 00:00:00";1005;74,4;51,5;165,5;47;7,2
"2011-01-11 00:00:00";1549;82,6;45,0;171,7;69;5,4
"2011-01-12 00:00:00";1314;92,9;45,2;187,7;59;6,5
"2011-01-13 00:00:00";889;55,5;38,5;123,6;29;4,3
"2011-01-14 00:00:00";1048;67,7;35,9;139,7;39;4,3
"2011-01-15 00:00:00";836;34,9;34,5;87,9;23;3,7
"2011-01-16 00:00:00";991;50,2;48,6;125,6;29;4,0
"2011-01-17 00:00:00";889;44,2;40,2;107,9;31;3,1
"2011-01-18 00:00:00";812;15,7;25,6;49,7;24;2,7
"2011-01-19 00:00:00";912;36,8;36,0;92,3;26;4,1
"2011-01-20 00:00:00";826;19,8;32,1;62,5;21;3,2
"2011-01-21 00:00:00";604;7,5;20,4;31,9;17;3,8
"2011-01-22 00:00:00";594;4,7;13,5;20,7;16;3,5
"2011-01-23 00:00:00";684;4,9;18,8;26,3;23;4,4
"2011-01-24 00:00:00";762;13,6;36,3;57,2;25;3,5
"2011-01-25 00:00:00";1015;47,5;48,3;121,0;44;3,9
"2011-01-26 00:00:00";829;19,3;38,8;68,4;28;12,5
"2011-01-27 00:00:00";823;14,5;37,5;59,8;45;8,3
"2011-01-28 00:00:00";644;12,7;36,3;55,7;46;6,1
"2011-01-29 00:00:00";1615;49,3;66,1;141,8;110;4,5
"2011-01-30 00:00:00";1406;13,4;56,0;76,5;123;3,7
"2011-01-31 00:00:00";893;23,0;46,7;81,9;71;4,0
"2011-02-01 00:00:00";774;23,5;45,2;81,2;52;4,6
"2011-02-02 00:00:00";788;32,1;50,3;99,5;60;4,5
"2011-02-03 00:00:00";717;40,0;46,4;107,6;66;3,8
"2011-02-04 00:00:00";826;38,0;42,9;101,1;58;5,2
"2011-02-05 00:00:00";802;21,8;43,9;77,3;56;8,9
"2011-02-06 00:00:00";1029;26,3;49,0;89,3;66;5,3
"2011-02-07 00:00:00";1102;57,5;69,0;157,1;71;5,7
"2011-02-08 00:00:00";1189;50,3;52,7;129,9;66;4,2
"2011-02-09 00:00:00";1046;47,7;48,3;121,4;37;2,9
"2011-02-10 00:00:00";1225;87,3;62,4;196,2;52;4,1
"2011-02-11 00:00:00";1102;50,1;57,9;134,7;55;6,3
"2011-02-12 00:00:00";953;24,4;36,2;73,6;43;4,3
"2011-02-13 00:00:00";1079;32,0;43,6;92,6;47;5,0
"2011-02-14 00:00:00";744;12,8;30,5;50,2;31;4,2
"2011-02-15 00:00:00";784;12,7;27,0;46,5;32;3,8
"2011-02-16 00:00:00";924;16,7;29,5;55,1;49;4,1
"2011-02-17 00:00:00";1065;26,5;34,5;75,1;56;3,7
"2011-02-18 00:00:00";986;16,3;29,1;54,0;42;4,4
"2011-02-19 00:00:00";937;7,5;20,9;32,4;40;5,2
"2011-02-20 00:00:00";942;3,4;17,4;22,5;46;6,2
"2011-02-21 00:00:00";917;10,0;23,8;39,1;53;7,1
"2011-02-22 00:00:00";941;12,3;27,4;46,3;54;10,7
"2011-02-23 00:00:00";1046;10,9;28,4;45,0;68;9,7
"2011-02-24 00:00:00";1117;10,9;33,7;50,4;66;13,6
"2011-02-25 00:00:00";972;10,3;29,6;45,4;49;17,7
"2011-02-26 00:00:00";1130;20,0;45,1;75,7;55;12,6
"2011-02-27 00:00:00";1314;9,9;49,5;64,7;88;14,4
"2011-02-28 00:00:00";1299;23,7;60,2;96,5;76;13,0
"2011-03-01 00:00:00";1141;13,8;37,1;58,3;52;4,4
"2011-03-02 00:00:00";1018;12,5;33,4;52,5;34;3,2
"2011-03-03 00:00:00";743;14,4;40,1;62,1;42;2,7
"2011-03-04 00:00:00";656;36,0;54,8;110,0;58;2,7
"2011-03-05 00:00:00";566;20,2;45,0;75,9;54;6,5
"2011-03-06 00:00:00";424;4,4;20,7;27,4;32;2,8
"2011-03-07 00:00:00";345;6,9;19,2;29,8;18;2,3
"2011-03-08 00:00:00";888;54,6;50,4;134,2;46;2,7
"2011-03-09 00:00:00";1283;90,8;72,2;211,4;79;5,3
"2011-03-10 00:00:00";969;55,8;61,9;147,4;58;3,7
"2011-03-11 00:00:00";782;42,6;56,9;122,2;58;7,6
"2011-03-12 00:00:00";921;23,2;52,5;88,0;61;4,6
"2011-03-13 00:00:00";902;21,8;43,6;77,0;62;12,1
"2011-03-14 00:00:00";734;16,1;38,8;63,4;47;8,3
"2011-03-15 00:00:00";791;9,3;32,5;46,8;42;3,9
"2011-03-16 00:00:00";917;29,7;49,2;94,7;67;7,0
"2011-03-17 00:00:00";761;21,8;34,5;68,0;46;2,7
"2011-03-18 00:00:00";758;30,1;34,8;80,9;23;4,9
"2011-03-19 00:00:00";723;12,9;20,5;40,2;12;0,9
"2011-03-20 00:00:00";618;2,6;13,1;17,1;16;0,5
"2011-03-21 00:00:00";687;9,7;31,0;45,9;25;1,7
"2011-03-22 00:00:00";774;13,9;47,4;68,7;38;4,1
"2011-03-23 00:00:00";945;62,4;48,6;144,2;50;1,9
"2011-03-24 00:00:00";761;34,5;50,4;103,2;47;4,1
"2011-03-25 00:00:00";480;38,8;49,0;108,5;43;4,2
"2011-03-26 00:00:00";364;10,9;26,2;42,9;36;1,0
