Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"2019-04-06 00:00:00";;3,9;28,0;33,9;18;
"2019-04-07 00:00:00";;5,7;25,8;34,5;27;
"2019-04-08 00:00:00";;15,7;45,4;69,5;28;
"2019-04-09 00:00:00";;;;;20;
"2019-04-10 00:00:00";;;;;28;
"2019-04-11 00:00:00";;;;;44;
"2019-04-12 00:00:00";;;;;27;
"2019-04-13 00:00:00";;;;;21;
"2019-04-14 00:00:00";;;;;17;
"2019-04-15 00:00:00";;;;;25;
"2019-04-16 00:00:00";;3,0;24,9;29,5;22;3,1
"2019-04-17 00:00:00";;3,0;22,4;26,9;17;3,8
"2019-04-18 00:00:00";;3,6;35,6;41,2;19;4,8
"2019-04-19 00:00:00";;1,0;20,0;21,6;25;5,4
"2019-04-20 00:00:00";;3,1;33,2;38,0;20;5,7
"2019-04-21 00:00:00";;1,6;25,2;27,6;22;5,7
"2019-04-22 00:00:00";;0,9;17,2;18,6;18;5,4
"2019-04-23 00:00:00";;9,7;47,4;62,3;20;5,0
"2019-04-24 00:00:00";;14,0;49,5;71,0;24;4,8
"2019-04-25 00:00:00";;12,9;56,5;76,3;48;4,5
"2019-04-26 00:00:00";;22,4;62,6;96,9;55;5,0
"2019-04-27 00:00:00";;11,6;37,1;54,9;27;4,9
"2019-04-28 00:00:00";;5,2;21,9;29,9;8;4,0
"2019-04-29 00:00:00";;19,5;44,1;74,1;16;4,0
"2019-04-30 00:00:00";;15,0;39,3;62,3;15;3,7
"2019-05-01 00:00:00";;5,4;22,5;30,8;17;3,4
"2019-05-02 00:00:00";;26,4;59,2;99,7;25;3,5
"2019-05-03 00:00:00";;15,7;57,7;81,9;19;3,5
"2019-05-04 00:00:00";;4,5;33,8;40,7;14;3,2
"2019-05-05 00:00:00";;1,7;17,2;19,9;10;2,9
"2019-05-06 00:00:00";;4,6;21,8;28,8;8;2,6
"2019-05-07 00:00:00";;1,6;24,6;27,0;15;2,3
"2019-05-08 00:00:00";;5,1;47,3;55,1;19;2,4
"2019-05-09 00:00:00";;23,2;45,2;80,7;19;2,7
"2019-05-10 00:00:00";;13,6;41,4;62,2;14;2,5
"2019-05-11 00:00:00";;18,9;47,3;76,3;17;2,6
"2019-05-12 00:00:00";;1,1;23,1;24,8;12;2,4
"2019-05-13 00:00:00";;2,5;18,9;22,7;54;2,3
"2019-05-14 00:00:00";;3,3;25,2;30,2;15;2,0
"2019-05-15 00:00:00";;42,1;38,0;102,6;12;2,6
"2019-05-16 00:00:00";;11,4;30,0;47,5;11;2,4
"2019-05-17 00:00:00";;16,9;39,3;65,3;14;2,4
"2019-05-18 00:00:00";;6,7;36,6;46,8;15;2,5
"2019-05-19 00:00:00";;2,8;23,9;28,2;13;2,7
"2019-05-20 00:00:00";;13,6;47,9;68,7;15;3,0
"2019-05-21 00:00:00";;23,8;60,0;96,5;12;2,8
"2019-05-22 00:00:00";;26,1;44,7;84,8;11;2,9
"2019-05-23 00:00:00";;26,2;38,0;78,3;13;2,7
"2019-05-24 00:00:00";;8,3;25,5;38,2;10;2,7
"2019-05-25 00:00:00";;11,5;31,7;49,4;17;2,6
"2019-05-26 00:00:00";;9,1;43,9;57,9;19;2,7
"2019-05-27 00:00:00";;18,6;46,6;75,2;25;2,7
"2019-05-28 00:00:00";;18,9;37,3;66,3;17;2,7
"2019-05-29 00:00:00";;12,8;35,9;55,5;15;2,7
"2019-05-30 00:00:00";;6,9;22,2;32,9;11;2,3
"2019-05-31 00:00:00";;4,3;21,7;28,2;11;2,4
"2019-06-01 00:00:00";;1,5;21,6;23,9;15;2,3
"2019-06-02 00:00:00";;2,0;20,7;23,8;14;2,3
"2019-06-03 00:00:00";;5,8;33,3;42,1;15;2,1
"2019-06-04 00:00:00";439;7,0;38,7;49,5;14;1,7
"2019-06-05 00:00:00";472;6,8;41,7;52,0;13;1,9
"2019-06-06 00:00:00";491;11,4;41,0;58,5;16;1,9
"2019-06-07 00:00:00";561;17,9;55,8;83,4;25;2,2
"2019-06-08 00:00:00";520;3,1;34,5;39,2;24;2,3
"2019-06-09 00:00:00";427;1,0;11,9;13,4;20;2,2
"2019-06-10 00:00:00";394;1,5;17,9;20,2;19;2,0
"2019-06-11 00:00:00";477;9,5;47,4;61,9;23;2,1
"2019-06-12 00:00:00";485;10,0;42,8;58,1;27;2,0
"2019-06-13 00:00:00";510;10,2;50,4;66,0;28;2,0
"2019-06-14 00:00:00";541;11,3;49,4;66,8;38;2,1
"2019-06-15 00:00:00";465;5,2;34,8;42,8;35;1,9
"2019-06-16 00:00:00";426;2,4;25,6;29,4;29;1,9
"2019-06-17 00:00:00";497;1,9;23,3;26,3;15;2,4
"2019-06-18 00:00:00";503;2,6;32,0;36,0;17;2,2
"2019-06-19 00:00:00";561;8,8;38,4;51,9;22;2,2
"2019-06-20 00:00:00";560;6,9;47,1;57,7;23;2,2
"2019-06-21 00:00:00";681;17,9;52,3;79,8;26;2,6
"2019-06-22 00:00:00";527;6,6;17,6;27,7;20;2,2
